model,seed,sample,protein,spearman
mlp_64,0,A1LN,ACTA2,0.30686422791010864
mlp_64,0,A1LN,BCL2,0.3312724670667348
mlp_64,0,A1LN,CCR7,0.34618390156812345
mlp_64,0,A1LN,CD14,0.3515428901935338
mlp_64,0,A1LN,CD163,0.4453401236953735
mlp_64,0,A1LN,CD19,0.5290258905143164
mlp_64,0,A1LN,CD27,0.162535681821823
mlp_64,0,A1LN,CD274,-0.14382372348735745
mlp_64,0,A1LN,CD3E,0.782197585147673
mlp_64,0,A1LN,CD4,0.14393355786561607
mlp_64,0,A1LN,CD40,-0.025727814761770905
mlp_64,0,A1LN,CD68,-0.008693538075494608
mlp_64,0,A1LN,CD8A,0.5374353976956179
mlp_64,0,A1LN,CEACAM8,0.33572122607984184
mlp_64,0,A1LN,CR2,-0.030093397273722813
mlp_64,0,A1LN,CXCR5,0.40328860337080447
mlp_64,0,A1LN,EPCAM,-0.02693625872586423
mlp_64,0,A1LN,FCGR3A,0.22260529305721666
mlp_64,0,A1LN,HLA_DRA,0.39777704175385536
mlp_64,0,A1LN,ITGAM,0.3884513095523449
mlp_64,0,A1LN,ITGAX,0.28020285009396717
mlp_64,0,A1LN,KRT5,-0.048836832831046076
mlp_64,0,A1LN,MS4A1,0.26379998902601576
mlp_64,0,A1LN,PAX5,0.4604267750397009
mlp_64,0,A1LN,PCNA,0.22496732227125735
mlp_64,0,A1LN,PDCD1,-0.17516639253536784
mlp_64,0,A1LN,PECAM1,0.37328842889948627
mlp_64,0,A1LN,PTPRC_1,0.24306356792517833
mlp_64,0,A1LN,PTPRC_2,0.4204939592315864
mlp_64,0,A1LN,SDC1,0.08211702604953404
mlp_64,0,A1LN,VIM,-0.3176840989838468
mlp_64,0,A1TNSL,ACTA2,0.8095212979963655
mlp_64,0,A1TNSL,BCL2,0.6246482750951681
mlp_64,0,A1TNSL,CCR7,0.3795643884183879
mlp_64,0,A1TNSL,CD14,0.26970136424112495
mlp_64,0,A1TNSL,CD163,0.27471137299585335
mlp_64,0,A1TNSL,CD19,0.2946733802944822
mlp_64,0,A1TNSL,CD27,0.35139458279908986
mlp_64,0,A1TNSL,CD274,0.49274925066331554
mlp_64,0,A1TNSL,CD3E,0.8672871423490995
mlp_64,0,A1TNSL,CD4,0.19463328389103948
mlp_64,0,A1TNSL,CD40,0.28767584457156403
mlp_64,0,A1TNSL,CD68,0.5119681731178702
mlp_64,0,A1TNSL,CD8A,0.8070226767545087
mlp_64,0,A1TNSL,CEACAM8,0.42998482247445863
mlp_64,0,A1TNSL,CR2,0.3217676967029147
mlp_64,0,A1TNSL,CXCR5,0.7206963953293477
mlp_64,0,A1TNSL,EPCAM,0.31523926624215953
mlp_64,0,A1TNSL,FCGR3A,0.15057077565339708
mlp_64,0,A1TNSL,HLA_DRA,0.5872835065086603
mlp_64,0,A1TNSL,ITGAM,0.23149485666766265
mlp_64,0,A1TNSL,ITGAX,0.39820884660545197
mlp_64,0,A1TNSL,KRT5,0.7993229813106185
mlp_64,0,A1TNSL,MS4A1,0.4488180353740239
mlp_64,0,A1TNSL,PAX5,0.8039977662558802
mlp_64,0,A1TNSL,PCNA,0.4616821726751986
mlp_64,0,A1TNSL,PDCD1,0.3543831569777875
mlp_64,0,A1TNSL,PECAM1,0.7406432545009212
