dataset,gene,in_panel,detect_rate,mean_expr,group
tonsil,ACTA2,True,0.2944404676688141,0.31664183735847473,compartment
tonsil,CD14,True,0.6888570746838464,0.8346777558326721,compartment
tonsil,CD163,True,0.1527081842042472,0.1802501082420349,compartment
tonsil,CD19,True,0.9310427105702697,1.9148792028427124,lymph
tonsil,CD27,True,0.9675495108565975,2.0370609760284424,lymph
tonsil,CD3D,True,0.9563350035790981,2.2833778858184814,lymph
tonsil,CD3E,True,0.8518253400143164,1.5312089920043945,lymph
tonsil,CD4,True,0.9761393462180864,2.153613328933716,lymph
tonsil,CD68,False,,,compartment
tonsil,CD8A,True,0.4526366022429015,0.5208811163902283,lymph
tonsil,CR2,True,0.793366738248628,1.5458168983459473,lymph
tonsil,CXCR5,True,0.8289191123836793,1.332071304321289,lymph
tonsil,EPCAM,True,0.22142686709615844,0.19886310398578644,compartment
tonsil,HLA_DRA,False,,,compartment
tonsil,ITGAX,True,0.9291338582677166,1.7631057500839233,compartment
tonsil,MS4A1,True,0.9990455738487235,4.340451240539551,lymph
tonsil,PAX5,True,0.954426151276545,2.2821741104125977,lymph
tonsil,PECAM1,True,0.9391553328561203,1.8928927183151245,compartment
tonsil,PTPRC,True,0.959675495108566,1.920560359954834,compartment
tonsil,SDC1,True,0.5277976616559293,0.6928724646568298,lymph
tonsil,VIM,False,,,compartment
breast_cancer,ACTA2,True,0.30187319884726227,0.5033510327339172,compartment
breast_cancer,CD14,True,0.5401056676272814,0.9567839503288269,compartment
breast_cancer,CD163,True,0.5648414985590778,1.0557212829589844,compartment
breast_cancer,CD19,True,0.18996157540826128,0.320971816778183,lymph
breast_cancer,CD27,True,0.45004803073967337,0.7959479093551636,lymph
breast_cancer,CD3D,True,0.5609990393852066,1.1160411834716797,lymph
breast_cancer,CD3E,True,0.49279538904899134,0.9417716860771179,lymph
breast_cancer,CD4,True,0.8148414985590778,1.8007829189300537,lymph
breast_cancer,CD68,False,,,compartment
breast_cancer,CD8A,True,0.18948126801152737,0.2897544205188751,lymph
breast_cancer,CR2,True,0.07829010566762729,0.14385336637496948,lymph
breast_cancer,CXCR5,True,0.17002881844380405,0.2778252959251404,lymph
breast_cancer,EPCAM,True,0.6407300672430355,1.5496723651885986,compartment
breast_cancer,HLA_DRA,False,,,compartment
breast_cancer,ITGAX,True,0.6553794428434198,1.2739681005477905,compartment
breast_cancer,MS4A1,True,0.6568203650336215,1.7997220754623413,lymph
breast_cancer,PAX5,True,0.30235350624399615,0.5982593297958374,lymph
breast_cancer,PECAM1,True,0.8335734870317003,1.8196159601211548,compartment
breast_cancer,PTPRC,True,0.3734390009606148,0.6350193023681641,compartment
breast_cancer,SDC1,True,0.37584053794428435,0.6030385494232178,lymph
breast_cancer,VIM,False,,,compartment
