fold,size,group,sp_mean,sp_sd,n_obs,n_variants
holdout_tonsil,35,compartment,0.1925358948909756,0.09157535809083842,14,4
holdout_tonsil,35,lymph_subtype,0.08878539998015572,0.20142712502618468,12,4
holdout_tonsil,35,other,-0.08117380058557513,0.06100844719137151,5,4
holdout_tonsil,35,isotype,0.14266808981615192,,4,4
holdout_tonsil,25,compartment,0.16767797633586096,0.04216473164972745,14,5
holdout_tonsil,25,lymph_subtype,0.0568939747544438,0.11560102810515942,12,5
holdout_tonsil,25,other,-0.02793026612314199,0.25977165881915104,5,5
holdout_tonsil,25,isotype,0.16626191493635067,0.05759905617610711,4,5
holdout_tonsil,20,compartment,0.20657489847541918,0.045091545245075776,13,5
holdout_tonsil,20,lymph_subtype,0.07245078000437444,0.08649456465325926,12,5
holdout_tonsil,20,other,-0.18489984847256785,0.2202824098276765,4,5
holdout_tonsil,20,isotype,0.0766396004243669,0.04756780598130421,4,5
holdout_breast_cancer,35,compartment,0.2796732921863378,0.24736526885430768,14,4
holdout_breast_cancer,35,lymph_subtype,0.14185787434524502,0.18643031857920658,12,4
holdout_breast_cancer,35,other,0.034044498282071345,0.11286784314370582,5,4
holdout_breast_cancer,35,isotype,0.031507675527842345,,4,4
holdout_breast_cancer,25,compartment,0.0999169258917221,0.09927940660486102,14,5
holdout_breast_cancer,25,lymph_subtype,0.10484395924063206,0.10876606807919513,12,5
holdout_breast_cancer,25,other,-0.038372672049362976,0.3015850990699713,5,5
holdout_breast_cancer,25,isotype,0.08108353266458265,0.16901225810078876,4,5
holdout_breast_cancer,20,compartment,0.14989364422573767,0.17771993951337842,13,5
holdout_breast_cancer,20,lymph_subtype,0.053269300368345034,0.1806449376732615,12,5
holdout_breast_cancer,20,other,-0.0585132001491656,0.5621415622347417,4,5
holdout_breast_cancer,20,isotype,-0.06491950009661396,0.18110106952859567,4,5
