dropped,dropped_group,mean_delta,sd_delta,n_targets,mean_delta_comp,mean_delta_lymph,mean_delta_other,mean_delta_tonsil,mean_delta_breast
ITGAX,compartment,-0.11136198487006695,0.30104136166197343,60,-0.17916020880143987,-0.040413991792014624,-0.10536178603582291,-0.09201065534193882,-0.13071331439819509
MS4A1,lymph_subtype,-0.07634522416883559,0.29257948673073525,60,-0.13766616680804863,-0.050069207373190094,0.037546178270540964,-0.043357371874996956,-0.10933307646267419
PTPRC_2,compartment,-0.07593585405874541,0.254517891111157,60,-0.1538555506718837,-0.04265940285941294,0.04679187425701613,-0.05358249989840321,-0.09828920821908763
PCNA,other,-0.06789031429476552,0.2631118902480915,60,-0.14896310339130306,-0.003953365667315241,0.024053601660765016,-0.035369087711341216,-0.1004115408781898
PTPRC_1,compartment,-0.0666369815639025,0.2581928101629881,60,-0.14247534697364606,-0.025016869744239775,0.030654500134240148,-0.031756888155883366,-0.10151707497192165
PAX5,lymph_subtype,-0.06211544851992798,0.2863369728847589,60,-0.13930703903626268,-0.014969443753468979,0.050299794439599387,-0.0366435565731428,-0.08758734046671315
ITGAM,compartment,-0.0613223959226237,0.2693418280013644,60,-0.13247972766701527,0.0032004478113396018,-0.03116815834871754,-0.024519445131528993,-0.0981253467137184
CD274,other,-0.06023729856597356,0.29072473374905067,60,-0.07317389684364436,-0.07034656015960868,0.015368580186779637,0.025434697045770758,-0.14590929417771786
PDCD1,lymph_subtype,-0.05808593359023642,0.264241653650746,60,-0.14890901070295584,0.01745107831012562,0.030037256144581415,-0.020801719164983308,-0.09537014801548954
SDC1,lymph_subtype,-0.05366959567891632,0.22818098898311173,60,-0.1149864500247965,-0.03470870146562082,0.0763036292202981,-0.032604637351194427,-0.07473455400663823
PECAM1,compartment,-0.05275967482847226,0.26915021429594554,60,-0.16092971080206447,0.03847035314629443,0.00953035156342743,-0.000609896191163332,-0.1049094534657812
CD68,compartment,-0.0479514150498601,0.27579393940889224,60,-0.0702103292524693,-0.00713646597572735,-0.08803411590099477,0.01247431753831103,-0.10837714763803123
FCGR3A,compartment,-0.04585403469347187,0.2818891808345921,60,-0.09961575191978193,0.050415561636399014,-0.13712060109675586,0.037009502700396525,-0.12871757208734028
BCL2,other,-0.045586170160582,0.24744192977846535,60,-0.03491561097879058,-0.0713866898168302,-0.005531568328107361,-0.0033523089912667423,-0.08782003132989727
CD8A,lymph_subtype,-0.042327247186942175,0.2556812810878136,60,-0.04192106189670782,-0.0236792365251395,-0.08449018945556426,0.016246117072281303,-0.10090061144616566
CCR7,lymph_subtype,-0.039947896108908115,0.2473614211884441,60,-0.03276185988181654,-0.06952861956650466,0.005008794061947874,0.0021031564220621106,-0.08199894863987835
CD4,lymph_subtype,-0.038459124146746265,0.2824610439995494,60,-0.06871637074454869,0.0023003825615286566,-0.04340974843110433,0.00839771758900092,-0.08531596588249345
CD19,lymph_subtype,-0.03603750521597499,0.27885478832588845,60,-0.05825015496001719,-0.029329100861611588,0.011399424487743717,0.03364387473011319,-0.10571888516206315
CD27,lymph_subtype,-0.03509297560266121,0.24401975542223714,60,-0.022995122878993877,-0.06724065714256829,0.001757936158865836,0.003608993807580544,-0.07379494501290296
CD14,compartment,-0.03215961530391993,0.24880085565154333,60,-0.034860484526923044,-0.044989225276780426,0.005653708610753372,-0.0015703224158577884,-0.06274890819198208
HLA_DRA,compartment,-0.030142725490401822,0.2831128137468369,60,-0.1235703533317818,0.012956525840715848,0.10933090370250378,-0.010384458686135982,-0.04990099229466766
KRT5,compartment,-0.029926909660024526,0.24790326053654624,60,-0.11397990823523416,0.029457620962660965,0.046088013141075336,0.004770119597830949,-0.06462393891788
CD3E,lymph_subtype,-0.02904013772765744,0.22607287784375507,60,-0.049834512495194425,7.241712433869729e-05,-0.034863509052945385,0.026532894725004006,-0.08461317018031887
CD163,compartment,-0.028415840692445588,0.25888229551929437,60,-0.027263806528955745,-0.046878664744332645,0.012899648207009734,0.013988883172446724,-0.07082056455733789
CD40,other,-0.02499410344519392,0.27391234852312146,60,-0.03557374177483864,-0.017178792092487127,-0.011411303349557759,0.014554517489152352,-0.06454272437954019
CR2,lymph_subtype,-0.024769777420914376,0.25537267346668385,60,-0.009681291008697194,-0.0035567601638112245,-0.11368617734074941,0.028171300828610125,-0.07771085567043888
CEACAM8,other,-0.024765238278376504,0.24969565604495345,60,-0.02203504896708189,-0.027066563722573534,-0.027416924535316592,0.04160420829435788,-0.09113468485111091
VIM,compartment,-0.017074752454888993,0.1807118018638048,60,-0.03291437858223038,-0.03254060347701686,0.06122631792930548,0.0006013872764986066,-0.03475089218627659
CXCR5,lymph_subtype,-0.005740981594929481,0.1942057904589989,60,-0.011470598164216505,0.035644915038430584,-0.08074702779431794,-0.0029700611186172874,-0.008511902071241672
EPCAM,compartment,-0.005227633545398489,0.17214478656053966,60,-0.039965544423570136,0.05226086198665642,-0.05288145453908401,0.034622869355636555,-0.04507813644643354
ACTA2,compartment,0.014587970974233097,0.2554086251745434,60,0.078790518198126,-0.06068044935916045,0.028305556992256085,-0.003241541403027767,0.03241748335149398
