fold,sample,protein,spearman,pearson,namesake_spearman,n_spots
holdout_tonsil,A1LN,ACTA2,0.4249786136258175,0.5274747610092163,0.18879948630735852,3394
holdout_tonsil,A1LN,BCL2,0.3247181267165159,0.2517314553260803,0.15647869172869175,3394
holdout_tonsil,A1LN,CCR7,0.150621709628638,0.1372688263654709,0.18106180684323625,3394
holdout_tonsil,A1LN,CD14,0.20575495296294286,0.1358450949192047,-0.0008498758638033758,3394
holdout_tonsil,A1LN,CD163,-0.49191674858573814,-0.47230175137519836,0.10493255133400267,3394
holdout_tonsil,A1LN,CD19,-0.18223583327552798,-0.12630942463874817,-0.03644918730602254,3394
holdout_tonsil,A1LN,CD27,0.05439729173407073,-0.02550147846341133,0.028579139274490982,3394
holdout_tonsil,A1LN,CD274,-0.12207329930425798,0.07295728474855423,,3394
holdout_tonsil,A1LN,CD3E,0.613046414774053,0.6054372191429138,0.31448273680221894,3394
holdout_tonsil,A1LN,CD4,0.24154503747992806,0.17137494683265686,0.02810607797052522,3394
holdout_tonsil,A1LN,CD40,0.16027987747268432,0.12765923142433167,-0.012466496659689182,3394
holdout_tonsil,A1LN,CD68,-0.3223117180688529,-0.3085566461086273,,3394
holdout_tonsil,A1LN,CD8A,0.3789438066928252,0.3393283784389496,0.1666242757036654,3394
holdout_tonsil,A1LN,CEACAM8,0.031896172410591006,0.08421927690505981,,3394
holdout_tonsil,A1LN,CR2,0.20479825175190752,0.2704108953475952,0.13483327947743293,3394
holdout_tonsil,A1LN,CXCR5,0.38955818762005257,0.31304824352264404,0.15980819718303063,3394
holdout_tonsil,A1LN,EPCAM,0.09076086053304287,0.0533003956079483,0.030884136593346538,3394
holdout_tonsil,A1LN,FCGR3A,0.43745354312108825,0.23085805773735046,0.00724682082662027,3394
holdout_tonsil,A1LN,HLA_DRA,0.4852784380470574,0.4923548400402069,,3394
holdout_tonsil,A1LN,ITGAM,-0.16101355861505104,-0.1528964787721634,0.030657095499209114,3394
holdout_tonsil,A1LN,ITGAX,0.36689292710086663,0.3246026039123535,0.12491678182344548,3394
holdout_tonsil,A1LN,KRT5,-0.04848804990980986,-0.10212315618991852,0.008421087315135602,3394
holdout_tonsil,A1LN,MS4A1,0.12358547509707175,0.21530649065971375,0.20982428839512945,3394
holdout_tonsil,A1LN,PAX5,0.2067941147912157,0.25534364581108093,0.1279242869021218,3394
holdout_tonsil,A1LN,PCNA,0.323600989895797,0.2690955698490143,,3394
holdout_tonsil,A1LN,PDCD1,0.21596996781575448,0.1830652356147766,,3394
holdout_tonsil,A1LN,PECAM1,0.48874411966751935,0.41325077414512634,0.21159423505340763,3394
holdout_tonsil,A1LN,PTPRC_1,0.2712860062410858,0.18568678200244904,0.03879740726921422,3394
holdout_tonsil,A1LN,PTPRC_2,0.35376916502107114,0.28202247619628906,0.08531263522099455,3394
holdout_tonsil,A1LN,SDC1,0.11400111061042158,-0.05978504940867424,0.005886040616457618,3394
holdout_tonsil,A1LN,VIM,-0.38293591174295083,-0.4544563889503479,,3394
holdout_tonsil,A1TNSL,ACTA2,0.28011933454745935,0.3363088369369507,0.26911778085746074,4329
holdout_tonsil,A1TNSL,BCL2,-0.29193558399679803,-0.33098551630973816,0.2626521594577437,4329
holdout_tonsil,A1TNSL,CCR7,-0.1277580513843802,-0.0913042351603508,0.17703927112668508,4329
holdout_tonsil,A1TNSL,CD14,0.3634420898515414,0.328489750623703,0.020753127388220688,4329
holdout_tonsil,A1TNSL,CD163,-0.25431436351657644,-0.25280481576919556,0.061707853761876645,4329
holdout_tonsil,A1TNSL,CD19,0.31188530509886836,0.20932435989379883,0.15379424426344257,4329
holdout_tonsil,A1TNSL,CD27,-0.2703398841118199,-0.2433089166879654,0.08785304208252742,4329
holdout_tonsil,A1TNSL,CD274,0.47644755353073104,0.3596115708351135,,4329
holdout_tonsil,A1TNSL,CD3E,0.5830324391826361,0.5554274916648865,0.5299119335332958,4329
holdout_tonsil,A1TNSL,CD4,0.17867659247027584,0.1448821872472763,0.19040570556196934,4329
holdout_tonsil,A1TNSL,CD40,0.175312410660888,0.1293310821056366,0.1569285363403059,4329
holdout_tonsil,A1TNSL,CD68,0.2582016595175872,0.21546505391597748,,4329
holdout_tonsil,A1TNSL,CD8A,0.4953289190662491,0.4873262643814087,0.27125402857472375,4329
holdout_tonsil,A1TNSL,CEACAM8,0.1015989306326254,0.06951572000980377,,4329
holdout_tonsil,A1TNSL,CR2,0.3418010673547182,0.23625518381595612,0.16777912426271274,4329
holdout_tonsil,A1TNSL,CXCR5,0.7020627284087373,0.5604671835899353,0.37260526574475034,4329
holdout_tonsil,A1TNSL,EPCAM,0.29568816292197764,0.3001137673854828,0.027129704990365974,4329
holdout_tonsil,A1TNSL,FCGR3A,0.11666115795365928,0.060880061239004135,0.024150872145521047,4329
holdout_tonsil,A1TNSL,HLA_DRA,0.5876995842168794,0.4961719810962677,,4329
holdout_tonsil,A1TNSL,ITGAM,-0.04959847263260214,0.0012716552009806037,0.059304181395943095,4329
holdout_tonsil,A1TNSL,ITGAX,0.37243499772987115,0.3160933256149292,0.20940934544632736,4329
holdout_tonsil,A1TNSL,KRT5,0.6706707570708658,0.62957364320755,0.737132794127374,4329
holdout_tonsil,A1TNSL,MS4A1,0.3163282493381369,0.2532079219818115,0.3816471986339055,4329
holdout_tonsil,A1TNSL,PAX5,0.7654362047426382,0.5630471706390381,0.6200196099860645,4329
holdout_tonsil,A1TNSL,PCNA,0.5311994830990449,0.45905938744544983,,4329
holdout_tonsil,A1TNSL,PDCD1,0.4024420796625897,0.3191664516925812,,4329
holdout_tonsil,A1TNSL,PECAM1,0.6479980835591576,0.6211883425712585,0.39721999616935044,4329
holdout_tonsil,A1TNSL,PTPRC_1,0.13207262577017603,0.07606668770313263,0.05586714337681265,4329
holdout_tonsil,A1TNSL,PTPRC_2,0.23428212921367753,0.19542498886585236,0.09499916661581835,4329
holdout_tonsil,A1TNSL,SDC1,0.19839567958092463,0.10608214139938354,0.10063051590497955,4329
holdout_tonsil,A1TNSL,VIM,0.5211784752103529,0.4251364469528198,,4329
holdout_tonsil,D1LN,ACTA2,0.30757772577231235,0.4165536165237427,0.19091952896139378,3024
holdout_tonsil,D1LN,BCL2,0.2784946899517014,0.2502635419368744,0.1276334517614788,3024
holdout_tonsil,D1LN,CCR7,0.3141815485617071,0.3887284994125366,0.17357085141797815,3024
holdout_tonsil,D1LN,CD14,0.1015127353244941,0.08954180032014847,-0.03862845476637902,3024
holdout_tonsil,D1LN,CD163,-0.42911206550487546,-0.4395517408847809,0.15770585757002442,3024
holdout_tonsil,D1LN,CD19,-0.0837931540735669,-0.0774168074131012,-0.050849643912546066,3024
holdout_tonsil,D1LN,CD27,0.012790518228059718,-0.000921799277421087,0.03481748456643391,3024
holdout_tonsil,D1LN,CD274,-0.09189489051555698,-0.03915415704250336,,3024
holdout_tonsil,D1LN,CD3E,0.4994145099102521,0.5411593914031982,0.22673366873486134,3024
holdout_tonsil,D1LN,CD4,0.4385790583570189,0.41754329204559326,0.041371477382848874,3024
holdout_tonsil,D1LN,CD40,0.1120825138922555,0.10612467676401138,0.016863798861056333,3024
holdout_tonsil,D1LN,CD68,-0.11752422929276052,-0.09139120578765869,,3024
holdout_tonsil,D1LN,CD8A,0.31951912326000864,0.3431154787540436,0.1135391009658953,3024
holdout_tonsil,D1LN,CEACAM8,0.20346744272820166,0.1837780475616455,,3024
holdout_tonsil,D1LN,CR2,0.1510458331427622,0.2966785430908203,0.13489201765236175,3024
holdout_tonsil,D1LN,CXCR5,0.38009704643602343,0.32511067390441895,0.09539768028167975,3024
holdout_tonsil,D1LN,EPCAM,0.0003529397623163599,0.018373718485236168,0.028821879303393343,3024
holdout_tonsil,D1LN,FCGR3A,0.41887561933759837,0.2640802562236786,0.017674927530011996,3024
holdout_tonsil,D1LN,HLA_DRA,0.5011951450724813,0.6116074919700623,,3024
holdout_tonsil,D1LN,ITGAM,0.08455882315489383,0.08960901200771332,0.05292519244480752,3024
holdout_tonsil,D1LN,ITGAX,0.3923257921721219,0.3702835738658905,0.09443950439800318,3024
holdout_tonsil,D1LN,KRT5,-0.0708271596962996,-0.12718018889427185,0.0059269236535694665,3024
holdout_tonsil,D1LN,MS4A1,0.18006396738434693,0.24992193281650543,0.14886518242257424,3024
holdout_tonsil,D1LN,PAX5,0.15637415458662024,0.20998358726501465,0.1551131719317968,3024
holdout_tonsil,D1LN,PCNA,0.21031262745814816,0.1886630803346634,,3024
holdout_tonsil,D1LN,PDCD1,0.2304488990460295,0.2656579613685608,,3024
holdout_tonsil,D1LN,PECAM1,0.42083556271498196,0.36397668719291687,0.14812172666845455,3024
holdout_tonsil,D1LN,PTPRC_1,0.322648222041961,0.23295676708221436,0.010283635845674226,3024
holdout_tonsil,D1LN,PTPRC_2,0.3815902793264235,0.35854125022888184,0.05185096556697428,3024
holdout_tonsil,D1LN,SDC1,0.15074154426453468,0.048332493752241135,0.017376848334124475,3024
holdout_tonsil,D1LN,VIM,-0.1968261731765792,-0.19361093640327454,,3024
holdout_tonsil,D1TNSL,ACTA2,0.2931778407865352,0.3086281418800354,0.3223794745461638,4503
holdout_tonsil,D1TNSL,BCL2,-0.31170467314416495,-0.3354259133338928,0.22374548722774126,4503
holdout_tonsil,D1TNSL,CCR7,-0.19909331493283608,-0.16588468849658966,0.15576909887886844,4503
holdout_tonsil,D1TNSL,CD14,0.40336181414528766,0.3997264802455902,0.004482538289420798,4503
holdout_tonsil,D1TNSL,CD163,-0.24702340221089641,-0.23403984308242798,0.16254381648912783,4503
holdout_tonsil,D1TNSL,CD19,0.26460691973326445,0.21913644671440125,0.14627026250582478,4503
holdout_tonsil,D1TNSL,CD27,-0.2939623499628045,-0.26064595580101013,0.07318086789897786,4503
