fold,size,group,sp_mean,sp_sd,n_obs
holdout_breast_cancer,20,compartment,0.2367415953732908,0.4781829235277853,34
holdout_breast_cancer,20,isotype,-0.059606280331828146,0.2898404810641797,20
holdout_breast_cancer,20,lymph_subtype,-0.05006293511768515,0.3883015040393117,32
holdout_breast_cancer,20,other,0.13264980810527788,0.5935139602156152,14
holdout_breast_cancer,25,compartment,0.2146341725722615,0.4802727201921264,48
holdout_breast_cancer,25,isotype,0.11723647717604883,0.327868712202034,20
holdout_breast_cancer,25,lymph_subtype,0.030831118058164908,0.4658847480206197,37
holdout_breast_cancer,25,other,0.15204120459261125,0.532590128338016,20
holdout_breast_cancer,35,compartment,0.2796732921863378,0.41086455947225065,56
holdout_breast_cancer,35,isotype,0.031507675527842345,0.3747503771120991,16
holdout_breast_cancer,35,lymph_subtype,0.09211894075157495,0.4497281581290127,44
holdout_breast_cancer,35,other,0.1432014392143288,0.5194270297622126,24
holdout_tonsil,20,compartment,0.2267268115662524,0.29965706450666196,34
holdout_tonsil,20,isotype,0.10445302072623892,0.10626024225086891,20
holdout_tonsil,20,lymph_subtype,-0.013422631143721478,0.29652690291256223,32
holdout_tonsil,20,other,0.014843321123634071,0.4729374608538324,14
holdout_tonsil,25,compartment,0.18285182487457805,0.3095904318759631,48
holdout_tonsil,25,isotype,0.09820761829739956,0.13694422191318348,20
holdout_tonsil,25,lymph_subtype,-0.05062850054796346,0.3169881990776053,37
holdout_tonsil,25,other,0.056094326591058244,0.4801747907563532,20
holdout_tonsil,35,compartment,0.19253589489097558,0.28846166685449237,56
holdout_tonsil,35,isotype,0.14266808981615192,0.053910154199738346,16
holdout_tonsil,35,lymph_subtype,0.044261344271113945,0.3181467461691653,44
holdout_tonsil,35,other,0.028780168308623264,0.4327523476395611,24
