fold,protein,group,size,sp_mean,sp_sd,n_seeds
holdout_breast_cancer,ACTA2,compartment,20,0.5050358634436887,0.07017095294971766,3
holdout_breast_cancer,ACTA2,compartment,25,0.4738502569024992,0.04817137639319087,4
holdout_breast_cancer,ACTA2,compartment,35,0.5301916371760159,0.05464193587529218,4
holdout_breast_cancer,BCL2,other,20,-0.6829787531631825,0.040856773480708194,3
holdout_breast_cancer,BCL2,other,25,-0.7131865306782067,0.04015671094961079,3
holdout_breast_cancer,BCL2,other,35,-0.7163455922334067,0.040296044273858196,4
holdout_breast_cancer,CCR7,lymph_subtype,20,-0.3589607296752037,0.05197986637342397,4
holdout_breast_cancer,CCR7,lymph_subtype,25,-0.3262436478739164,0.03215007935788776,3
holdout_breast_cancer,CCR7,lymph_subtype,35,-0.1488036964312458,0.297449357683331,4
holdout_breast_cancer,CD14,compartment,20,-0.391326092881435,0.0725509463202841,2
holdout_breast_cancer,CD14,compartment,25,-0.24235508919508184,0.1622282365112889,2
holdout_breast_cancer,CD14,compartment,35,0.11608934951240568,0.3780054938417482,4
holdout_breast_cancer,CD163,compartment,20,-0.2328304899108252,0.15375923984081982,3
holdout_breast_cancer,CD163,compartment,25,0.08931855995069893,0.23359919287807207,4
holdout_breast_cancer,CD163,compartment,35,-0.024859693969379502,0.061652775253840865,4
holdout_breast_cancer,CD19,lymph_subtype,20,0.0326857843272691,0.11851675586668646,5
holdout_breast_cancer,CD19,lymph_subtype,25,-0.016955555057642225,0.13813211564574687,4
holdout_breast_cancer,CD19,lymph_subtype,35,-0.02252376189019223,0.04947163084481051,4
holdout_breast_cancer,CD27,lymph_subtype,20,0.40129423484207155,0.06805152937119842,3
holdout_breast_cancer,CD27,lymph_subtype,25,0.4525566252094215,0.01081667916908451,2
holdout_breast_cancer,CD27,lymph_subtype,35,0.44695177722207685,0.020993943291557772,4
holdout_breast_cancer,CD274,other,25,0.5937215063625504,0.015070082513362398,4
holdout_breast_cancer,CD274,other,35,0.5698100153676153,0.017619052237325804,4
holdout_breast_cancer,CD3E,other,20,0.7196959796358007,0.01697671572638988,3
holdout_breast_cancer,CD3E,other,25,0.6949808797901619,0.030869630784223886,4
holdout_breast_cancer,CD3E,other,35,0.688986143875616,0.028860283279287014,4
holdout_breast_cancer,CD4,lymph_subtype,20,-0.3155399536614453,,1
holdout_breast_cancer,CD4,lymph_subtype,25,-0.2807253162712262,0.029469773581672645,3
holdout_breast_cancer,CD4,lymph_subtype,35,0.012636089416034196,0.25915118690905636,4
holdout_breast_cancer,CD40,other,20,-0.10885324664097694,0.007949833867560225,3
holdout_breast_cancer,CD40,other,25,-0.0907599090651973,0.27020318171625224,4
holdout_breast_cancer,CD40,other,35,-0.02812166665371555,0.0992622065070972,4
holdout_breast_cancer,CD68,compartment,20,-0.012501703177009766,0.058902717938526514,3
holdout_breast_cancer,CD68,compartment,25,-0.0018279897286741747,0.02016370373953576,4
holdout_breast_cancer,CD68,compartment,35,0.0030690416213479234,0.06860928574019717,4
holdout_breast_cancer,CD8A,lymph_subtype,20,0.5855344802480322,,1
holdout_breast_cancer,CD8A,lymph_subtype,25,0.5573918386176054,0.02945367009765969,3
holdout_breast_cancer,CD8A,lymph_subtype,35,0.5564110888554394,0.0262569252444681,4
holdout_breast_cancer,CEACAM8,other,20,-0.12445360682957145,0.005647009054609548,2
holdout_breast_cancer,CEACAM8,other,25,-0.12244645678411113,0.009141178063589994,3
