protein,delta,auc,p_value,delta_adj,p_adj,mean_A,mean_B,abs_delta,rank_i,q_value
CD19,0.08502829,0.54251415,2.9511291e-05,-0.99655044,0.0,0.63047385,0.6413369,0.08502829,1,0.0010328951757401228
PCNA,0.07027733,0.53513867,0.00055535836,-0.99508965,0.0,0.28719988,0.2967222,0.07027733,2,0.00971877109259367
PDCD1,0.06327331,0.53163666,0.001880803,0.9884267,0.0,-0.050653763,-0.051382888,0.06327331,3,0.0219427024324735
mouse_IgG2bk,-0.05890113,0.47054943,0.003807998,0.9955026,0.0,-0.9652007,-0.9871058,0.05890113,4,0.03331998363137245
ITGAX,-0.055172503,0.47241375,0.006718885,-0.9702047,0.0,0.12760514,0.12650825,0.055172503,5,0.04703219532966614
CR2,0.052137017,0.5260685,0.010426938,-0.9957847,0.0,0.3362962,0.3441904,0.052137017,6,0.052380409091711044
CCR7,0.05156386,0.5257819,0.011303258,-0.9894384,0.0,0.35761443,0.3662552,0.05156386,7,0.052380409091711044
rat_IgG2a,0.05115199,0.525576,0.011972665,0.98424673,0.0,-0.41315192,-0.41680077,0.05115199,8,0.052380409091711044
HLA_DRA,0.04870057,0.5243503,0.016733227,-0.9958689,0.0,0.46704587,0.48016563,0.04870057,9,0.05927184820175171
CD68,0.048611045,0.5243055,0.016934814,-0.9935935,0.0,0.26741275,0.27238488,0.048611045,10,0.05927184820175171
CD40,0.043853045,0.5219265,0.031211125,-0.9955071,0.0,0.5797451,0.5861081,0.043853045,11,0.09930812228809703
mouse_IgG1k,-0.038283408,0.4808583,0.060006138,0.9938259,0.0,-0.66417956,-0.67688906,0.038283408,12,0.17501789331436157
MS4A1,0.033818364,0.5169092,0.096634656,-0.95817786,0.0,0.13782446,0.14043623,0.033818364,13,0.26017022132873535
FCGR3A,0.031008124,0.51550406,0.12767513,0.9949949,0.0,-1.2376453,-1.2592671,0.031008124,14,0.3191878114427839
ACTA2,-0.027615786,0.4861921,0.17488487,0.99502873,0.0,-0.21935698,-0.22528113,0.027615786,15,0.4080646832784017
VIM,-0.025933087,0.48703346,0.20266028,-0.9933167,0.0,0.5555791,0.5599181,0.025933087,16,0.4433193504810333
PECAM1,-0.021552324,0.48922384,0.28969464,0.96351016,0.0,-0.15160574,-0.1526803,0.021552324,17,0.5866722530788846
CD4,0.021022439,0.5105112,0.30171716,-0.99379134,0.0,0.739017,0.7518815,0.021022439,18,0.5866722530788846
CXCR5,0.0157969,0.50789845,0.4377242,0.97331953,0.0,-0.13594835,-0.13798907,0.0157969,19,0.7067099861476732
EPCAM,0.015456915,0.50772846,0.44764978,0.20221531,2.952354e-23,0.102111004,0.103201166,0.015456915,20,0.7067099861476732
CD27,-0.015055954,0.49247202,0.45951676,-0.99228245,0.0,0.57661444,0.586879,0.015055954,21,0.7067099861476732
KRT5,0.014941692,0.50747085,0.46293294,0.9698813,0.0,-0.2947181,-0.29391348,0.014941692,22,0.7067099861476732
PTPRC_1,-0.01489234,0.49255383,0.46440944,-0.99327236,0.0,0.44331354,0.44895992,0.01489234,23,0.7067099861476732
BCL2,-0.014108598,0.4929457,0.4882469,-0.9778794,0.0,0.60007924,0.60438204,0.014108598,24,0.7120266755421957
CD8A,-0.013058484,0.49347076,0.5211896,0.24895978,2.1298796e-34,0.036733057,0.031559378,0.013058484,25,0.7296653747558594
SDC1,-0.011606038,0.49419698,0.5685722,0.9947753,0.0,-0.54445076,-0.5543424,0.011606038,26,0.7653857011061448
CD14,-0.009022236,0.49548888,0.6576064,-0.9964015,0.0,0.2753761,0.2783675,0.009022236,27,0.8524527373137297
mouse_IgG2a,-0.0075610876,0.49621946,0.71031123,0.9937507,0.0,-0.56946445,-0.5803375,0.0075610876,28,0.8869614005088806
PTPRC_2,0.006618619,0.5033093,0.7450786,-0.93680644,0.0,0.10728724,0.10889432,0.006618619,29,0.8869614005088806
CD3E,0.0057088137,0.5028544,0.7791399,-0.9858963,0.0,0.6008085,0.6066563,0.0057088137,30,0.8869614005088806
PAX5,0.005141616,0.5025708,0.800595,0.96740735,0.0,-0.19626573,-0.19793695,0.005141616,31,0.8869614005088806
ITGAM,-0.0048696995,0.49756515,0.81093615,0.7700385,0.0,-0.064266205,-0.06442374,0.0048696995,32,0.8869614005088806
CEACAM8,0.0040133,0.50200665,0.84371257,0.99224865,0.0,-0.53113395,-0.5422958,0.0040133,33,0.8948466561057351
CD274,0.002102375,0.5010512,0.91775143,0.9941795,0.0,-0.3462013,-0.35296693,0.002102375,34,0.9447441101074219
CD163,0.0004682541,0.5002341,0.98166215,-0.99604493,0.0,0.3138813,0.31963763,0.0004682541,35,0.9816622052873883
