gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
PLPP6,3.234845821936859,8.548209871489972,5.0191164998925175e-05,0.9999235661907606,True,3.234845821936859,0.0
G6PC3,3.743526124529116,6.668592168357665,0.00025094560636948997,0.9999235661907606,True,3.743526124529116,0.0
LINC01629,-2.4840238605342724,-6.098965244994965,0.0004380072966889348,0.9999235661907606,True,0.0,2.4840238605342724
GPC6-AS2,2.9159826624792684,6.03748596822467,0.00046618434415527315,0.9999235661907606,True,2.9927796470293058,0.0767969845500373
AC068985.1,-2.477001335715666,-5.720136360652546,0.000647874111788988,0.9999235661907606,True,0.0,2.477001335715666
SLC37A4,2.510519374430378,5.610785479700598,0.0007277885340090382,0.9999235661907606,True,3.2981125567267187,0.7875931822963403
LINC01502,-2.7548832540719808,-5.567640870004893,0.0007622871337664101,0.9999235661907606,True,0.0,2.7548832540719808
TRMT10C,3.368332940597613,5.5599105032213565,0.0007686584217129476,0.9999235661907606,True,3.4818853094822204,0.11355236888460774
AMOT,2.4816251560592533,5.513914300567349,0.0008078138144653193,0.9999235661907606,True,2.742802087060587,0.2611769310013338
SPRY1,2.8648368478754547,5.373351656823672,0.0009418859163571869,0.9999235661907606,True,3.813501141502298,0.9486642936268431
AL356515.1,2.4227956854997497,5.305905245395511,0.0010148481221906936,0.9999235661907606,True,5.703234220061333,3.280438534561583
LRRC25,-2.388091070572385,-5.272311041441508,0.0010535118492348645,0.9999235661907606,True,0.16127033798267995,2.549361408555065
CD52,-2.387239073791418,-5.175349572123722,0.0011745734102180327,0.9999235661907606,True,0.0,2.387239073791418
NOL4L-DT,-2.3854464341680313,-5.159355096012075,0.0011959868639337507,0.9999235661907606,True,0.16632932359552163,2.551775757763553
GATM,2.1803790492434967,5.135995892516558,0.0012280411309686476,0.9999235661907606,True,2.3805818740873024,0.2002028248438058
EGR2,-2.2331289265259597,-5.092660781313087,0.0012900566303353249,0.9999235661907606,True,0.0,2.2331289265259597
SLC9C2,-2.94662484550163,-5.022343633693822,0.0013981933518048303,0.9999235661907606,True,0.0,2.94662484550163
PRMT8,-2.5862793834511835,-5.021014250776588,0.0014003320364072737,0.9999235661907606,True,0.3357577212255194,2.922037104676703
FGR,-3.1386621799184504,-4.9428544851389375,0.0015326652631036514,0.9999235661907606,True,0.0,3.1386621799184504
