gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
FANCF,3.286353997061897,9.003771273231944,1.491093405547512e-05,0.13594454263640784,True,3.286353997061897,0.0
KPNA2,4.465837679945902,8.708438080730502,1.9184398737702437e-05,0.13594454263640784,True,4.465837679945902,0.0
SRM,3.9127080466866087,8.496135469445072,2.3095596583589694e-05,0.13594454263640784,True,4.138905970554549,0.22619792386794016
DCTN3,3.6481230926388997,8.089204717786698,3.33175314428835e-05,0.13594454263640784,True,3.6481230926388997,0.0
TRPM2,4.0673393376647455,8.07452991722169,3.377000761039543e-05,0.13594454263640784,True,4.0673393376647455,0.0
TRIB2,2.9117191007470624,7.845679682414479,4.178349804182941e-05,0.14016970809765708,True,2.9117191007470624,0.0
ZNF570,3.291395003635673,7.368127965373113,6.622117986327906e-05,0.19041427261258298,True,3.291395003635673,0.0
LINC00707,3.2687929659907105,6.826999186773913,0.00011479482729267635,0.27659549407689216,True,3.5876716509835247,0.3188786849928144
FADS2,2.9356631770909507,6.756030801523155,0.00012367644309876935,0.27659549407689216,True,3.1562000887424384,0.22053691165148784
GNB2,3.7626002128545912,6.61633014208311,0.00014345753692750698,0.288751330327686,True,3.974214356954673,0.2116141441000815
COMMD5,2.7779818366091233,6.336319979759491,0.00019447180727465903,0.35584804880221244,True,2.9689414894666717,0.19095965285754843
MRPL44,3.1909833531405316,6.03304232197992,0.00027329241646044736,0.4035949562718305,True,3.729911065691752,0.5389277125512204
PPP1R18,3.440438442898416,6.031874380750998,0.00027365683513813177,0.4035949562718305,True,3.440438442898416,0.0
AC010145.1,2.2689133766429372,6.007867219686358,0.00028126688234393073,0.4035949562718305,True,2.2689133766429372,0.0
C14orf132,3.3474298725426004,5.949453987075229,0.00030077128100543807,0.4035949562718305,True,3.3474298725426004,0.0
FCGRT,3.2980887058110766,5.740955150451295,0.00038346913806889697,0.4449714428456273,True,3.2980887058110766,0.0
FBL,3.5063198733367145,5.735718849620753,0.00038584389645052126,0.4449714428456273,True,3.5063198733367145,0.0
PAFAH1B3,3.41341032454433,5.709610024506276,0.00039792756216321996,0.4449714428456273,True,3.8367115938777068,0.42330126933337703
AC109361.1,2.6787058335440044,5.593656037729504,0.0004568340038449687,0.4627877163953131,True,3.206017546235775,0.5273117126917706
COL15A1,3.02522157880267,5.53231558071124,0.0004918039569146779,0.4627877163953131,True,3.2514195026706103,0.22619792386794016
LINC01098,3.048103455802382,5.509850525263779,0.000505334857168158,0.4627877163953131,True,3.6396932885770297,0.5915898327746479
PDCL3,3.1030512186368866,5.472681774894123,0.0005286240901125523,0.4627877163953131,True,3.1030512186368866,0.0
ADAMTS15,3.8430792264856826,5.4489355111512365,0.000544115655070547,0.4627877163953131,True,3.8430792264856826,0.0
CAV1,3.707455840855699,5.437408824652964,0.0005518136522996578,0.4627877163953131,True,4.351389396922039,0.6439335560663406
KLF2,3.6743219230907136,5.3424941255792655,0.0006199178510274763,0.4664952078314985,True,3.6743219230907136,0.0
