gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
AC009005.1,2.347091628251932,7.280359396570362,7.15775961606217e-05,0.7772512569674103,True,2.347091628251932,0.0
LINC02197,-4.916207492150139,-6.525063126802307,0.0001569730916360008,0.7772512569674103,True,2.755107547016591,7.67131503916673
AC005358.1,1.8140266477359932,6.393302250756419,0.0001812218777063509,0.7772512569674103,True,1.9138291739701974,0.09980252623420421
HPN,2.012776436866919,6.382219108128452,0.00018344220261147666,0.7772512569674103,True,2.012776436866919,0.0
AC092849.1,2.2983681155443954,5.896366173074361,0.00031754288532251157,0.7772512569674103,True,2.5097466158001085,0.2113785002557131
SULT1B1,3.1238579612942576,5.847981323405548,0.00033592745486325104,0.7772512569674103,True,3.2433520158749136,0.11949405458065608
PCDHB11,1.9941960715273992,5.842781628506974,0.00033797155704830896,0.7772512569674103,True,1.9941960715273992,0.0
PAX6,1.926326456801784,5.734583431716891,0.0003837535903798448,0.7772512569674103,True,1.926326456801784,0.0
PRDX3,1.7387109459516337,5.687335415696822,0.000405840620476257,0.7772512569674103,True,5.0625522840248784,3.3238413380732448
IL1RL2,-2.5481401538050017,-5.679809488124564,0.00040948550788920255,0.7772512569674103,True,0.0,2.5481401538050017
AC007785.3,-2.3264996322369376,-5.6452313100998905,0.0004266987985547494,0.7772512569674103,True,0.0,2.3264996322369376
CLEC4F,2.726338681354511,5.30284128730626,0.000647137267276302,0.9630930074670243,True,2.8723816690508035,0.14604298769629226
AL139300.2,-2.5227301755878835,-5.272128635563945,0.0006723013138454863,0.9630930074670243,True,0.5574736572378964,3.08020383282578
P2RY11,-2.477090847099018,-5.208833105126303,0.0007275936670069438,0.9630930074670243,True,0.3079962733472234,2.7850871204462413
RNASEH2B-AS1,-2.8603765096806977,-5.155435507200687,0.0007781023523564628,0.9630930074670243,True,1.062443100765726,3.9228196104464237
LINC02091,-2.216500320496551,-5.021190364207645,0.000922768176594409,0.9630930074670243,True,0.26529886905147115,2.4817991895480223
LINC02308,-1.3540340306695229,-4.972496069842517,0.0009822705727552893,0.9630930074670243,True,3.301699719038305,4.655733749707828
AL360219.1,2.4346102465303456,4.9510776367561835,0.0010097527069008769,0.9630930074670243,True,2.4346102465303456,0.0
AC006441.1,2.306488186353094,4.923348121272203,0.001046580646294738,0.9630930074670243,True,2.7312075705307244,0.4247193841776303
AC007370.1,-2.0212639922032816,-4.8331926755850825,0.0011767608335736658,0.9630930074670243,True,0.0,2.0212639922032816
ZNF572,1.518479352839086,4.8202450928694995,0.0011968574364142196,0.9630930074670243,True,1.6299331900330536,0.11145383719396762
HPS6,2.172612946302674,4.793883020953955,0.0012389357423749966,0.9630930074670243,True,2.2398697975923003,0.0672568512896265
