gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
ADAMTS8,-1.9513208781117617,-6.5212362344581605,0.00010012031635024133,0.8439541068075318,True,0.26106184622209155,2.212382724333853
REN,-2.5281727304494543,-6.392619234904871,0.00011661770767546426,0.8439541068075318,True,0.17207350917454065,2.700246239623995
FGFR2,-2.3528631698243885,-6.157254152113023,0.00015499858582906792,0.8439541068075318,True,0.2353592148840114,2.5882223847084
GALNT13,-2.262233723094341,-5.992346366337634,0.00018999816488401313,0.8439541068075318,True,0.8093069361424025,3.0715406592367436
COL4A1,-3.107901467958099,-5.864337537549221,0.00022307943191148544,0.8439541068075318,True,0.5866154186032622,3.6945168865613613
LINC02211,-3.663995686340966,-5.210045749101614,0.00052474977653888,0.9990279787495688,True,0.9435199410218038,4.60751562736277
SGIP1,-2.3027336967005985,-5.144928119048373,0.0005732610797969766,0.9990279787495688,True,0.5120250602325396,2.814758756933138
ERICH6-AS1,-1.696689942107216,-5.059962529408885,0.0006439525125289457,0.9990279787495688,True,0.6703512219890323,2.367041164096248
PKIG,-2.408845541588537,-5.036484585826865,0.0006651016243482042,0.9990279787495688,True,1.2412001932049546,3.6500457347934914
GFER,2.3395427503511073,4.9851036459298905,0.0007140388498817058,0.9990279787495688,True,2.8843409874089403,0.544798237057833
YAP1,-2.105069986688298,-4.860225843385188,0.0008498692264575753,0.9990279787495688,True,1.1461788306465897,3.2512488173348877
BMP6,-1.8710452690155916,-4.815360221867024,0.0009052402025599081,0.9990279787495688,True,1.0141536991617657,2.8851989681773573
OBSL1,-1.8121511074002967,-4.772896301075176,0.0009612249450045597,0.9990279787495688,True,0.25746902015133866,2.0696201275516355
TPM2,-2.988823686785378,-4.715534977802938,0.0010428207916177853,0.9990279787495688,True,0.7467867007512607,3.7356103875366387
ERG,-2.716327333423641,-4.695613773241367,0.001072869952652464,0.9990279787495688,True,1.1541531197756543,3.870480453199295
COL4A2,-2.353693611425478,-4.642656810369738,0.0011573522177878832,0.9990279787495688,True,1.5004069637684505,3.854100575193929
SEMA3F,-2.2782463723353747,-4.505995502268244,0.0014100402244347535,0.9990279787495688,True,0.3148036819357175,2.5930500542710924
WTIP,-1.7830970048199004,-4.464186564944196,0.0014986647249940596,0.9990279787495688,True,0.7903712819426045,2.573468286762505
CD36,-1.8225826968697945,-4.439852579043767,0.001552969598790332,0.9990279787495688,True,5.167995740612348,6.990578437482142
DSP,-1.7651223871769757,-4.435105911246181,0.0015638052060713496,0.9990279787495688,True,0.38425411763536227,2.149376504812338
SPR,-1.5889380165230251,-4.365496926200819,0.0017323181758025252,0.9990279787495688,True,0.04650555740932384,1.635443573932349
LINC01197,-1.578058406572977,-4.305271612173631,0.0018937588642526887,0.9990279787495688,True,0.6553392943527512,2.233397700925728
PRKAA2,-1.8947157038957734,-4.302218919667821,0.0019023575208324593,0.9990279787495688,True,0.33135376515568193,2.2260694690514553
TIE1,-2.1528106718117623,-4.242379871887409,0.002079575511834896,0.9990279787495688,True,0.9028206668066927,3.055631338618455
ITGB1BP2,-1.4837031162897998,-4.222963943873842,0.0021407866921114476,0.9990279787495688,True,0.20346183119964598,1.6871649474894457
ZNF827,-1.9169787836350367,-4.213680404381302,0.002170728580914655,0.9990279787495688,True,0.999767940373855,2.916746724008892
AC093635.1,1.771085346715565,4.21205126963332,0.0021760287343444928,0.9990279787495688,True,2.312994864647822,0.5419095179322571
LINC01446,-2.4215820538642974,-4.190863630652361,0.002246226396015543,0.9990279787495688,True,0.14317128681096564,2.564753340675263
IGSF1,-1.962916606548234,-4.162009333916235,0.0023457190714677324,0.9990279787495688,True,0.5967599329528188,2.559676539501053
RAI2,-1.4178386901055573,-4.088758275942067,0.0026199132716161555,0.9990279787495688,True,0.24684428805454378,1.6646829781601011
PDZRN3,-2.1561316924275022,-4.087324415017073,0.0026256083531582372,0.9990279787495688,True,1.247622537844774,3.4037542302722765
JSRP1,-1.5084770966525631,-4.0632623761613385,0.002723163078765184,0.9990279787495688,True,0.7983511120842899,2.306828208736853
GPC2,1.8042479141207588,4.058653891254433,0.0027422817974465997,0.9990279787495688,True,2.628769554290514,0.8245216401697553
LINC00589,-1.6308855827457136,-4.054314009837693,0.002760416283937919,0.9990279787495688,True,0.4006714677987574,2.031557050544471
AL162414.1,-1.0978036834516196,-4.019112543954193,0.0029122880227766246,0.9990279787495688,True,7.6192765801269005,8.71708026357852
AP000229.1,-1.45794186455954,-4.018737839034426,0.002913951448142595,0.9990279787495688,True,0.06680759359300976,1.5247494581525496
C15orf61,-2.18127697931378,-4.01113422071073,0.002947924385573202,0.9990279787495688,True,1.0765726057090423,3.2578495850228224
PCDH19,-1.4725306891449432,-3.9966144016992358,0.0030139692047562758,0.9990279787495688,True,0.40172834096770493,1.8742590301126483
SLIT2,-2.779781358485479,-3.9752657378332907,0.0031139345467906423,0.9990279787495688,True,1.0279763948298304,3.8077577533153093
ANXA10,1.0773208436132937,3.9655837675812466,0.003160421176054847,0.9990279787495688,True,4.0173576771241155,2.940036833510822
ZNF726,1.7858644753511859,3.9415471736797745,0.003279031324528604,0.9990279787495688,True,2.8869275712167726,1.1010630958655867
DNM3OS,-1.862156960727185,-3.9198498338008525,0.0033901426573498565,0.9990279787495688,True,0.47826210463982355,2.3404190653670085
AC005696.4,-1.3593200356589292,-3.915896824214046,0.0034108108311722528,0.9990279787495688,True,0.345176844899105,1.7044968805580343
DMTN,-1.6411870000865196,-3.9119051678003225,0.0034318162046283684,0.9990279787495688,True,0.5858086792945594,2.226995679381079
MFAP3L,-1.6085740670948423,-3.90349141505159,0.0034765409605488386,0.9990279787495688,True,0.5334882281759399,2.142062295270782
AADACL2,-1.8971620113761825,-3.8631660732205733,0.003699606283087952,0.9990279787495688,True,0.10624631732187009,2.0034083286980526
CHRNA5,1.5887101275544382,3.8333537493359224,0.0038742034833383248,0.9990279787495688,True,2.0344694081507093,0.4457592805962712
ZAR1L,-2.074744725750505,-3.82485418755718,0.0039255581138379295,0.9990279787495688,True,0.3092038893044857,2.3839486150549907
RAPGEF4-AS1,-1.8393808651402896,-3.81981814209219,0.0039563242396403004,0.9990279787495688,True,0.4722092160862788,2.3115900812265684
AC079305.1,1.7196809489663347,3.806362031932933,0.004039783529722144,0.9990279787495688,True,2.1164582996135084,0.3967773506471738
RAB24,-1.0610977080947643,-3.755017817630225,0.00437567630748203,0.9990279787495688,True,3.0647234242118264,4.125821132306591
PLCB4,-1.702918141161995,-3.7476499977577813,0.004426238089803422,0.9990279787495688,True,1.2082652730107655,2.9111834141727604
RHOJ,-1.8475365377462094,-3.746189107168259,0.0044363363104032785,0.9990279787495688,True,1.175441172521272,3.0229777102674813
NINL,-1.2156194796412838,-3.742473567848897,0.004462128889692916,0.9990279787495688,True,2.963788908685824,4.179408388327108
MMP2-AS1,-1.779765042499081,-3.73460413634615,0.004517279355211093,0.9990279787495688,True,4.404881094464727,6.184646136963808
SYTL4,-1.8216372227704043,-3.7314388067690833,0.004539664385650677,0.9990279787495688,True,0.8274791323294304,2.6491163550998347
CROCC2,1.8676984334573983,3.7275073534402363,0.0045676299672771726,0.9990279787495688,True,2.7055490790476764,0.8378506455902781
KCNQ4,-1.6683942775437335,-3.723361039092604,0.004597320316547932,0.9990279787495688,True,0.8575294815704636,2.525923759114197
FKBP1C,-1.6270851003752798,-3.709555304821005,0.004697649941265814,0.9990279787495688,True,0.239995463489637,1.8670805638649168
TBC1D3L,-1.591373493359348,-3.705291335851917,0.004729100472770132,0.9990279787495688,True,0.987402859748542,2.57877635310789
AC097658.2,-1.4660622331869584,-3.6647953845763377,0.005039060499813829,0.9990279787495688,True,1.025347511546742,2.4914097447337005
AC005208.1,-1.632260865467164,-3.6352935738585894,0.0052782598411732435,0.9990279787495688,True,0.8395999426066589,2.471860808073823
IGFBP7,-1.7725110468981553,-3.6205907533849357,0.005401890183146377,0.9990279787495688,True,2.679444784016497,4.4519558309146525
TMEM143,-0.8757154858597032,-3.6191532326497713,0.005414139670350169,0.9990279787495688,True,4.334720599598671,5.210436085458374
PLA2G2D,-1.9836585399840863,-3.612226834628683,0.005473570936303862,0.9990279787495688,True,0.5706300142247003,2.5542885542087865
RELN,-2.2246188211045386,-3.598587900644219,0.005592606709173889,0.9990279787495688,True,1.516180666886161,3.7407994879907
GCAT,1.895915832574906,3.5897121874056794,0.0056715256616651525,0.9990279787495688,True,2.4706545641203705,0.5747387315454646
SCG3,1.6344550053493059,3.5867465341702065,0.005698154337511078,0.9990279787495688,True,2.0979176165594846,0.46346261121017884
EFEMP1,-2.1385758749076498,-3.572716800366824,0.005825914922276161,0.9990279787495688,True,1.426328934631048,3.5649048095386977
AL390962.1,-1.5148390544718913,-3.544853381367423,0.006088626604930322,0.9990279787495688,True,0.2744548126951428,1.7892938671670342
BDH1,-1.8180403830497325,-3.5384657257934062,0.006150581949386803,0.9990279787495688,True,1.095654751191686,2.9136951342414186
SAP30,1.6131774306050506,3.5220189055155364,0.006313157860614698,0.9990279787495688,True,4.826839538282866,3.2136621076778153
ENO2,-1.8170939675746798,-3.5157974031976007,0.006375823150884846,0.9990279787495688,True,1.6700338722928074,3.487127839867487
COL6A2,-1.6250611679730205,-3.509656458861191,0.006438315065861909,0.9990279787495688,True,0.908663637883096,2.5337248058561164
