gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
SCD5,-2.1381507735166183,-6.854586353711777,7.335641783618306e-05,0.9995452709640216,True,3.2354093219802422,5.3735600954968605
TMEM130,-2.3816186211042902,-6.216696549949387,0.00015389634983464592,0.9995452709640216,True,0.10196920642782617,2.4835878275321166
SEMA5B,-1.8580892134106386,-5.747021609600711,0.00027444750625354395,0.9995452709640216,True,0.2607724520049569,2.1188616654155954
RPS4Y1,-2.5884396923630417,-5.536445876657115,0.00035913949438437287,0.9995452709640216,True,0.5615486185734214,3.1499883109364633
AC012593.1,-1.9497892625578093,-4.7700213923651305,0.0010075124783499667,0.9995452709640216,True,0.47074208408594087,2.42053134664375
RANBP3L,-2.136209218523566,-4.757349313979034,0.0010255713390556957,0.9995452709640216,True,0.2663812185813971,2.402590437104963
ZNF784,2.3289056294463073,4.712819602315028,0.001091838492339208,0.9995452709640216,True,2.794173626773438,0.46526799732713064
AC034195.1,1.8202271636420067,4.684934399390085,0.0011356658813621526,0.9995452709640216,True,4.192686719754941,2.3724595561129345
LINC01579,-2.080116561314315,-4.632778772419351,0.0012227879781990289,0.9995452709640216,True,0.36907729007961365,2.4491938513939284
ATP13A5,-1.8832956403229617,-4.6276121572028055,0.0012318007075854355,0.9995452709640216,True,0.0,1.8832956403229617
ST3GAL6,2.633975545876561,4.592566314460513,0.0012948466448356312,0.9995452709640216,True,3.0463400111949106,0.4123644653183497
LINC02195,-2.702399152945194,-4.584241248165051,0.001310325745784386,0.9995452709640216,True,0.7144467056327362,3.41684585857793
LPAR3,2.7950741317101486,4.525911201892915,0.0014244997711594582,0.9995452709640216,True,3.392021046325078,0.5969469146149297
MSR1,3.0177471083257688,4.500569466214623,0.0014773813140652487,0.9995452709640216,True,3.9238158500929003,0.9060687417671314
PLG,-1.9320351204626256,-4.416387274354988,0.0016686639117365013,0.9995452709640216,True,0.3340333551372021,2.2660684755998277
CSTF2T,1.7078660690462826,4.373498509631758,0.0017761480683317213,0.9995452709640216,True,4.084159153135913,2.376293084089631
SMOX,-2.024257957972569,-4.337745711165031,0.0018714006494404717,0.9995452709640216,True,0.2861107513614188,2.3103687093339875
TEAD4,-2.418502439929109,-4.291882166193233,0.002001645514888406,0.9995452709640216,True,0.7001939532599972,3.118696393189106
