fold,protein,group,size,sp_mean,sp_sd,n_seeds
holdout_breast_cancer,ACTA2,compartment,20,0.5367742747779124,0.08873229580932854,3
holdout_breast_cancer,ACTA2,compartment,25,0.4750588400637367,0.07431237580483259,4
holdout_breast_cancer,BCL2,other,20,-0.6423054116854283,0.10089098160343805,3
holdout_breast_cancer,BCL2,other,25,-0.6946344924568882,0.01550157461609634,3
holdout_breast_cancer,CCR7,lymph_subtype,20,-0.3520647230932025,0.1486023869907749,4
holdout_breast_cancer,CCR7,lymph_subtype,25,-0.26664621391660814,0.22276299269715613,3
holdout_breast_cancer,CD14,compartment,20,-0.2678797721736584,0.01997919916746524,2
holdout_breast_cancer,CD14,compartment,25,-0.4028359025898952,0.18000303946668975,2
holdout_breast_cancer,CD163,compartment,20,-0.1868261140924579,0.22483450349478348,3
holdout_breast_cancer,CD163,compartment,25,-0.016544732528582573,0.19877723900882138,4
holdout_breast_cancer,CD19,lymph_subtype,20,-0.07296955347620937,0.18122662990482405,5
holdout_breast_cancer,CD19,lymph_subtype,25,-0.003806583654345566,0.2923657559593425,4
holdout_breast_cancer,CD27,lymph_subtype,20,0.11267177224756915,0.6010744473219218,3
holdout_breast_cancer,CD27,lymph_subtype,25,0.45062933767344365,0.26048202670741266,2
holdout_breast_cancer,CD274,other,25,0.5820960686336145,0.061832107078796154,4
holdout_breast_cancer,CD3E,lymph_subtype,20,0.7396367860532401,0.049288369079891786,3
holdout_breast_cancer,CD3E,lymph_subtype,25,0.6976691862454572,0.020604012322631565,4
holdout_breast_cancer,CD4,lymph_subtype,20,-0.1859714702895376,,1
holdout_breast_cancer,CD4,lymph_subtype,25,-0.12504211882838526,0.16250519697871474,3
holdout_breast_cancer,CD40,other,20,0.0851783651715618,0.21028724896629852,3
holdout_breast_cancer,CD40,other,25,-0.12295734637412564,0.40648433915290666,4
holdout_breast_cancer,CD68,compartment,20,-0.0533795700804001,0.09472553322705343,3
holdout_breast_cancer,CD68,compartment,25,-0.04697446168598502,0.08891924257530272,4
holdout_breast_cancer,CD8A,lymph_subtype,20,0.5082698561169046,,1
holdout_breast_cancer,CD8A,lymph_subtype,25,0.5366503645360864,0.01662951876951158,3
holdout_breast_cancer,CEACAM8,other,20,-0.1368265868577546,0.10749924069202199,2
holdout_breast_cancer,CEACAM8,other,25,-0.15036772897864534,0.09811195127150552,3
holdout_breast_cancer,CR2,lymph_subtype,20,0.028596597686373588,0.42315217126404203,3
holdout_breast_cancer,CR2,lymph_subtype,25,-0.006737349606910026,0.24283327344913938,4
holdout_breast_cancer,CXCR5,lymph_subtype,20,0.8265105691227084,,1
holdout_breast_cancer,CXCR5,lymph_subtype,25,0.7370274457463833,0.13365363947437658,5
holdout_breast_cancer,EPCAM,compartment,20,0.10597570421771008,0.9392500981002044,2
holdout_breast_cancer,EPCAM,compartment,25,-0.7893484422882401,0.10792772801929805,3
holdout_breast_cancer,FCGR3A,compartment,20,-0.10052115928994405,0.3431038574685457,2
holdout_breast_cancer,FCGR3A,compartment,25,-0.2936840451574597,0.013319298127779534,2
holdout_breast_cancer,HLA_DRA,compartment,20,-0.322781128971834,0.054357113101399936,2
holdout_breast_cancer,HLA_DRA,compartment,25,-0.46306478415348884,0.0031914392900069337,2
holdout_breast_cancer,ITGAM,compartment,20,0.33193636800007637,0.10560379105344647,3
holdout_breast_cancer,ITGAM,compartment,25,0.3382173299914061,0.17576553482059687,4
holdout_breast_cancer,ITGAX,compartment,20,0.30414822474393344,0.2860665651640674,3
holdout_breast_cancer,ITGAX,compartment,25,0.08209412951404435,0.3285697801738454,4
holdout_breast_cancer,KRT5,compartment,20,0.8631632455055751,0.010734881714145522,3
holdout_breast_cancer,KRT5,compartment,25,0.8599427930482969,0.014536046493347013,5
holdout_breast_cancer,MS4A1,lymph_subtype,20,-0.4416640496056239,0.018816494376034783,2
holdout_breast_cancer,MS4A1,lymph_subtype,25,-0.5648712673529149,0.11548520081677423,3
holdout_breast_cancer,PAX5,lymph_subtype,20,-0.23726173239671078,0.36121361615233893,3
holdout_breast_cancer,PAX5,lymph_subtype,25,-0.22507309678424947,0.2573601901031886,2
holdout_breast_cancer,PCNA,other,20,0.4599008327749587,0.3140068652222247,3
holdout_breast_cancer,PCNA,other,25,0.1940001389292298,0.9043133818235892,2
holdout_breast_cancer,PDCD1,lymph_subtype,20,0.09780061382206492,0.2954778209047878,5
holdout_breast_cancer,PDCD1,lymph_subtype,25,0.259926116905751,0.3125262910598261,4
holdout_breast_cancer,PECAM1,compartment,25,0.38696382550784775,0.0735657438116171,3
holdout_breast_cancer,PTPRC_1,compartment,20,-0.6168073747623035,0.07464869554444098,2
holdout_breast_cancer,PTPRC_1,compartment,25,-0.19214342980481255,0.5340827728770042,5
holdout_breast_cancer,PTPRC_2,compartment,20,0.6356062371651726,0.12454819744624322,3
holdout_breast_cancer,PTPRC_2,compartment,25,0.6776019933461552,0.041944133504881964,2
holdout_breast_cancer,SDC1,lymph_subtype,20,-0.38432306176743614,0.7658538249004667,4
holdout_breast_cancer,SDC1,lymph_subtype,25,-0.23159831007612353,0.7101215411968362,4
holdout_breast_cancer,VIM,compartment,20,0.7192084398948076,0.14982392396812663,3
holdout_breast_cancer,VIM,compartment,25,0.7835538492210866,0.0722368560305804,4
holdout_breast_cancer,mouse_IgG1k,isotype,20,0.07485181870767006,0.16408113861300752,5
holdout_breast_cancer,mouse_IgG1k,isotype,25,-0.04053210668394056,0.1629428391019871,5
holdout_breast_cancer,mouse_IgG2a,isotype,20,-0.3242107520226268,0.3100641096388032,5
holdout_breast_cancer,mouse_IgG2a,isotype,25,0.20112142001572053,0.4164168450001689,5
holdout_breast_cancer,mouse_IgG2bk,isotype,20,0.14517294907895134,0.3865790125247328,5
holdout_breast_cancer,mouse_IgG2bk,isotype,25,0.3491747541988444,0.11229264745531761,5
holdout_breast_cancer,rat_IgG2a,isotype,20,-0.15549201615045044,0.284808680090044,5
holdout_breast_cancer,rat_IgG2a,isotype,25,-0.18542993687229378,0.23632158574609338,5
holdout_tonsil,ACTA2,compartment,20,0.47694667252020856,0.1462791705877159,3
holdout_tonsil,ACTA2,compartment,25,0.212309862115733,0.371569288904804,4
holdout_tonsil,BCL2,other,20,-0.5579000716758653,0.11212062432302981,3
holdout_tonsil,BCL2,other,25,-0.5529070477347342,0.08797284270623544,3
holdout_tonsil,CCR7,lymph_subtype,20,-0.2626228595864758,0.2537118836178479,4
