section,protein,isotype,compartment,spearman,perm_p
A,ACTA2,False,tropho,-0.11347255214000246,0.0
A,ACTA2,False,immune,0.10287586344124172,0.0
A,ACTA2,False,stroma,0.04076984198457546,0.0835
A,ACTA2,False,endo,0.023482462439779823,0.3145
A,BCL2,False,tropho,-0.11096252135593701,0.0
A,BCL2,False,immune,0.10144884869911296,0.0
A,BCL2,False,stroma,0.03832513371770679,0.097
A,BCL2,False,endo,0.01940442658618155,0.387
A,CCR7,False,tropho,0.021899616208925488,0.34
A,CCR7,False,immune,-0.05205011411721259,0.026
A,CCR7,False,stroma,0.07268925499925927,0.001
A,CCR7,False,endo,-0.08532082612247434,0.0
A,CD14,False,tropho,-0.09561774739627743,0.0
A,CD14,False,immune,0.006120768365713194,0.777
A,CD14,False,stroma,-0.00603217229193792,0.793
A,CD14,False,endo,0.0482240100495726,0.034
A,CD163,False,tropho,-0.08134955245782156,0.0
A,CD163,False,immune,0.06819886686378282,0.0015
A,CD163,False,stroma,-0.005558896599694091,0.822
A,CD163,False,endo,0.037376692012278195,0.1025
A,CD19,False,tropho,0.10125733655699913,0.0
A,CD19,False,immune,-0.11997650130218035,0.0
A,CD19,False,stroma,-0.06907253669500002,0.0015
A,CD19,False,endo,-0.0016079768436449667,0.9375
A,CD27,False,tropho,-0.08500365628417617,0.0005
A,CD27,False,immune,0.10711599102699998,0.0
A,CD27,False,stroma,0.03744017897308345,0.1055
A,CD27,False,endo,0.0077021092833221725,0.75
A,CD274,False,tropho,0.09923977128524644,0.0
A,CD274,False,immune,-0.03405315446259353,0.129
A,CD274,False,stroma,-0.007241825919120225,0.739
A,CD274,False,endo,-0.032552729327039454,0.164
A,CD3E,False,tropho,-0.12830150851821007,0.0
A,CD3E,False,immune,0.0994619283571341,0.0
A,CD3E,False,stroma,0.013517087129146427,0.557
A,CD3E,False,endo,0.04227179643080001,0.0655
A,CD4,False,tropho,0.06743972826103263,0.006
A,CD4,False,immune,-0.06368213126068344,0.004
A,CD4,False,stroma,0.0006786850700396546,0.9735
A,CD4,False,endo,-0.024836776419171362,0.2745
A,CD40,False,tropho,0.07327334332293864,0.0
A,CD40,False,immune,-0.11825848572801297,0.0
A,CD40,False,stroma,-0.03665091326411005,0.1115
A,CD40,False,endo,-0.02796682802772406,0.238
A,CD68,False,tropho,0.09179599475831776,0.0
A,CD68,False,immune,-0.047717507776332706,0.0365
A,CD68,False,stroma,0.022481605478568485,0.3205
A,CD68,False,endo,-0.05740948995863044,0.011
A,CD8A,False,tropho,-0.1156702401430122,0.0
A,CD8A,False,immune,0.1316469202587331,0.0
A,CD8A,False,stroma,0.044364994149696746,0.05
A,CD8A,False,endo,0.040762196192843145,0.073
A,CEACAM8,False,tropho,0.11655581555996292,0.0
A,CEACAM8,False,immune,-0.0723634654839355,0.0015
A,CEACAM8,False,stroma,-0.023349440342398282,0.3
A,CEACAM8,False,endo,-0.019428940216578115,0.3965
A,CR2,False,tropho,0.1201820440757663,0.0
A,CR2,False,immune,-0.08385818236475473,0.001
A,CR2,False,stroma,0.017267081399118308,0.4615
A,CR2,False,endo,-0.04740362499361667,0.0405
A,CXCR5,False,tropho,0.11290051944621056,0.0
A,CXCR5,False,immune,-0.10520090049660379,0.0
A,CXCR5,False,stroma,-0.039890680010870705,0.0815
A,CXCR5,False,endo,-0.045849989339631615,0.048
A,EPCAM,False,tropho,0.11453846770517784,0.0
A,EPCAM,False,immune,-0.08922140246411511,0.0005
A,EPCAM,False,stroma,-0.04580079417797735,0.0415
A,EPCAM,False,endo,-0.029789521105855605,0.187
A,FCGR3A,False,tropho,-0.059252991206215556,0.012
A,FCGR3A,False,immune,-0.020367539022195895,0.372
A,FCGR3A,False,stroma,-0.04830565188197516,0.034
A,FCGR3A,False,endo,0.03736685630159309,0.1025
A,HLA_DRA,False,tropho,0.1187642306866762,0.0
A,HLA_DRA,False,immune,-0.11105895308717159,0.0
A,HLA_DRA,False,stroma,-0.052425771383452904,0.025
A,HLA_DRA,False,endo,-0.028361170765754368,0.215
A,ITGAM,False,tropho,0.084035651600654,0.001
A,ITGAM,False,immune,-0.11377189587674229,0.0
A,ITGAM,False,stroma,-0.021055864566105156,0.3435
A,ITGAM,False,endo,-0.05198897522215506,0.023
A,ITGAX,False,tropho,-0.12860719387853473,0.0
A,ITGAX,False,immune,0.09265378884929575,0.0
A,ITGAX,False,stroma,0.03794995279975905,0.093
A,ITGAX,False,endo,-4.833805985109938e-05,0.9965
A,KRT5,False,tropho,0.11031640958600565,0.0
A,KRT5,False,immune,-0.10268635091524418,0.0
A,KRT5,False,stroma,-0.04459128349065584,0.0505
A,KRT5,False,endo,-0.029686415711486166,0.1955
A,MS4A1,False,tropho,0.1208876414298225,0.0
A,MS4A1,False,immune,-0.12805544932267454,0.0
A,MS4A1,False,stroma,-0.04161629283727584,0.0695
A,MS4A1,False,endo,-0.03957943239681609,0.088
A,PAX5,False,tropho,0.11848163907189524,0.0
A,PAX5,False,immune,-0.10967954147075823,0.0
A,PAX5,False,stroma,-0.03497419017289003,0.1375
A,PAX5,False,endo,-0.023225296919971352,0.3015
A,PCNA,False,tropho,0.11115432734996417,0.0
A,PCNA,False,immune,-0.09760559201070476,0.0
A,PCNA,False,stroma,-0.04458098149025956,0.0545
A,PCNA,False,endo,-0.04425980950164151,0.061
A,PDCD1,False,tropho,0.13887909206325658,0.0
A,PDCD1,False,immune,-0.13677770148096094,0.0
A,PDCD1,False,stroma,-0.0454615821975281,0.045
A,PDCD1,False,endo,-0.02638019218121008,0.2435
A,PECAM1,False,tropho,-0.09494626807876994,0.0
A,PECAM1,False,immune,0.10857822991039388,0.0
A,PECAM1,False,stroma,0.00560840515985187,0.8065
A,PECAM1,False,endo,0.031269988406788046,0.1785
A,PTPRC_1,False,tropho,-0.1085085394881856,0.0
A,PTPRC_1,False,immune,0.07890920184604672,0.0005
A,PTPRC_1,False,stroma,0.04098597957081363,0.0785
A,PTPRC_1,False,endo,0.04186966256620881,0.0695
A,PTPRC_2,False,tropho,-0.1019535963196046,0.0
A,PTPRC_2,False,immune,0.1269353151565817,0.0
A,PTPRC_2,False,stroma,0.06681476793534886,0.0035
A,PTPRC_2,False,endo,0.015487335018946675,0.5195
A,SDC1,False,tropho,0.08153111050812807,0.0
A,SDC1,False,immune,-0.11532572981683345,0.0
A,SDC1,False,stroma,-0.08054874218694526,0.0015
A,SDC1,False,endo,0.01160472678556355,0.6125
A,VIM,False,tropho,-0.1021550152844102,0.0
A,VIM,False,immune,0.08694569167012822,0.0
A,VIM,False,stroma,0.018402585076130778,0.405
