section,protein,isotype,compartment,spearman,perm_p
B,ACTA2,False,tropho,-0.276967331589643,0.0
B,ACTA2,False,immune,0.35869111356476935,0.0
B,ACTA2,False,stroma,0.019052783467751477,0.471
B,ACTA2,False,endo,0.08129639475578147,0.0015
B,BCL2,False,tropho,-0.2937435768471713,0.0
B,BCL2,False,immune,0.3526801491987294,0.0
B,BCL2,False,stroma,0.008620321170945681,0.737
B,BCL2,False,endo,0.08557554813801199,0.0025
B,CCR7,False,tropho,0.10040736319883936,0.0
B,CCR7,False,immune,-0.176623552806667,0.0
B,CCR7,False,stroma,0.022635045312786584,0.401
B,CCR7,False,endo,-0.04130359913761794,0.1195
B,CD14,False,tropho,-0.23874154233077544,0.0
B,CD14,False,immune,0.27523170487431126,0.0
B,CD14,False,stroma,-0.025391527368530408,0.3485
B,CD14,False,endo,0.04693969612180757,0.078
B,CD163,False,tropho,-0.23026735602309267,0.0
B,CD163,False,immune,0.2548464132120765,0.0
B,CD163,False,stroma,0.019093870583778302,0.489
B,CD163,False,endo,0.08424159713804974,0.0015
B,CD19,False,tropho,0.24030895812680256,0.0
B,CD19,False,immune,-0.3079441684026944,0.0
B,CD19,False,stroma,-0.025303653268237487,0.3555
B,CD19,False,endo,-0.059790778730456455,0.026
B,CD27,False,tropho,-0.25426487634268613,0.0
B,CD27,False,immune,0.30947935505340024,0.0
B,CD27,False,stroma,-0.010511920618326242,0.7035
B,CD27,False,endo,0.07125532826362901,0.007
B,CD274,False,tropho,0.28016419206028303,0.0
B,CD274,False,immune,-0.328223626474927,0.0
B,CD274,False,stroma,-0.027611697991552654,0.3255
B,CD274,False,endo,-0.09850623883965565,0.0005
B,CD3E,False,tropho,-0.2838949810303614,0.0
B,CD3E,False,immune,0.35741335896256055,0.0
B,CD3E,False,stroma,0.008536019362960426,0.743
B,CD3E,False,endo,0.08258822315378174,0.0035
B,CD4,False,tropho,0.24554087644118253,0.0
B,CD4,False,immune,-0.3214003721369452,0.0
B,CD4,False,stroma,-0.017951278951882026,0.51
