experiment,fold,protein,spearman,kind
Internal LODO (20 ep),holdout_tonsil,ACTA2,0.5084804752536775,marker
Internal LODO (20 ep),holdout_tonsil,BCL2,-0.4989713428743941,marker
Internal LODO (20 ep),holdout_tonsil,CCR7,-0.2954588215849838,marker
Internal LODO (20 ep),holdout_tonsil,CD14,-0.0454069674694511,marker
Internal LODO (20 ep),holdout_tonsil,CD163,-0.0481597455785719,marker
Internal LODO (20 ep),holdout_tonsil,CD19,0.0525619159923439,marker
Internal LODO (20 ep),holdout_tonsil,CD27,-0.2112735382026235,marker
Internal LODO (20 ep),holdout_tonsil,CD274,0.4675535679707876,marker
Internal LODO (20 ep),holdout_tonsil,CD3E,0.6183107468053376,marker
Internal LODO (20 ep),holdout_tonsil,CD4,-0.3346690853496644,marker
Internal LODO (20 ep),holdout_tonsil,CD40,0.0582734662779913,marker
Internal LODO (20 ep),holdout_tonsil,CD68,-0.1827702699885733,marker
Internal LODO (20 ep),holdout_tonsil,CD8A,-0.1363371627910121,marker
Internal LODO (20 ep),holdout_tonsil,CEACAM8,-0.4054941292233298,marker
Internal LODO (20 ep),holdout_tonsil,CR2,-0.2499442728221757,marker
Internal LODO (20 ep),holdout_tonsil,CXCR5,0.5065393621105382,marker
Internal LODO (20 ep),holdout_tonsil,EPCAM,-0.113845015753163,marker
Internal LODO (20 ep),holdout_tonsil,FCGR3A,-0.3409706416731106,marker
Internal LODO (20 ep),holdout_tonsil,HLA_DRA,0.1734389624028602,marker
Internal LODO (20 ep),holdout_tonsil,ITGAM,-0.3050487918192079,marker
Internal LODO (20 ep),holdout_tonsil,ITGAX,-0.0114850806245113,marker
Internal LODO (20 ep),holdout_tonsil,KRT5,0.6346947655407755,marker
Internal LODO (20 ep),holdout_tonsil,MS4A1,-0.0728583312442271,marker
Internal LODO (20 ep),holdout_tonsil,PAX5,0.0630354553872635,marker
Internal LODO (20 ep),holdout_tonsil,PCNA,0.1678572347427377,marker
Internal LODO (20 ep),holdout_tonsil,PDCD1,0.3585088994224804,marker
Internal LODO (20 ep),holdout_tonsil,PECAM1,0.6400401046875965,marker
Internal LODO (20 ep),holdout_tonsil,PTPRC_1,0.1645283641888309,marker
Internal LODO (20 ep),holdout_tonsil,PTPRC_2,0.4917216713508301,marker
Internal LODO (20 ep),holdout_tonsil,SDC1,0.032324614530291,marker
Internal LODO (20 ep),holdout_tonsil,VIM,0.5151381325103507,marker
Internal LODO (20 ep),holdout_tonsil,mouse_IgG1k,0.2324717977282629,isotype
Internal LODO (20 ep),holdout_tonsil,mouse_IgG2a,0.0917297798663032,isotype
Internal LODO (20 ep),holdout_tonsil,mouse_IgG2bk,0.1522511335525418,isotype
Internal LODO (20 ep),holdout_tonsil,rat_IgG2a,0.180861733161044,isotype
Internal LODO (100 ep),holdout_tonsil,ACTA2,0.0328191362511044,marker
