set,sample,protein,model_pcc,model_spear,baseline_spear
内部 LODO,tonsil,ACTA2,0.4936161937938384,0.5084804752536775,0.21428429802215537
内部 LODO,tonsil,BCL2,-0.4128218858183115,-0.4989713428743941,0.45659774380844176
内部 LODO,tonsil,CCR7,-0.19394607275341694,-0.2954588215849838,0.5208687046281509
内部 LODO,tonsil,CD14,-0.10900587058723772,-0.04540696746945119,0.014599890282069757
内部 LODO,tonsil,CD163,-0.02111088106481552,-0.04815974557857192,0.285412205938464
内部 LODO,tonsil,CD19,0.03226606097319665,0.05256191599234397,0.4367410844003416
内部 LODO,tonsil,CD27,-0.2982546220883714,-0.21127353820262354,0.387204823651588
内部 LODO,tonsil,CD274,0.49478502383159817,0.4675535679707876,
内部 LODO,tonsil,CD3E,0.48382265101187194,0.6183107468053376,0.7754578850877211
内部 LODO,tonsil,CD4,-0.30728284530288397,-0.3346690853496644,0.38331139833308775
内部 LODO,tonsil,CD40,0.10218537856701689,0.0582734662779913,0.30460625440048944
内部 LODO,tonsil,CD68,-0.10867706723465333,-0.1827702699885733,
内部 LODO,tonsil,CD8A,-0.06929640673576594,-0.13633716279101216,0.5094458098369894
内部 LODO,tonsil,CEACAM8,-0.585427229492205,-0.40549412922332984,
内部 LODO,tonsil,CR2,-0.22894261729700974,-0.2499442728221757,0.27054136791374545
内部 LODO,tonsil,CXCR5,0.5599854562985966,0.5065393621105382,0.6395183904093134
内部 LODO,tonsil,EPCAM,-0.0288957081900923,-0.11384501575316304,-0.015545899679387106
内部 LODO,tonsil,FCGR3A,-0.3688310999985293,-0.34097064167311064,0.2492537155245241
内部 LODO,tonsil,HLA_DRA,0.14357179589301997,0.17343896240286025,
内部 LODO,tonsil,ITGAM,-0.22404029497418762,-0.30504879181920797,0.13194412184907814
内部 LODO,tonsil,ITGAX,0.06365111257588191,-0.011485080624511331,0.2701845921277985
内部 LODO,tonsil,KRT5,0.6763293134095316,0.6346947655407755,0.6415701766412846
内部 LODO,tonsil,MS4A1,-0.030464440500951973,-0.0728583312442271,0.557473376123608
内部 LODO,tonsil,PAX5,0.03683968696512921,0.06303545538726354,0.7241226153090715
内部 LODO,tonsil,PCNA,0.07732040638999035,0.1678572347427377,
内部 LODO,tonsil,PDCD1,0.3519983139630098,0.3585088994224804,
内部 LODO,tonsil,PECAM1,0.40079292216144075,0.6400401046875965,0.6760171482898879
内部 LODO,tonsil,PTPRC_1,0.14976426714869187,0.1645283641888309,-0.0723180188010953
内部 LODO,tonsil,PTPRC_2,0.47665983029620496,0.49172167135083017,0.3360437385105431
内部 LODO,tonsil,SDC1,0.08578280261756303,0.032324614530291035,0.0419410659893118
内部 LODO,tonsil,VIM,0.22787772451930283,0.5151381325103507,
内部 LODO,breast_cancer,ACTA2,0.49969318124049017,0.49766509307010354,0.33002843762760115
内部 LODO,breast_cancer,BCL2,-0.7224014786879233,-0.7441877903198785,0.436840642489419
内部 LODO,breast_cancer,CCR7,0.36200132844873206,0.436174565278433,-0.026304408631597907
内部 LODO,breast_cancer,CD14,0.29390661140346075,0.20526623017613588,0.09402287659018173
内部 LODO,breast_cancer,CD163,-0.10409427387248145,-0.13324989571253087,0.16693254398929006
内部 LODO,breast_cancer,CD19,0.014714270907867585,0.06471508207756949,0.20249521149615027
内部 LODO,breast_cancer,CD27,0.36198356593409386,0.4443621895980292,0.28356468757120984
内部 LODO,breast_cancer,CD274,0.5562818940633925,0.5732262271155717,
内部 LODO,breast_cancer,CD3E,0.6557558491450807,0.656081132754673,0.6083837767831854
内部 LODO,breast_cancer,CD4,0.21933902366428765,0.21868071292200889,-0.1533319386256851
内部 LODO,breast_cancer,CD40,0.03611834685972756,-0.06217335278450748,0.07702771172974193
内部 LODO,breast_cancer,CD68,-0.0784049900625974,-0.1059022389009562,
内部 LODO,breast_cancer,CD8A,0.5095676982702174,0.510261422693676,0.3387590709313496
内部 LODO,breast_cancer,CEACAM8,-0.12592584575708693,-0.11568615923894766,
内部 LODO,breast_cancer,CR2,0.2567377429275329,0.28130105035776465,-0.07015369937068286
内部 LODO,breast_cancer,CXCR5,-0.05569016456253291,-0.30468733603070275,0.4397016534616422
内部 LODO,breast_cancer,EPCAM,0.8364527293329242,0.8328229982940085,0.810114889757854
内部 LODO,breast_cancer,FCGR3A,-0.07741476087501833,-0.06300605384901568,0.395667496750517
内部 LODO,breast_cancer,HLA_DRA,-0.37985308853261346,-0.402951225157475,
内部 LODO,breast_cancer,ITGAM,0.2569459913924191,0.3273882488203499,0.04478935762290136
内部 LODO,breast_cancer,ITGAX,0.22391213024144554,0.24231168140472978,0.4080398586702047
内部 LODO,breast_cancer,KRT5,0.8647630489722314,0.8690221876615627,0.21372749686638112
内部 LODO,breast_cancer,MS4A1,-0.3098731440239271,-0.44664026058418976,0.8252988886789805
内部 LODO,breast_cancer,PAX5,-0.2438467837023071,-0.3811473585587367,0.6019923658539187
内部 LODO,breast_cancer,PCNA,0.8124880426682839,0.8282272575361997,
内部 LODO,breast_cancer,PDCD1,-0.2624789090288795,-0.3010623728488655,
内部 LODO,breast_cancer,PECAM1,0.4818035732825254,0.4794431184225981,0.40807269432402205
内部 LODO,breast_cancer,PTPRC_1,0.4542774967433661,0.5102387606648062,0.247530953453912
内部 LODO,breast_cancer,PTPRC_2,0.6538276827566575,0.6732042078846986,0.4111952705754002
内部 LODO,breast_cancer,SDC1,0.40890887456554725,0.5034556433505332,0.06891367042302732
内部 LODO,breast_cancer,VIM,0.8072673585664031,0.8429917889677633,
外部 GSE,A1LN,ACTA2,0.6244193555425344,0.47308266416471656,0.18879948630735852
外部 GSE,A1LN,BCL2,0.10469448215956274,-0.06278607652402535,0.15647869172869175
外部 GSE,A1LN,CCR7,0.08205162986739685,0.014543925668610999,0.18106180684323625
外部 GSE,A1LN,CD14,0.3040304839318695,0.24988550184425257,-0.0008498758638033758
外部 GSE,A1LN,CD163,0.24368046693789605,0.2821966487959321,0.10493255133400267
外部 GSE,A1LN,CD19,0.18379037753785027,0.2442804977779541,-0.03644918730602254
外部 GSE,A1LN,CD27,0.014724039171298199,-0.07996418248801995,0.028579139274490982
外部 GSE,A1LN,CD274,-0.086573852047855,0.0967037772737583,
外部 GSE,A1LN,CD3E,0.04936942961772836,-0.009197802213731232,0.31448273680221894
外部 GSE,A1LN,CD4,0.06985441956847585,0.03369706064709205,0.02810607797052522
外部 GSE,A1LN,CD40,0.06677298225948945,0.13833128528747501,-0.012466496659689182
外部 GSE,A1LN,CD68,-0.4331217650411787,-0.5068068374223518,
外部 GSE,A1LN,CD8A,0.023944865685592398,0.028453812507391152,0.1666242757036654
外部 GSE,A1LN,CEACAM8,0.03810035982958021,0.0662361631462393,
外部 GSE,A1LN,CR2,0.11971253354560085,0.08007112153536619,0.13483327947743293
外部 GSE,A1LN,CXCR5,0.3766332536353765,0.3492645955637741,0.15980819718303063
外部 GSE,A1LN,EPCAM,0.0306514127497289,0.025583261035015053,0.030884136593346538
外部 GSE,A1LN,FCGR3A,0.12687868277439715,0.08963518130241965,0.00724682082662027
外部 GSE,A1LN,HLA_DRA,0.3268003862665958,0.39410616698211276,
外部 GSE,A1LN,ITGAM,-0.1918809768901333,-0.0871386551471532,0.030657095499209114
外部 GSE,A1LN,ITGAX,0.18627372954765795,0.10393999449950041,0.12491678182344548
外部 GSE,A1LN,KRT5,0.0005545042172968497,0.02485568786475745,0.008421087315135602
外部 GSE,A1LN,MS4A1,0.24744934143608732,0.14797978912635984,0.20982428839512945
外部 GSE,A1LN,PAX5,0.33788897395201,0.17581708631104898,0.1279242869021218
外部 GSE,A1LN,PCNA,-0.09434909278341261,-0.19588460295896784,
外部 GSE,A1LN,PDCD1,0.13399424420230466,0.15150079582775988,
外部 GSE,A1LN,PECAM1,0.5825694754306365,0.6131055794796721,0.21159423505340763
外部 GSE,A1LN,PTPRC_1,-0.0505643545440648,-0.1262883360247602,0.03879740726921422
外部 GSE,A1LN,PTPRC_2,0.09851026062440996,0.10218114538651465,0.08531263522099455
外部 GSE,A1LN,SDC1,0.014893424327250049,-0.0170047533637798,0.005886040616457618
外部 GSE,A1LN,VIM,-0.013381780283824349,0.18815107768346467,
外部 GSE,A1TNSL,ACTA2,0.4819295591120236,0.7082964846028328,0.26911778085746074
外部 GSE,A1TNSL,BCL2,-0.024582316204342036,-0.12639140607457375,0.2626521594577437
外部 GSE,A1TNSL,CCR7,-0.08617898789391235,-0.08960492156306024,0.17703927112668508
外部 GSE,A1TNSL,CD14,0.14671867715296338,0.16515460422847328,0.020753127388220688
外部 GSE,A1TNSL,CD163,0.06266535880354421,0.0885377708058067,0.061707853761876645
外部 GSE,A1TNSL,CD19,0.05179723158943865,0.14191613037857329,0.15379424426344257
外部 GSE,A1TNSL,CD27,0.19878653843585078,0.2600274432432216,0.08785304208252742
外部 GSE,A1TNSL,CD274,0.22025414361338744,0.2999152522404054,
