,vSCT,vFB1,vEVT,vHBC,vVEC,vEB1,vVCT,vTcell
ACTA2,0.3165802320717685,0.6252113931537776,0.0974532852370519,0.8472520325203252,0.6430831949738481,0.7088601101693578,0.4874357509994289,0.6903729703971455
BCL2,0.32645512859888204,0.620048401742796,0.07481443221673317,0.8577135709818636,0.6411773417830056,0.7130111905551083,0.5052684180468304,0.6793605225537256
CCR7,0.6007438347709849,0.4148783291818356,0.6068462224147555,0.295349593495935,0.5098527543281185,0.458532600975425,0.5453169617361507,0.5055381861713873
CD14,0.4388522772810104,0.5444946141606338,0.35179361363579564,0.7219712320200125,0.5416598461286626,0.6047674290133687,0.33853988197220636,0.49744302002580226
CD163,0.40121447187146253,0.5703345635095846,0.1888646833892883,0.8083577235772358,0.5990264169180523,0.6065983237842701,0.5061916999809633,0.5358848894106161
CD19,0.6410258660278404,0.3817989453251914,0.81299099444338,0.24214383989993746,0.3479916438665825,0.3602956263711981,0.5664858176280221,0.3463487488232081
CD27,0.3270766971747149,0.6095641343918958,0.19182210485100426,0.781140712945591,0.6472924412849114,0.6456942405732594,0.47601846563868266,0.6832831622868699
CD274,0.6293667020595126,0.42606654614827094,0.8919229071036431,0.17417385866166354,0.40368231103212276,0.2858050412740502,0.47604702075004757,0.343913806529597
CD3E,0.32695092094525224,0.6359914026508493,0.11694310920799421,0.8531307066916823,0.6282339093764859,0.6896396609687959,0.42105939463163905,0.6825451248852265
CD4,0.6345498527248103,0.3976815481893083,0.7541862092521473,0.23813633520950594,0.4611969849324572,0.3348998532127468,0.5600561583856843,0.3776136403258987
CD40,0.635809077533733,0.39199788398577107,0.8446062464073577,0.20291932457786116,0.3570415234353686,0.32759994949255805,0.5568484675423567,0.38795197526703007
CD68,0.634694641640122,0.3840524171713722,0.885753975857444,0.1766178861788618,0.3815876653493285,0.32529949334722286,0.5617218732153055,0.3216738920721998
CD8A,0.3237202268652176,0.6473274906903704,0.1753417696210335,0.8363452157598499,0.6355104490642222,0.6778098710481872,0.36214544070055205,0.6183068143516313
CEACAM8,0.6602491539354797,0.4055457900480685,0.9117417962794805,0.16067792370231396,0.3631527254869864,0.28501586249348926,0.4701646678088711,0.32328943851044295
CR2,0.6534528500016088,0.37954547347901063,0.8205844864500113,0.17881926203877424,0.3805626359235788,0.34191959846583647,0.6117932609937179,0.3523518404444496
CXCR5,0.6459706268628775,0.40337562584869663,0.8249206494664145,0.18080050031269543,0.3422740842940548,0.36121107375664885,0.5741766609556443,0.37349922709468963
EPCAM,0.6321703419650927,0.40544582087189784,0.8250143705690746,0.18645653533458412,0.3499481639111693,0.30804804520416057,0.5732153055396916,0.4771847650484083
FCGR3A,0.49754005095399806,0.4687846247407049,0.2896773494839091,0.6312520325203252,0.5764523848498312,0.5936715753586818,0.5233295259851514,0.5983914271435047
HLA_DRA,0.6845795417650208,0.35932670759849045,0.9073806409690346,0.1382614133833646,0.3443436303969943,0.2950936755212526,0.5537549971444888,0.330954567114913
ITGAM,0.6210698584578664,0.4214658813532494,0.7489065871356332,0.189270794246404,0.3710099852676379,0.3522499487033793,0.6650533028745479,0.4737735213101036
ITGAX,0.3392184908607482,0.6084998792039121,0.13236127194115146,0.8316873045653533,0.6400275939480392,0.6929423741654435,0.47840757662288214,0.6248271132858355
KRT5,0.6826855857516008,0.3755467064321834,0.921180552662929,0.13749343339587242,0.35629321298006844,0.28850403270356867,0.49968589377498573,0.31440974441822894
MS4A1,0.6817773643737367,0.3633463015570199,0.8649020718611762,0.14860037523452158,0.3505951406589809,0.34291001783544045,0.558913953931087,0.339340299166657
PAX5,0.6656209689449715,0.3643355798628756,0.8810450111215709,0.162599124452783,0.3546095144556431,0.3281286992755339,0.5707500475918523,0.3245446832250491
PCNA,0.6647273727100682,0.3745845031115406,0.9011388155318777,0.13764602876798,0.34925052030961345,0.30969348296163013,0.5605653912050257,0.34897546461488393
PDCD1,0.6506682227818777,0.38642043703191514,0.8353674283762507,0.15543214509068168,0.392348525594556,0.32475495998863585,0.5931372549019608,0.3878008809958275
PECAM1,0.36556422339028366,0.6032223397785683,0.3143280821746628,0.7670043777360851,0.6105083054665638,0.606337894786685,0.30502569960022846,0.5606643498878415
PTPRC_1,0.35749991956171373,0.5931629414263935,0.1372764231028766,0.8179387116948093,0.649209986826618,0.6684817778619568,0.49993337140681515,0.609252780715722
PTPRC_2,0.32519590378995955,0.6136087206444679,0.08005448320101302,0.8721601000625391,0.6554420098371645,0.7060979844373945,0.476741861793261,0.6778960703866851
SDC1,0.6065032160689371,0.40454609828636173,0.7890983613385872,0.2612032520325203,0.36958741591251004,0.4011514118408384,0.5315248429468875,0.3927637466730204
VIM,0.3662165047663341,0.6113885718570108,0.09937352649599707,0.8235121951219512,0.6260552346654819,0.6872484492636962,0.4756996002284409,0.6530526854101047
mouse_IgG1k,0.3291022794747819,0.6137815840115964,0.1106992010796671,0.8495209505941214,0.6423348845185479,0.6855674984611014,0.5064486959832477,0.6424818977440463
mouse_IgG2a,0.44057804415038154,0.4854669810141873,0.35981197464115233,0.6005528455284553,0.5838029760930399,0.5693451394478906,0.5772844089091947,0.6127860621346134
mouse_IgG2bk,0.36121178084515776,0.611886335046694,0.10557161541857928,0.8196797998749218,0.6496387063583005,0.6732997143172814,0.526703788311441,0.5862573949023118
rat_IgG2a,0.6566323560812807,0.4043419945516799,0.7529990752851204,0.2954696685428393,0.3792959645799718,0.3837618574111779,0.49849609746811346,0.2667336905356873
