,vSCT,vFB1,vEVT,vHBC,vVEC,vEB1,vVCT,vTcell
ACTA2,0.34894639253616333,0.6482043266296387,0.09707111120223999,0.8292182683944702,0.6298396587371826,0.651764988899231,0.423698365688324,0.7222306132316589
BCL2,0.37907493114471436,0.660682737827301,0.07667115330696106,0.8254796862602234,0.6085225343704224,0.6235242486000061,0.40294116735458374,0.7320255637168884
CCR7,0.5050376057624817,0.34494155645370483,0.6504827737808228,0.36617010831832886,0.5630802512168884,0.5765246748924255,0.6560227274894714,0.40637385845184326
CD14,0.4988928735256195,0.5950081944465637,0.3313405513763428,0.6834596395492554,0.5082548260688782,0.5137810111045837,0.25304827094078064,0.552659273147583
CD163,0.46590879559516907,0.6262996196746826,0.18434211611747742,0.7615246772766113,0.5556341409683228,0.5049994587898254,0.3881995975971222,0.6024854779243469
CD19,0.6611749529838562,0.4201454520225525,0.7987433075904846,0.21707317233085632,0.31661325693130493,0.33469071984291077,0.5371502041816711,0.3776020109653473
CD27,0.3389289081096649,0.611522912979126,0.19138994812965393,0.7795860171318054,0.6525657176971436,0.621918261051178,0.45304110646247864,0.6907507181167603
CD274,0.5576062202453613,0.37100642919540405,0.8909711241722107,0.22513946890830994,0.454922080039978,0.3927209973335266,0.5970921516418457,0.2852805256843567
CD3E,0.38539665937423706,0.6758051514625549,0.11630789190530777,0.8182188868522644,0.5924494862556458,0.5969525575637817,0.3241361975669861,0.7303054332733154
CD4,0.5753341317176819,0.3544636368751526,0.7692471742630005,0.2729993760585785,0.49386152625083923,0.41861000657081604,0.6497858166694641,0.3289293348789215
CD40,0.6153887510299683,0.38291212916374207,0.8484550714492798,0.21007129549980164,0.35793209075927734,0.3632708191871643,0.5938249826431274,0.36807727813720703
CD68,0.5270148515701294,0.3086985647678375,0.8815792202949524,0.25948092341423035,0.4607487916946411,0.48085451126098633,0.7153412103652954,0.24424389004707336
CD8A,0.33354321122169495,0.6427643299102783,0.17709122598171234,0.8372870683670044,0.646247923374176,0.6566283106803894,0.3421711325645447,0.6245133280754089
CEACAM8,0.6082655191421509,0.3686852753162384,0.9119917154312134,0.19171732664108276,0.3956710994243622,0.3668655455112457,0.5649937987327576,0.2750700116157532
CR2,0.5810145139694214,0.3298962116241455,0.8323152661323547,0.2257585972547531,0.4253034293651581,0.4438301920890808,0.7134304046630859,0.2960401773452759
CXCR5,0.6158421039581299,0.3843991756439209,0.8283664584159851,0.19557473063468933,0.3517819046974182,0.41407421231269836,0.6279292702674866,0.34456175565719604
EPCAM,0.6104863882064819,0.39236965775489807,0.8265899419784546,0.19465166330337524,0.3557475805282593,0.34819355607032776,0.6170949935913086,0.45504653453826904
FCGR3A,0.5783995389938354,0.5493722558021545,0.2665521800518036,0.5759286880493164,0.5204362869262695,0.46520906686782837,0.39333951473236084,0.6767221689224243
HLA_DRA,0.6575785875320435,0.34284740686416626,0.9071213603019714,0.150639146566391,0.3513239622116089,0.34524005651474,0.6089329719543457,0.304556667804718
ITGAM,0.61159348487854,0.42412859201431274,0.7479454278945923,0.18769855797290802,0.36201077699661255,0.37438246607780457,0.6839115619659424,0.4681278169155121
ITGAX,0.3602377474308014,0.6194850206375122,0.13118872046470642,0.8235234618186951,0.6364867687225342,0.6541522741317749,0.43629831075668335,0.6467183232307434
KRT5,0.6444949507713318,0.3491194248199463,0.9211055636405945,0.15820762515068054,0.3754686713218689,0.35376715660095215,0.574129045009613,0.2763804793357849
MS4A1,0.6706293225288391,0.3643730580806732,0.8634754419326782,0.149061918258667,0.3428255617618561,0.36692866683006287,0.5828193426132202,0.3307017683982849
PAX5,0.6337330341339111,0.34549033641815186,0.8838503956794739,0.17815884947776794,0.3632774353027344,0.3826313614845276,0.6293665766716003,0.295092910528183
PCNA,0.6163773536682129,0.33896008133888245,0.901253342628479,0.16646404564380646,0.3782300055027008,0.391829252243042,0.6464829444885254,0.3041440546512604
PDCD1,0.6306113004684448,0.37689733505249023,0.8363598585128784,0.16206379234790802,0.39317479729652405,0.363988995552063,0.6319222450256348,0.3695213794708252
PECAM1,0.3875187635421753,0.6122393608093262,0.3035741150379181,0.7617748379707336,0.6115508675575256,0.5708485245704651,0.274742990732193,0.5781128406524658
PTPRC_1,0.38890156149864197,0.6167431473731995,0.13292360305786133,0.8002614378929138,0.6361827850341797,0.6136180758476257,0.4427160620689392,0.6419850587844849
PTPRC_2,0.3368411660194397,0.6149874329566956,0.08110624551773071,0.8701613545417786,0.6623989343643188,0.6812368631362915,0.4497929811477661,0.6886324882507324
SDC1,0.6291312575340271,0.43481698632240295,0.7755348086357117,0.23887304961681366,0.34258198738098145,0.375542551279068,0.5005258917808533,0.4239414632320404
VIM,0.42289477586746216,0.6547293663024902,0.09894657135009766,0.7862276434898376,0.5910171270370483,0.5930047035217285,0.3749214708805084,0.7088122963905334
mouse_IgG1k,0.3163294196128845,0.5894339084625244,0.11892583221197128,0.8637798428535461,0.668213963508606,0.6985060572624207,0.5270631313323975,0.6222788691520691
mouse_IgG2a,0.44210711121559143,0.4858199954032898,0.3584405183792114,0.6014346480369568,0.5849020481109619,0.5667428374290466,0.5740315318107605,0.6136693954467773
mouse_IgG2bk,0.36017850041389465,0.6043334603309631,0.10889559239149094,0.8264064788818359,0.6631550788879395,0.6666666865348816,0.5213925242424011,0.5826369524002075
rat_IgG2a,0.6597986817359924,0.41722655296325684,0.7505008578300476,0.28487429022789,0.366664320230484,0.3820769488811493,0.4960213303565979,0.27412277460098267
