protein,H,p,eta2,is_negctrl,q
ACTA2,968.2219521727629,8.836992037744467e-205,0.5159538122237053,False,6.1858944264211265e-204
BCL2,1015.6310642489516,5.050616728635356e-215,0.5414015374390507,False,5.892386183407915e-214
CCR7,179.21137597404595,2.8586181742914916e-35,0.0924376682630413,False,2.942695179417712e-35
CD14,235.21565091748562,3.866656276381071e-47,0.12249900747047,False,4.2291553022917963e-47
CD163,538.0471971207844,5.265928023082344e-112,0.2850494885243072,False,7.088749261841617e-112
CD19,594.3952526681824,3.921066996943633e-124,0.3152953583833507,False,5.489493795721086e-124
CD27,647.8005773306095,1.2294155511928921e-135,0.34396166254997823,False,1.7928976788229677e-135
CD274,808.2884844625505,3.018829885343695e-170,0.43010654023754724,False,6.6036903741893325e-170
CD3E,920.3850001921073,1.9013838828205108e-194,0.4902764359592632,False,8.318554487339734e-194
CD4,467.3049661070363,8.521526787627195e-97,0.24707727649330988,False,1.0651908484533994e-96
CD40,683.9236148620721,2.015668600078027e-143,0.36335137673755885,False,3.3594476667967113e-143
CD68,813.5126342106769,2.2511603976046963e-171,0.4329107000594079,False,6.060816455089567e-171
CD8A,792.4718401747014,7.815857134118522e-167,0.42161666139275433,False,1.6091470570244018e-166
CEACAM8,929.2942565589065,2.264050075343283e-196,0.49505864549592404,False,1.1320250376716414e-195
CR2,704.6312692773681,6.91992597738678e-148,0.37446659649885566,False,1.2109870460426864e-147
CXCR5,681.1034188089034,8.172289437999406e-143,0.3618375839017195,False,1.30013695604536e-142
EPCAM,666.3051385841618,1.2646508144889852e-139,0.3538943309630498,False,1.924468630744108e-139
FCGR3A,187.47135001540028,5.1393986061646765e-37,0.09687136340064427,False,5.450877309568596e-37
HLA_DRA,1011.7666960083689,3.4542240082786616e-214,0.5393272657049752,False,3.022446007243829e-213
ITGAM,530.2227573380942,2.5391307877098064e-110,0.2808495745239368,False,3.2914658359201196e-110
ITGAX,808.3166925660107,2.9768100618457166e-170,0.4301216814632371,False,6.6036903741893325e-170
KRT5,1030.3078084271383,3.4031176306481207e-218,0.5492795536377554,True,1.1910911707268422e-216
MS4A1,873.8276532720492,2.1509767209172877e-184,0.4652859115791998,False,6.84401683928228e-184
PAX5,877.2265428953015,3.9699178147690533e-185,0.4671103289829852,False,1.3894712351691686e-184
PCNA,951.0601542743661,4.503650635087653e-201,0.5067418970876898,False,2.627129537134464e-200
PDCD1,747.4282774648218,4.080294744745762e-157,0.3974386889236832,False,7.933906448116759e-157
PECAM1,420.08539030981956,1.1721533799514885e-86,0.22173128841106793,False,1.3233989773645838e-86
PTPRC_1,739.7984386889566,1.8045947629550714e-155,0.3933432306435623,False,3.3242535107067105e-155
PTPRC_2,1027.4111054815176,1.4382590742629101e-217,0.5477246943003314,False,2.5169533799600927e-216
SDC1,455.5212636137703,2.895389560762425e-94,0.240752154382056,False,3.377954487556163e-94
VIM,837.1468782637212,1.783665875659951e-176,0.44559682139759593,False,5.20235880400819e-176
mouse_IgG1k,892.5615092960161,1.9391404762504658e-188,0.4753416582372604,True,7.541101852085144e-188
mouse_IgG2a,123.62884128746373,1.3431292774234627e-23,0.06260270600507983,True,1.3431292774234627e-23
mouse_IgG2bk,809.4063063495132,1.7322216730042255e-170,0.4307065519857827,True,4.3305541825105635e-170
rat_IgG2a,459.4311477566889,4.187214867543179e-95,0.24285085762570527,True,5.0535351849659055e-95
