protein,H,p,eta2,is_negctrl,q
ACTA2,907.8135,0.0,0.48352844,False,0.0
BCL2,919.1533,0.0,0.48961532,False,0.0
CCR7,214.70703,8.76e-43,0.11149062,False,9.01570703150158e-43
CD14,251.48389,0.0,0.1312313,False,0.0
CD163,484.82034,0.0,0.256479,False,0.0
CD19,616.9556,0.0,0.32740507,False,0.0
CD27,632.7735,0.0,0.3358956,False,0.0
CD274,695.31006,0.0,0.36946326,False,0.0
CD3E,847.3755,0.0,0.4510872,False,0.0
CD4,442.8091,0.0,0.23392867,False,0.0
CD40,665.4097,0.0,0.3534137,False,0.0
CD68,729.6113,0.0,0.3878751,False,0.0
CD8A,779.73145,0.0,0.41477802,False,0.0
CEACAM8,831.5367,0.0,0.44258544,False,0.0
CR2,661.16406,0.0,0.35113478,False,0.0
CXCR5,651.4219,0.0,0.34590545,False,0.0
EPCAM,636.3911,0.0,0.33783743,False,0.0
FCGR3A,228.53424,1e-45,0.11891264,False,1.4862256439808665e-45
HLA_DRA,965.7114,0.0,0.51460624,False,0.0
ITGAM,526.24414,0.0,0.27871397,False,0.0
ITGAX,773.8662,0.0,0.41162974,False,0.0
KRT5,956.67676,0.0,0.5097567,True,0.0
MS4A1,857.5029,0.0,0.4565233,False,0.0
PAX5,842.4878,0.0,0.44846365,False,0.0
PCNA,879.24023,0.0,0.4681912,False,0.0
PDCD1,723.8179,0.0,0.38476536,False,0.0
PECAM1,421.57666,0.0,0.22253175,False,0.0
PTPRC_1,694.71295,0.0,0.36914274,False,0.0
PTPRC_2,1005.53516,0.0,0.5359824,False,0.0
SDC1,478.39896,0.0,0.25303218,False,0.0
VIM,767.6904,0.0,0.40831476,False,0.0
mouse_IgG1k,915.6099,0.0,0.48771334,True,0.0
mouse_IgG2a,123.75538,1.2639596e-23,0.062670626,True,1.2639595640246037e-23
mouse_IgG2bk,811.1485,0.0,0.4316417,True,0.0
rat_IgG2a,465.31546,0.0,0.24600936,True,0.0
