protein,expected_niche,auc,p,isotype_auc_mean,specificity_z,q
PTPRC_2,vHBC|vTcell,0.8422660388014592,1.3850491868997052e-87,0.5841852887321245,1.4171538590888761,3.0471082111793513e-86
ITGAX,vHBC,0.8316873045653533,2.872589204992445e-63,0.6413058161350844,0.8591046851959391,2.1065654169944594e-62
CD163,vHBC,0.8083577235772358,6.286763173290048e-55,0.6413058161350844,0.753828943863079,1.9758398544625866e-54
PTPRC_1,vHBC|vTcell,0.7783722314655107,1.4464294594194128e-58,0.5841852887321245,1.0663049266764644,6.364289621445416e-58
CD14,vHBC,0.7219712320200125,2.7025656037660896e-29,0.6413058161350844,0.3640061714582253,7.432055410356746e-29
CD27,vTcell,0.6832831622868699,1.1491759754327045e-09,0.5270647613291647,1.0303800345482508,1.8058479613942499e-09
CD3E,vTcell,0.6825451248852265,1.3388282617980647e-09,0.5270647613291647,1.025512112467745,1.963614783970495e-09
EPCAM,vSCT|vVCT,0.6365731952052937,6.448641671755118e-22,0.48705718140294985,2.4153601218720593,1.5763346308734734e-21
FCGR3A,vHBC,0.6312520325203252,3.051490635973527e-11,0.6413058161350844,-0.045368132577392556,6.102981271947055e-11
ACTA2,vFB1,0.6252113931537776,3.74482903165539e-12,0.5288692236560394,1.0857784605817702,8.238623869641859e-12
PECAM1,vVEC|vEB1,0.6186250536250536,8.885181660374039e-11,0.5708808426484139,0.4157375704083701,1.628949971068574e-10
CD8A,vTcell,0.6183068143516313,8.524389441441137e-05,0.5270647613291647,0.6018112409881593,8.93031274817643e-05
VIM,vFB1,0.6113885718570108,6.425568044982917e-10,0.5288692236560394,0.9299949474354035,1.087403822997109e-09
CCR7,vTcell,0.5055381861713873,0.8541389757832369,0.5270647613291647,-0.1419842548560033,0.8541389757832369
CD4,vTcell,0.3776136403258987,4.8104735551970656e-05,0.5270647613291647,-0.9857446387785765,5.2915209107167716e-05
CXCR5,vTcell,0.37349922709468963,2.6538794158236374e-05,0.5270647613291647,-1.0128823461250165,3.072913007795791e-05
CD19,vTcell,0.3463487488232081,3.3425503415516533e-07,0.5270647613291647,-1.1919605505354223,4.0853393063409096e-07
MS4A1,vTcell,0.339340299166657,9.512464462219101e-08,0.5270647613291647,-1.2381866452526633,1.231024812757766e-07
PAX5,vTcell,0.3245446832250491,5.636598898325309e-09,0.5270647613291647,-1.3357750674335054,7.7503234851973e-09
ITGAM,vHBC,0.189270794246404,9.510220760295499e-56,0.6413058161350844,-2.0398275503526886,3.487080945441683e-55
CD68,vHBC,0.1766178861788618,3.1368503569079965e-60,0.6413058161350844,-2.0969243442259042,1.7252676962993982e-59
HLA_DRA,vHBC|vTcell,0.16858867705646208,3.091487274365155e-82,0.5841852887321245,-2.282093266941443,3.4006360018016706e-81
