protein,expected_niche,auc,p,isotype_auc_mean,specificity_z,q
PTPRC_2,vHBC|vTcell,0.8442666,0.0,0.5836504064500332,1.4287516796836204,0.0
ITGAX,vHBC,0.82352346,0.0,0.6441238150000572,0.7786045382414206,0.0
PTPRC_1,vHBC|vTcell,0.77563614,0.0,0.5836504064500332,1.0525053623130884,0.0
CD163,vHBC,0.7615247,5.25075e-40,0.6441238150000572,0.5095263328717131,1.9252747887020813e-39
CD3E,vTcell,0.73030543,2.0270274e-14,0.5231769979000092,1.4329640640087256,3.716216956828767e-14
CD27,vTcell,0.6907507,2.3704266e-10,0.5231769979000092,1.159315082499789,3.7249561371918306e-10
CD14,vHBC,0.68345964,1.58885e-20,0.6441238150000572,0.17071968675855898,4.369337430205759e-20
VIM,vFB1,0.65472937,9.154518e-18,0.5242034792900085,1.699547969708612,2.013993927912082e-17
ACTA2,vFB1,0.6482043,1.9996195e-16,0.5242034792900085,1.614586908097879,3.9992390612859853e-16
EPCAM,vSCT|vVCT,0.62933296,8.0863904e-20,0.487115278840065,2.314024270131795,1.976673199123883e-19
CD8A,vTcell,0.6245133,3.5450645e-05,0.5231769979000092,0.701068973258826,4.104811485280822e-05
PECAM1,vVEC|vEB1,0.5999067,4.7206694e-08,0.5746159926056862,0.20636337737031354,6.109101533143878e-08
FCGR3A,vHBC,0.5759287,0.00012127472,0.6441238150000572,-0.29597067927048093,0.00012704970972013792
CCR7,vTcell,0.40637386,0.0018743383,0.5231769979000092,-0.8080720596907099,0.0018743382534012198
CD19,vTcell,0.377602,4.8025184e-05,0.5231769979000092,-1.0071225832413837,5.2827702165814114e-05
CXCR5,vTcell,0.34456176,2.4382754e-07,0.5231769979000092,-1.2357029731667157,2.9801144149941035e-07
MS4A1,vTcell,0.33070177,1.8798977e-08,0.5231769979000092,-1.3315896805318506,2.584859282173113e-08
CD4,vTcell,0.32892933,1.334616e-08,0.5231769979000092,-1.3438517996103572,1.9574367608280834e-08
PAX5,vTcell,0.2950929,1.0079597e-11,0.5231769979000092,-1.5779402774273763,1.705777933432765e-11
CD68,vHBC,0.25948092,4.2090963e-34,0.6441238150000572,-1.669371742374657,1.3228588357000379e-33
ITGAM,vHBC,0.18769856,0.0,0.6441238150000572,-1.9809112380728797,0.0
HLA_DRA,vHBC|vTcell,0.16936238,0.0,0.5836504064500332,-2.271212386652613,0.0
