,vFB1,vVCT,vSCT,vMC,vEB1,vEVT,vTcell,vHBC
ACTA2,0.5482590364610697,0.25690616011505274,0.23544496877830212,0.7235389610389611,0.7668026310954323,0.08215897652368737,0.9174768316139185,0.8630060728744939
BCL2,0.5444106598718084,0.25938923178331735,0.24720911387578054,0.7226551226551227,0.7587121351314935,0.06659739585024516,0.914469312816926,0.8853997975708502
CCR7,0.49342952085741304,0.5702038890220518,0.5988702988702989,0.511964886964887,0.33062016928183835,0.6318229048283924,0.2592935827941948,0.4933324898785425
CD14,0.4936166859304403,0.2744187440076702,0.45107488440821775,0.626473063973064,0.7229142934136871,0.10921518329707439,0.8790085679314565,0.7504681174089068
CD163,0.5404900441315541,0.30896078020134227,0.21831831831831833,0.6680194805194806,0.6761535540611717,0.27637432217423774,0.8496328029375765,0.8621204453441296
CD19,0.4369549227697804,0.748767827181208,0.6687830687830688,0.32205988455988455,0.25942870441823146,0.9308049485339481,0.11116453925511453,0.21720647773279353
CD27,0.520575023641904,0.2566365052732502,0.32879546212879546,0.7025673400673401,0.7427516260610737,0.10315939864272494,0.8964329428221717,0.8143471659919028
CD274,0.452778580435011,0.7010539010067114,0.8279040945707612,0.3010040885040885,0.26552260561741325,0.8125953826671429,0.12786326280818325,0.08686740890688259
CD3E,0.5414948250499106,0.23684309084372004,0.271323704657038,0.7134559884559885,0.7710469261014956,0.07400883202909374,0.9335373317013463,0.8635247975708502
CD4,0.46514789324366923,0.7130048537871524,0.7260784594117927,0.2924603174603175,0.2458200124940286,0.8918888203396435,0.1318499737716384,0.19843117408906882
CD40,0.48454082168750656,0.7240232502396932,0.6653510653510654,0.3139069264069264,0.22237533531767906,0.9165665486898075,0.12751355132016087,0.21878795546558705
CD68,0.45604247662078384,0.760434144295302,0.7132894799561467,0.286465848965849,0.24188194367887897,0.9356024937493912,0.06284315439762196,0.1597165991902834
CD8A,0.528662524955343,0.23537497003835092,0.3095476428809762,0.7066798941798942,0.7659758203799655,0.06584245218690132,0.9285277146354258,0.8611842105263158
CEACAM8,0.4463164600189135,0.7103307766059443,0.8174364841031507,0.2833213083213083,0.24378054606254362,0.8964834237101016,0.09220143381710089,0.11119686234817813
CR2,0.4546929179363245,0.7557226749760306,0.7188378855045522,0.2903799903799904,0.24770024130623844,0.9226548040393545,0.0686046511627907,0.1576923076923077
CXCR5,0.4703720972995692,0.7518726030680729,0.6528623861957196,0.2807840307840308,0.28170359754529084,0.9308130662077475,0.09805910124147578,0.18001012145748987
EPCAM,0.4665861090679836,0.7215064717162033,0.7168406501739835,0.3039141414141414,0.25253249059885596,0.9179222002143066,0.10981815002622836,0.14202935222672064
FCGR3A,0.5124875223284648,0.3454615592042186,0.4102435769102436,0.6053391053391053,0.5924129398939233,0.3829918498555054,0.6715247420877776,0.733755060728745
HLA_DRA,0.45994995796994853,0.7504306987056567,0.7477525144191811,0.2818121693121693,0.22435968103479956,0.9333782511283567,0.06784402867634202,0.1292004048582996
ITGAM,0.47730048859934854,0.7492060162991371,0.6483388150054816,0.3068001443001443,0.24313747106162495,0.9319738935610612,0.08574925686308796,0.2152580971659919
ITGAX,0.5522781601344962,0.28266568791946306,0.2365079365079365,0.7107082732082732,0.7543024779823368,0.06793681202714551,0.890076936527365,0.8723178137651821
KRT5,0.45153738047704106,0.7333188518696069,0.7886028886028886,0.2767255892255892,0.23195409056945823,0.9164772542780141,0.08171883196363,0.11227226720647773
MS4A1,0.4756488389198277,0.7395471296740173,0.7178988512321846,0.28513708513708513,0.23138450985435882,0.9269165827840374,0.07948942122748733,0.15642712550607288
PAX5,0.4696956761584533,0.7649508628954937,0.6869679203012536,0.2879148629148629,0.2477553620206029,0.9357161411825827,0.07178702570379437,0.13341346153846154
PCNA,0.4617625039403173,0.7558687380153404,0.7305066971733638,0.2822270322270322,0.22402283222479452,0.9259830502971068,0.07482077286238853,0.15087297570850203
PDCD1,0.469403435956709,0.7324424736337488,0.718370751704085,0.30174963924963927,0.22159752079275835,0.9193833814981979,0.08995453750655709,0.18509615384615385
PECAM1,0.5007486602921088,0.24404137703739215,0.40195910195910195,0.6683802308802309,0.7387645610553779,0.08973276617852388,0.9326368246196888,0.7878036437246964
PTPRC_1,0.5488763528422822,0.2661343480345158,0.27529910863244195,0.7126262626262626,0.7620193779933611,0.06589927590349709,0.900655709040042,0.8061993927125506
PTPRC_2,0.5460294735736051,0.2629621584372004,0.23255636588969922,0.7273989898989899,0.7550864170310758,0.06976328863200962,0.9146004546249344,0.8983679149797571
SDC1,0.46548282021645476,0.7091023489932886,0.5575432575432575,0.33974266474266474,0.32332586141427505,0.9301717699775952,0.1821734568980591,0.26556174089068824
VIM,0.5487515761269307,0.25895478787152443,0.26916916916916916,0.7209535834535834,0.7558764806036331,0.05450206188914505,0.9088039867109634,0.8483426113360324
mouse_IgG1k,0.5484297835452349,0.27739618288590606,0.24342914342914343,0.7064814814814815,0.7489128970222565,0.0668977497808228,0.9042402517922714,0.8877277327935222
mouse_IgG2a,0.5455599190921508,0.4394812140460211,0.2535535535535536,0.5992845117845118,0.5897855191758841,0.39894307887131863,0.6784053156146179,0.6879554655870446
mouse_IgG2bk,0.5470769412630031,0.2893246644295302,0.2706516039849373,0.6950156325156325,0.7369823246242605,0.0997743286683768,0.8424899457947194,0.8672823886639676
rat_IgG2a,0.48698053483240517,0.7165440735858102,0.632003432003432,0.31896945646945646,0.24907213464153163,0.8879273955255382,0.1466077985661829,0.2743674089068826
