,vFB1,vVCT,vSCT,vMC,vEB1,vEVT,vTcell,vHBC
ACTA2,0.6648595929145813,0.21328948438167572,0.20952381193637848,0.7022907733917236,0.7550649642944336,0.03506835177540779,0.893574059009552,0.8068256378173828
BCL2,0.6757841110229492,0.21061915159225464,0.21509842574596405,0.6926196217536926,0.7417318820953369,0.03385881707072258,0.884551465511322,0.8217927813529968
CCR7,0.41401734948158264,0.6135190725326538,0.6236355304718018,0.504127562046051,0.3326963782310486,0.6724762320518494,0.2727530896663666,0.5166181921958923
CD14,0.644299328327179,0.21680623292922974,0.3785499930381775,0.6123226284980774,0.7137765288352966,0.08102250099182129,0.8555997610092163,0.6834703683853149
CD163,0.6485138535499573,0.2672635316848755,0.19215406477451324,0.6509048938751221,0.6717806458473206,0.2211538404226303,0.8274873495101929,0.8193635940551758
CD19,0.3903787434101105,0.7808268070220947,0.6835811734199524,0.3137475848197937,0.25091561675071716,0.9613436460494995,0.10942472517490387,0.2390878051519394
CD27,0.6615119576454163,0.2108813226222992,0.27353066205978394,0.6771765351295471,0.7295287847518921,0.0690651684999466,0.873168408870697,0.7401126027107239
CD274,0.3225133419036865,0.7255793809890747,0.8556747436523438,0.33502885699272156,0.2857886552810669,0.8830649256706238,0.17065483331680298,0.14700783789157867
CD3E,0.6668117046356201,0.1942095309495926,0.23722055554389954,0.6878758072853088,0.7563297152519226,0.033022698014974594,0.9082400798797607,0.7999303936958313
CD4,0.3441489636898041,0.7552039623260498,0.760500967502594,0.30959296226501465,0.25928476452827454,0.9460945725440979,0.15694613754749298,0.24605895578861237
CD40,0.3779076337814331,0.7750685214996338,0.7064111828804016,0.3188041150569916,0.2299574911594391,0.9432493448257446,0.14251179993152618,0.25897014141082764
CD68,0.2865169048309326,0.8002606630325317,0.766316294670105,0.33944204449653625,0.2705998420715332,0.967927098274231,0.10289823263883591,0.25847673416137695
CD8A,0.6422602534294128,0.19271519780158997,0.26519137620925903,0.6908309459686279,0.7601728439331055,0.03278322517871857,0.9106924533843994,0.8080022931098938
CEACAM8,0.33233457803726196,0.7419683933258057,0.8403355479240417,0.3099988102912903,0.25677067041397095,0.9603289365768433,0.11637523770332336,0.16525809466838837
CR2,0.31792449951171875,0.7968543767929077,0.7622694373130798,0.32031023502349854,0.2625981569290161,0.9659666419029236,0.09573352336883545,0.22992156445980072
CXCR5,0.3416271507740021,0.7984423637390137,0.7055126428604126,0.30371272563934326,0.2875739634037018,0.9593344926834106,0.11944396048784256,0.24323128163814545
EPCAM,0.3387950360774994,0.7799391746520996,0.7610944509506226,0.32166004180908203,0.26554709672927856,0.9404324889183044,0.13064783811569214,0.19010627269744873
FCGR3A,0.7078090310096741,0.27251243591308594,0.3293960690498352,0.5843644738197327,0.6048641204833984,0.2904585003852844,0.6375765204429626,0.6539536714553833
HLA_DRA,0.34198012948036194,0.7954593300819397,0.7776491045951843,0.3064454197883606,0.23709869384765625,0.9727489948272705,0.0871218740940094,0.18486842513084412
ITGAM,0.3606802225112915,0.7990322113037109,0.7015920877456665,0.3158609867095947,0.24776148796081543,0.959549605846405,0.09959783405065536,0.26329705119132996
ITGAX,0.6533358097076416,0.2388673722743988,0.210856094956398,0.6910894513130188,0.7453882098197937,0.035498589277267456,0.8747683167457581,0.8313891887664795
KRT5,0.3343326449394226,0.7718008160591125,0.8091210126876831,0.30586519837379456,0.24685505032539368,0.9690716862678528,0.10691554099321365,0.168876513838768
MS4A1,0.37843629717826843,0.7795159816741943,0.750510036945343,0.2953703701496124,0.2360820174217224,0.9641523361206055,0.09408987313508987,0.19901315867900848
PAX5,0.3391529619693756,0.809024453163147,0.7362624406814575,0.3148117959499359,0.2583017945289612,0.9670016765594482,0.09275222569704056,0.19919028878211975
PCNA,0.33956339955329895,0.800182044506073,0.7638900876045227,0.3028048276901245,0.23716606199741364,0.9692827463150024,0.09892026335000992,0.21059590578079224
PDCD1,0.34149089455604553,0.7847742438316345,0.7633490562438965,0.31895142793655396,0.23352809250354767,0.9546952843666077,0.11286064237356186,0.23275557160377502
PECAM1,0.6172556281089783,0.20033107697963715,0.3474879562854767,0.6609968543052673,0.7333994507789612,0.05082475394010544,0.9147403240203857,0.7442940473556519
PTPRC_1,0.6702414155006409,0.21958330273628235,0.23868869245052338,0.6924392580986023,0.75003981590271,0.02937380224466324,0.8787113428115845,0.7489119172096252
PTPRC_2,0.6562565565109253,0.22180983424186707,0.20757661759853363,0.7021524906158447,0.7433334589004517,0.026975030079483986,0.8937619924545288,0.8532261848449707
SDC1,0.3682374358177185,0.7564080357551575,0.6105843782424927,0.3437289595603943,0.31837111711502075,0.9519190192222595,0.18576237559318542,0.30242282152175903
VIM,0.6772945523262024,0.21200300753116608,0.2289360761642456,0.6884559988975525,0.7423535585403442,0.026260673999786377,0.8913053274154663,0.7841156125068665
mouse_IgG1k,0.6346439123153687,0.2337607890367508,0.2216692864894867,0.6942670941352844,0.7439152598381042,0.03812059760093689,0.8918036222457886,0.8595774173736572
mouse_IgG2a,0.5920589566230774,0.42026641964912415,0.23449163138866425,0.5950546860694885,0.591825008392334,0.3762095272541046,0.6727356314659119,0.6726214289665222
mouse_IgG2bk,0.6593628525733948,0.23093877732753754,0.2351422905921936,0.682861328125,0.7304198741912842,0.07807578891515732,0.8235180974006653,0.8265308737754822
rat_IgG2a,0.35408511757850647,0.7624284625053406,0.6865603923797607,0.33319804072380066,0.2615049183368683,0.9271438717842102,0.1745104044675827,0.32948505878448486
