protein,H,p,eta2,is_negctrl,q
ACTA2,846.3665637612712,1.824517511387854e-178,0.6501677488468406,False,1.0643018816429149e-177
BCL2,849.9476462615494,3.0767996893211623e-179,0.6529416314961652,False,2.1537597825248138e-178
CCR7,139.6880410808012,5.908429427602966e-27,0.10277927271944323,False,5.908429427602966e-27
CD14,537.3231629927786,7.537726114813452e-112,0.4107847893050183,False,8.510335936079704e-112
CD163,550.2119754458045,1.270900766839528e-114,0.42076837757227303,False,1.4827175613127826e-114
CD19,696.861434072187,3.2756344581237213e-146,0.5343620713185027,False,4.984661131927402e-146
CD27,689.0219434115616,1.6046165225402643e-144,0.5282896540755705,False,2.3400657620378854e-144
CD274,746.8480976115006,5.4429599252663715e-157,0.5730814079097604,False,1.0026505125490685e-156
CD3E,853.769094014322,4.604066347035729e-180,0.6559016994688784,False,4.0285580536562625e-179
CD4,679.081311440249,2.2295646961932192e-142,0.5205897067701386,False,3.0013370910293332e-142
CD40,668.2107005757571,4.912182011082647e-140,0.5121694040091069,False,6.140227513853309e-140
CD68,831.4074301567389,3.0914864732675845e-175,0.638580503607079,False,1.2022447396040605e-174
CD8A,821.2653397301192,4.777498720764349e-173,0.6307245079241822,False,1.6721245522675221e-172
CEACAM8,844.9515643416225,3.6863693665140795e-178,0.6490716997224032,False,1.8431846832570396e-177
CR2,808.9970701897082,2.1228545664310445e-170,0.6212215880632906,False,5.307136416077612e-170
CXCR5,719.1615219424093,5.093263550118857e-151,0.5516355708306812,False,8.10291928428e-151
EPCAM,732.8005479341582,5.8299035178199924e-154,0.5622002695074811,False,1.0202331156184986e-153
FCGR3A,168.5765541548094,5.009863424197997e-33,0.12515612250566183,False,5.1572123484391146e-33
HLA_DRA,870.9645768615646,8.928732273836476e-184,0.6692212059345969,False,1.5625281479213834e-182
ITGAM,719.5542646946242,4.190870736612318e-151,0.5519397867502899,False,6.98478456102053e-151
ITGAX,802.2274132037983,6.135241056000178e-169,0.6159778568580931,False,1.4315562464000416e-168
KRT5,872.2775470402121,4.648509211678609e-184,0.6702382238886229,True,1.5625281479213834e-182
MS4A1,799.1062059756005,2.8931521079062572e-168,0.6135601905310616,False,6.328770236044938e-168
PAX5,817.0504647214912,3.8803971943113563e-172,0.6274596938199002,False,1.131782515007479e-171
PCNA,839.1330676223215,6.646373624678049e-177,0.6445647309235643,False,2.9077884607966464e-176
PDCD1,763.0970108368729,1.7011207926303037e-160,0.5856677078519542,False,3.307734874558924e-160
PECAM1,677.704111644739,4.416493310312992e-142,0.5195229369827568,False,5.725083920776101e-142
PTPRC_1,770.2887977647815,4.777673156192647e-162,0.5912384180982041,False,9.83638590980839e-162
PTPRC_2,864.2042895005952,2.5723312181408185e-182,0.6639847323784626,False,3.0010530878309546e-181
SDC1,502.2743468986446,2.600400178534802e-104,0.3836362098362855,False,2.8441876952724395e-104
VIM,818.3695180850773,2.014626318075775e-172,0.6284814237684565,False,6.410174648422921e-172
mouse_IgG1k,814.0505991079317,1.7230775583321451e-171,0.62513601789925,True,4.63905496474039e-171
mouse_IgG2a,202.83925365279447,2.8739244649403226e-40,0.15169578129573547,True,3.048101705239736e-40
mouse_IgG2bk,683.0682287301324,3.0818327495578178e-143,0.523677946344022,True,4.314565849380945e-143
rat_IgG2a,566.4102689913207,4.150367234170666e-118,0.4333154678476535,True,5.009063903309424e-118
