protein,H,p,eta2,is_negctrl,q
ACTA2,947.1177,0.0,0.7282089,False,0.0
BCL2,939.5655,0.0,0.722359,False,0.0
CCR7,186.17116,9.677662e-37,0.13878478,False,9.677662252031835e-37
CD14,637.3233,0.0,0.48824424,False,0.0
CD163,639.20465,0.0,0.4897015,False,0.0
CD19,787.68616,0.0,0.6047143,False,0.0
CD27,790.6197,0.0,0.6069866,False,0.0
CD274,822.6758,0.0,0.63181704,False,0.0
CD3E,949.31647,0.0,0.72991204,False,0.0
CD4,788.9117,0.0,0.6056636,False,0.0
CD40,766.0894,0.0,0.58798563,False,0.0
CD68,923.5303,0.0,0.7099382,False,0.0
CD8A,921.60645,0.0,0.70844805,False,0.0
CEACAM8,940.2481,0.0,0.72288775,False,0.0
CR2,917.0352,0.0,0.70490724,False,0.0
CXCR5,821.57227,0.0,0.63096225,False,0.0
EPCAM,844.1538,0.0,0.6484538,False,0.0
FCGR3A,348.70718,0.0,0.2646841,False,0.0
HLA_DRA,967.62305,0.0,0.7440922,False,0.0
ITGAM,834.5049,0.0,0.64097977,False,0.0
ITGAX,894.03174,0.0,0.68708885,False,0.0
KRT5,958.4092,0.0,0.7369552,True,0.0
MS4A1,890.5596,0.0,0.68439937,False,0.0
PAX5,915.5967,0.0,0.7037929,False,0.0
PCNA,940.8008,0.0,0.72331583,False,0.0
PDCD1,882.0029,0.0,0.67777145,False,0.0
PECAM1,775.25195,0.0,0.5950828,False,0.0
PTPRC_1,880.5977,0.0,0.67668295,False,0.0
PTPRC_2,954.9448,0.0,0.73427176,False,0.0
SDC1,602.80475,0.0,0.4615064,False,0.0
VIM,921.40576,0.0,0.7082926,False,0.0
mouse_IgG1k,902.10065,0.0,0.693339,True,0.0
mouse_IgG2a,237.0025,0.0,0.1781584,True,0.0
mouse_IgG2bk,793.6105,0.0,0.60930324,True,0.0
rat_IgG2a,668.857,0.0,0.51267004,True,0.0
