protein,expected_niche,auc,p,isotype_auc_mean,specificity_z,q
PTPRC_2,vHBC|vTcell,0.9353359814630917,6.231899492968627e-71,0.6611345384649011,1.0075376558645468,1.3647542508897866e-69
CD3E,vTcell,0.9335373317013463,4.570515313682416e-45,0.6429358279419479,0.9745071651524808,2.011026738020263e-44
CD8A,vTcell,0.9285277146354258,4.519291541243524e-44,0.6429358279419479,0.9577078449072159,1.63882432916102e-43
CD27,vTcell,0.8964329428221717,5.737778742450538e-38,0.6429358279419479,0.8500807862329246,1.2623113233391186e-37
PTPRC_1,vHBC|vTcell,0.8863455809334657,2.961015972516894e-56,0.6611345384649011,0.827525206733087,1.6285587848842917e-55
ITGAX,vHBC,0.8723178137651821,8.596134544572674e-24,0.6793332489878543,0.7832601584104172,1.454730461389222e-23
CD163,vHBC,0.8621204453441296,1.3572208779625826e-22,0.6793332489878543,0.7418724318113552,2.1327756653697725e-22
EPCAM,vSCT|vVCT,0.7753335263005552,8.74260560161286e-60,0.3902979834897917,2.3051739474657973,6.41124410784943e-59
CD14,vHBC,0.7504681174089068,1.3307855320758958e-11,0.6793332489878543,0.28871277022732933,1.3941562716985577e-11
PECAM1,vEB1,0.7387645610553779,1.8736625528453247e-20,0.5811882188659832,0.7811287995359487,2.74803841083981e-20
FCGR3A,vHBC,0.733755060728745,2.722437323624158e-10,0.6793332489878543,0.2208800322157151,2.722437323624158e-10
ACTA2,vMC|vFB1,0.6356419696272434,7.675909695407321e-16,0.5559747826229846,0.876797829491714,9.933530194056534e-16
VIM,vFB1|vMC,0.6349098439526419,1.09460197265603e-15,0.5559747826229846,0.8687402310431659,1.3378468554684812e-15
CCR7,vTcell,0.2592935827941948,5.2319271587071015e-15,0.6429358279419479,-1.2865112943847898,6.0580209206082224e-15
ITGAM,vHBC,0.2152580971659919,1.4596244194170214e-14,0.6793332489878543,-1.88352668178276,1.6055868613587235e-14
CD68,vHBC,0.1597165991902834,3.882624053080931e-20,0.6793332489878543,-2.1089511479984964,5.33860807298628e-20
CD4,vTcell,0.1318499737716384,5.600822842476475e-33,0.6429358279419479,-1.7138824832420874,1.0268175211206871e-32
CD19,vTcell,0.11116453925511453,1.3641305666867036e-36,0.6429358279419479,-1.7832493099441775,2.7282611333734072e-36
CXCR5,vTcell,0.09805910124147578,5.554554695668238e-39,0.6429358279419479,-1.8271972698877248,1.3577800367189027e-38
MS4A1,vTcell,0.07948942122748733,1.6740265075095528e-42,0.6429358279419479,-1.8894690957183413,4.6035728956512703e-42
PAX5,vTcell,0.07178702570379437,5.214441047330518e-44,0.6429358279419479,-1.9152984170727545,1.63882432916102e-43
HLA_DRA,vHBC|vTcell,0.06560741476332341,1.2406856826270788e-70,0.6611345384649011,-2.188230651368246,1.3647542508897866e-69
