protein,expected_niche,auc,p,isotype_auc_mean,specificity_z,q
CD8A,vTcell,0.91069245,1.27325e-40,0.6406419388949871,0.9625733853748311,5.602290366881187e-40
CD3E,vTcell,0.9082401,3.69763e-40,0.6406419388949871,0.9538320968384001,1.2774124696907886e-39
PTPRC_2,vHBC|vTcell,0.90250194,0.0,0.6563478168100119,1.0042324947446857,0.0
CD27,vTcell,0.8731684,7.754272e-34,0.6406419388949871,0.8288219402838923,1.312261338344689e-33
PTPRC_1,vHBC|vTcell,0.8475174,0.0,0.6563478168100119,0.7799125013498701,0.0
EPCAM,vSCT|vVCT,0.8408178,0.0,0.3781572561711073,2.2696106669682794,0.0
ITGAX,vHBC,0.8313892,3.5221787e-19,0.6720536947250366,0.7587792916524974,4.842995758874477e-19
CD163,vHBC,0.8193636,6.3426865e-18,0.6720536947250366,0.7015116232548351,8.208182555562098e-18
PECAM1,vEB1,0.73339945,1.2923869e-19,0.5819162651896477,0.7795099804767042,1.8955007277152903e-19
VIM,vFB1|vMC,0.72313625,4.0645e-40,0.5681914985179901,1.1636054106537608,1.2774124696907886e-39
ACTA2,vMC|vFB1,0.71925074,8.594735e-39,0.5681914985179901,1.13442599208718,1.8908417465250604e-38
CD14,vHBC,0.68347037,7.211918e-07,0.6720536947250366,0.05436789589845278,7.555342476518404e-07
FCGR3A,vHBC,0.6539537,3.2063894e-05,0.6720536947250366,-0.08619499953895457,3.206389374099672e-05
CCR7,vTcell,0.2727531,1.5376224e-13,0.6406419388949871,-1.3113102773130536,1.879316306765079e-13
ITGAM,vHBC,0.26329705,1.6219692e-10,0.6720536947250366,-1.9465598566386426,1.7841661481554638e-10
CD68,vHBC,0.25847673,6.862079e-11,0.6720536947250366,-1.969514922385493,7.945565112287805e-11
CD4,vTcell,0.15694614,7.421604e-29,0.6406419388949871,-1.7240948637885427,1.1662520795541209e-28
CXCR5,vTcell,0.11944396,4.0228373e-35,0.6406419388949871,-1.8577683640945357,7.375201650698065e-35
CD19,vTcell,0.109424725,6.6381885e-37,0.6406419388949871,-1.8934811242508234,1.3276376971452416e-36
HLA_DRA,vHBC|vTcell,0.10204678,0.0,0.6563478168100119,-2.2613763437619143,0.0
MS4A1,vTcell,0.09408987,1.012239e-39,0.6406419388949871,-1.9481409736130604,2.4743623815600463e-39
PAX5,vTcell,0.092752226,5.6819e-40,0.6406419388949871,-1.9529089105500277,1.5625227571900124e-39
