protein,expected_niche,n_in,n_out,auc,p,q,is_control
ITGAX,vHBC,246,1625,0.79957473,0.0,0.0,False
CD14,vHBC,246,1625,0.76441777,7.3933e-41,5.421717178370339e-40,False
CD163,vHBC,246,1625,0.74536085,2.0258814e-35,8.913878297353842e-35,False
CXCR5,vTcell,97,1774,0.7389905,2.0654297e-15,4.130859405080713e-15,False
ACTA2,vFB1,307,1564,0.725468,6.7008846e-36,3.685486528289439e-35,False
PAX5,vTcell,97,1774,0.71351945,1.3276322e-12,2.2467622380617502e-12,False
PTPRC_2,vHBC|vTcell,343,1528,0.68868774,7.691455e-28,2.4173144204567597e-27,False
PTPRC_1,vHBC|vTcell,343,1528,0.6611169,9.755373e-21,2.3846467659412865e-20,False
CD68,vHBC,246,1625,0.6186417,1.9049347e-09,2.0954281199081494e-09,False
EPCAM,vSCT|vVCT,618,1253,0.5780961,3.7517115e-08,3.930364402192156e-08,False
HLA_DRA,vHBC|vTcell,343,1528,0.5151802,0.37895396,0.3789539635181427,False
FCGR3A,vHBC,246,1625,0.32375985,4.6037063e-19,1.012815379268109e-18,False
VIM,vFB1,307,1564,0.32252973,7.151147e-23,1.9665654712356638e-22,False
CCR7,vTcell,97,1774,0.3131603,5.459271e-10,6.321260941589165e-10,False
CD19,vTcell,97,1774,0.30713397,1.4992758e-10,1.8324482517792814e-10,False
CD3E,vTcell,97,1774,0.3034438,6.664972e-11,8.62525794251442e-11,False
CD8A,vTcell,97,1774,0.29898068,2.4515204e-11,3.370840564141664e-11,False
PECAM1,vVEC|vEB1,296,1575,0.29632348,8.542232e-29,3.1321516448161006e-28,False
CD27,vTcell,97,1774,0.29571474,1.16320365e-11,1.7060320170458887e-11,False
MS4A1,vTcell,97,1774,0.28692803,1.4780116e-12,2.3225896807249226e-12,False
CD4,vTcell,97,1774,0.28202328,4.5055553e-13,8.260184664087358e-13,False
ITGAM,vHBC,246,1625,0.2049456,0.0,0.0,False
