protein,H,p,eta2,q
CEACAM8,848.9048,0.0,0.4519081,0.0
PTPRC_2,830.583,0.0,0.44207355,0.0
KRT5,819.2749,0.0,0.4360037,0.0
CD274,812.4824,0.0,0.43235773,0.0
ITGAX,802.7632,0.0,0.42714074,0.0
PTPRC_1,791.76904,0.0,0.42123944,0.0
CD3E,781.5259,0.0,0.4157412,0.0
BCL2,775.6626,0.0,0.412594,0.0
PAX5,774.0635,0.0,0.41173562,0.0
VIM,765.8081,0.0,0.4073044,0.0
PDCD1,730.42773,0.0,0.38831332,0.0
CD27,723.51025,0.0,0.38460025,0.0
CXCR5,720.7798,0.0,0.3831346,0.0
rat_IgG2a,693.7666,0.0,0.3686348,0.0
ITGAM,680.9995,0.0,0.3617818,0.0
EPCAM,669.10596,0.0,0.35539773,0.0
FCGR3A,662.6089,0.0,0.3519103,0.0
SDC1,658.91943,0.0,0.34992993,0.0
CD8A,638.3745,0.0,0.33890206,0.0
CCR7,618.01953,0.0,0.32797614,0.0
CD4,609.8916,0.0,0.32361332,0.0
CD14,598.96484,0.0,0.31774816,0.0
mouse_IgG2bk,564.5049,0.0,0.29925114,0.0
ACTA2,564.05273,0.0,0.29900846,0.0
CD68,546.33936,0.0,0.28950045,0.0
mouse_IgG2a,543.7554,0.0,0.28811345,0.0
CR2,532.3921,0.0,0.282014,0.0
CD19,525.5054,0.0,0.27831742,0.0
PECAM1,521.9053,0.0,0.276385,0.0
mouse_IgG1k,518.6846,0.0,0.27465624,0.0
PCNA,515.5957,0.0,0.27299824,0.0
HLA_DRA,513.89746,0.0,0.27208668,0.0
CD40,511.78076,0.0,0.2709505,0.0
CD163,495.8374,0.0,0.26239258,0.0
MS4A1,473.56836,0.0,0.25043926,0.0
