,vSCT,vFB1,vEVT,vHBC,vVEC,vEB1,vVCT,vTcell
ACTA2,0.5050925,0.6189018,-0.16501498,-0.564607,-0.6597969,-0.8096584,-0.92194426,0.78326684
BCL2,-0.51245874,-0.5724455,-0.036979068,0.7123748,0.6944507,0.86496794,0.92214376,-0.7652278
CCR7,-0.5174753,-0.5935693,0.026782077,0.6745284,0.6950841,0.86028403,0.92798775,-0.7795417
CD14,-0.5049205,-0.51771164,0.049078073,0.6119078,0.66629666,0.7755454,0.7891306,-0.6514153
CD163,-0.49103206,-0.4824429,0.05292991,0.5701232,0.63691103,0.7465286,0.7484715,-0.601151
CD19,-0.5094439,-0.53183365,0.057354793,0.6042849,0.66474134,0.7963937,0.83766896,-0.6796147
CD27,-0.52282256,-0.57987225,0.024005102,0.6799784,0.69693875,0.85226583,0.9065017,-0.7645866
CD274,0.51593834,0.5264837,0.015374363,-0.6658748,-0.6859869,-0.8247469,-0.8545412,0.6856938
CD3E,-0.53058755,-0.57642525,-0.027395198,0.7324226,0.70987195,0.87740934,0.90120167,-0.7573689
CD4,-0.5148745,-0.5865038,0.037878294,0.65630394,0.6897055,0.84667474,0.9157646,-0.7601466
CD40,-0.5052061,-0.5508494,0.058318943,0.6181792,0.66658854,0.80342,0.858715,-0.7189961
CD68,-0.5107759,-0.59698427,0.10997199,0.59886444,0.66592133,0.82966006,0.9272043,-0.78235376
CD8A,-0.25406206,-0.33971336,-0.30579332,0.6255029,0.39449662,0.6353342,0.59397274,-0.5425876
CEACAM8,0.52176595,0.5796204,-0.0008928244,-0.6877034,-0.70137465,-0.86368424,-0.9134386,0.74995035
CR2,-0.51483494,-0.5712695,0.08012361,0.6109716,0.67006004,0.81854314,0.89698654,-0.73126274
CXCR5,0.51789486,0.58863884,0.035871178,-0.74220586,-0.71148485,-0.8759391,-0.90249723,0.78371507
EPCAM,0.2795389,0.42211288,0.17263545,-0.57045233,-0.447783,-0.62344706,-0.7025774,0.6310194
FCGR3A,0.51518625,0.57672226,-0.0454321,-0.64347863,-0.6840793,-0.8419819,-0.89764404,0.742715
HLA_DRA,-0.50680035,-0.57401,0.11137456,0.581867,0.6602102,0.7987169,0.88682276,-0.7311857
ITGAM,0.46081474,0.49726993,0.18210712,-0.7664414,-0.62530506,-0.83656466,-0.86576974,0.7270914
ITGAX,-0.52740526,-0.58460444,-0.058673106,0.75637066,0.7134736,0.9025773,0.91639316,-0.77202785
KRT5,0.5246321,0.5204181,0.12748052,-0.7679132,-0.7038425,-0.88639885,-0.860615,0.6925972
MS4A1,-0.41900197,-0.6313393,0.26738644,0.39762127,0.57386535,0.6605666,0.9236055,-0.73051286
PAX5,0.52724105,0.562746,0.06133689,-0.76208377,-0.7249239,-0.8750231,-0.86731726,0.7632304
PCNA,-0.5089526,-0.5837068,0.11711887,0.5880988,0.6673851,0.8029713,0.89701754,-0.75351304
PDCD1,0.5377583,0.58133227,0.012807911,-0.72056586,-0.712738,-0.89660865,-0.88026965,0.72872484
PECAM1,0.45202863,0.61892384,-0.088921,-0.55748296,-0.6041236,-0.8086129,-0.9771764,0.77795106
PTPRC_1,-0.5208798,-0.5661171,0.023085836,0.6666523,0.69042754,0.8444803,0.8900203,-0.7392
PTPRC_2,-0.5578683,-0.53656584,-0.19987944,0.8387722,0.755278,0.9597476,0.9115503,-0.67459863
SDC1,0.51911694,0.56509656,-0.04236864,-0.6505539,-0.6873286,-0.83106256,-0.87942195,0.7334769
VIM,-0.52102196,-0.5612818,0.0057289694,0.6798255,0.7008068,0.84067804,0.874734,-0.7235183
mouse_IgG1k,0.513408,0.5931796,-0.062412497,-0.64573604,-0.6838712,-0.8368986,-0.9119074,0.7688476
mouse_IgG2a,0.51061505,0.58274585,-0.04191843,-0.6493295,-0.6829927,-0.84379137,-0.9038902,0.7596381
mouse_IgG2bk,0.51957613,0.5665765,-0.055398557,-0.6389791,-0.6828411,-0.82821006,-0.87960637,0.72733325
rat_IgG2a,0.5111992,0.60001844,-0.02061803,-0.68520975,-0.68817914,-0.8607374,-0.92943764,0.7908053
