protein,expected_niche,n_in,n_out,auc,p,q,is_control
ITGAX,vHBC,64,1235,0.7676493,4.8537053e-13,2.6695379305545497e-12,False
ACTA2,vMC|vFB1,451,848,0.7625481,0.0,0.0,False
CD163,vHBC,64,1235,0.73316044,3.019952e-10,8.304868182040792e-10,False
PTPRC_2,vHBC|vTcell,159,1140,0.707332,2.2388803e-17,1.6418455523042095e-16,False
CD14,vHBC,64,1235,0.6958122,1.2303047e-07,2.460609493937227e-07,False
PTPRC_1,vHBC|vTcell,159,1140,0.66181725,3.618213e-11,1.1371526636994034e-10,False
PECAM1,vEB1,141,1158,0.6434119,2.5845173e-08,5.68593808480955e-08,False
CD3E,vTcell,95,1204,0.5987673,0.001331356,0.0022530640081430855,False
CD8A,vTcell,95,1204,0.57582617,0.013751031,0.017795451752403203,False
CD27,vTcell,95,1204,0.55722153,0.06300227,0.06930250078439712,False
CD68,vHBC,64,1235,0.5183578,0.6201107,0.6201106905937195,False
HLA_DRA,vHBC|vTcell,159,1140,0.4503917,0.04244969,0.04915227309653634,False
CCR7,vTcell,95,1204,0.44573352,0.077874236,0.08158253275212787,False
CD19,vTcell,95,1204,0.43460396,0.033603944,0.04107148696978887,False
CD4,vTcell,95,1204,0.4175118,0.007358419,0.010530428844504058,False
CXCR5,vTcell,95,1204,0.41426823,0.005343415,0.008396794753415244,False
FCGR3A,vHBC,64,1235,0.40126517,0.0076584937,0.010530428844504058,False
EPCAM,vSCT|vVCT,445,854,0.3968805,1.0120709e-09,2.4739510193525245e-09,False
PAX5,vTcell,95,1204,0.38282043,0.00014042942,0.00025745392971051234,False
VIM,vFB1|vMC,451,848,0.33371073,5.0728947e-23,5.580184160151415e-22,False
MS4A1,vTcell,95,1204,0.28799614,5.635777e-12,2.066451567153682e-11,False
ITGAM,vHBC,64,1235,0.24003036,2.1887537e-12,9.630516436404113e-12,False
