protein,H,p,eta2,q
MS4A1,559.9678,0.0,0.42832515,0.0
ACTA2,536.3677,0.0,0.41004467,0.0
HLA_DRA,523.96094,0.0,0.4004345,0.0
PCNA,513.5586,0.0,0.3923769,0.0
CD68,502.87305,0.0,0.38409996,0.0
CR2,497.1289,0.0,0.3796506,0.0
mouse_IgG1k,492.12402,0.0,0.37577385,0.0
mouse_IgG2a,463.3872,0.0,0.3535145,0.0
FCGR3A,455.43848,0.0,0.34735745,0.0
CD4,454.94092,0.0,0.34697205,0.0
mouse_IgG2bk,451.25146,0.0,0.3441142,0.0
PECAM1,442.51904,0.0,0.33735016,0.0
CD40,435.0547,0.0,0.3315683,0.0
CD19,418.54834,0.0,0.3187826,0.0
CCR7,415.96973,0.0,0.31678522,0.0
CD27,384.62354,0.0,0.29250467,0.0
CEACAM8,373.3164,0.0,0.28374624,0.0
PTPRC_1,371.92676,0.0,0.28266984,0.0
SDC1,371.42334,0.0,0.28227988,0.0
PDCD1,359.39648,0.0,0.27296397,0.0
CD14,358.65918,0.0,0.27239287,0.0
PAX5,354.77002,0.0,0.26938033,0.0
PTPRC_2,353.39893,0.0,0.2683183,0.0
VIM,344.91162,0.0,0.26174408,0.0
CD274,343.86914,0.0,0.2609366,0.0
CD3E,340.33398,0.0,0.2581983,0.0
CXCR5,326.64893,0.0,0.24759793,0.0
KRT5,325.5244,0.0,0.24672689,0.0
ITGAX,323.06104,0.0,0.24481878,0.0
CD163,305.89893,0.0,0.23152512,0.0
rat_IgG2a,302.26367,0.0,0.22870928,0.0
BCL2,300.0415,0.0,0.226988,0.0
ITGAM,250.7002,0.0,0.18876855,0.0
EPCAM,194.85718,1.4080327e-38,0.14551292,1.4494454103652589e-38
CD8A,186.22314,9.435862e-37,0.13882506,9.435862260507099e-37
