,vFB1,vVCT,vSCT,vMC,vEB1,vEVT,vTcell,vHBC
ACTA2,0.90472275,-0.5507618,-0.6293412,-0.17058188,0.37437245,-0.456291,0.2619529,-0.37374443
BCL2,-0.84322125,0.44556043,0.43068525,0.350681,-0.26788756,0.10636704,0.014060573,0.59981906
CCR7,-0.8716319,0.4793968,0.4953177,0.29303044,-0.3093774,0.23231795,-0.06703987,0.54869044
CD14,-0.90223044,0.39253655,0.4995379,0.36378857,-0.22483955,0.1587776,0.13770488,0.49943414
CD163,-0.88922894,0.3602553,0.46652249,0.36205992,-0.21098797,0.2281938,0.16898812,0.47890675
CD19,-0.9125234,0.43019333,0.50566715,0.32609007,-0.25477675,0.26109526,0.061196852,0.47975057
CD27,-0.8905297,0.45679364,0.49636817,0.33020437,-0.28853738,0.21144976,-0.01116157,0.5477391
CD274,0.88598555,-0.40067834,-0.4328179,-0.39326108,0.2338779,-0.15065531,-0.12790905,-0.5671831
CD3E,-0.872342,0.4121609,0.4378588,0.3790008,-0.24456668,0.088917464,0.10160035,0.6349633
CD4,-0.8908724,0.4788351,0.5127283,0.29555452,-0.29627627,0.2430317,-0.052304987,0.5181595
CD40,-0.8988359,0.45508388,0.49935752,0.3228757,-0.28669533,0.2863664,-0.01774512,0.48722985
CD68,-0.88475204,0.5241661,0.55267155,0.21378966,-0.3372934,0.41186076,-0.20933346,0.42523727
CD8A,-0.24259156,0.1748584,0.0004559686,0.2826759,-0.054602373,-0.5339216,0.105231784,0.65025324
CEACAM8,0.8858165,-0.45314056,-0.4688833,-0.33681858,0.27660993,-0.1841625,-0.021164648,-0.57567835
CR2,-0.90780044,0.48541525,0.5365545,0.2804204,-0.30441847,0.32252485,-0.07983206,0.4675949
CXCR5,0.85067886,-0.4083505,-0.46347025,-0.3804661,0.2533037,0.00035943452,-0.1038366,-0.6269711
EPCAM,0.37810865,-0.3265446,-0.16218856,-0.16961323,0.1855848,0.12516794,0.16134879,-0.49677846
FCGR3A,0.90337163,-0.46757346,-0.51813155,-0.30431286,0.29126263,-0.25309026,0.018958516,-0.51076883
HLA_DRA,-0.9104649,0.49975002,0.5688687,0.24538279,-0.3243513,0.37849241,-0.120934196,0.4212975
ITGAM,0.63808554,-0.35814384,-0.2701783,-0.3548734,0.17697474,0.26492044,-0.13194202,-0.6523084
ITGAX,-0.83407754,0.42964658,0.4264907,0.3528128,-0.30109534,0.1498188,-0.014540139,0.6728894
KRT5,0.83730304,-0.33064213,-0.31194207,-0.48701784,0.17270003,0.053624388,-0.29129782,-0.71126264
MS4A1,-0.77985764,0.6116074,0.6339751,-0.04842768,-0.43354002,0.82387143,-0.7038514,0.20520681
PAX5,0.84235483,-0.3507017,-0.40002966,-0.44261515,0.20837632,0.069459684,-0.22721405,-0.6942377
PCNA,-0.91462934,0.50452805,0.56874204,0.24185133,-0.32854882,0.407227,-0.1474609,0.4328601
PDCD1,0.8866214,-0.41873956,-0.4559612,-0.3716589,0.25572953,-0.125077,-0.090483755,-0.62310743
PECAM1,0.76759785,-0.5799635,-0.51714694,-0.06479475,0.3825771,-0.5394681,0.48642972,-0.38593382
PTPRC_1,-0.8951543,0.4457534,0.4899225,0.3412581,-0.28043893,0.21682014,0.009668709,0.5508424
PTPRC_2,-0.811081,0.31080854,0.28879532,0.4927623,-0.14934343,-0.22442187,0.37177995,0.82419527
SDC1,0.9042305,-0.44187063,-0.5089148,-0.3376649,0.2784276,-0.21753503,-0.029969903,-0.5261914
VIM,-0.89449984,0.4171268,0.47087437,0.37162375,-0.25598544,0.1547958,0.09467119,0.56991136
mouse_IgG1k,0.89395547,-0.4882114,-0.53036344,-0.27726233,0.31463563,-0.29595014,0.0915011,-0.49798656
mouse_IgG2a,0.89284045,-0.47479978,-0.5142942,-0.29883796,0.29917812,-0.2549361,0.04963276,-0.51499546
mouse_IgG2bk,0.9125466,-0.4514147,-0.51667374,-0.3181636,0.28002134,-0.26026645,-0.011855491,-0.5105005
rat_IgG2a,0.85678905,-0.47771093,-0.49451196,-0.28590786,0.30522546,-0.22900556,0.09332522,-0.53783894
