section,protein,signature,n_genes,rho,p,rho_adj,p_adj,is_isotype
A,ACTA2,SCT,12,-0.34178909112126815,1.1683701354379008e-53,-0.38014848945877655,5.941830577216913e-67,False
A,BCL2,SCT,12,-0.3136881368806128,4.8746950605006613e-45,-0.3542560941241919,8.834551967064933e-58,False
A,CCR7,SCT,12,0.09483413403833188,3.1986324717158776e-05,0.12085686966297382,1.1110395780111577e-07,False
A,CD14,SCT,12,-0.07694471385807199,0.0007470159729833639,-0.09663954821939183,2.2513166147182173e-05,False
A,CD163,SCT,12,-0.2330216440468037,4.718613462554149e-25,-0.26041997075354845,4.352578711467181e-31,False
A,CD19,SCT,12,0.1999525874780056,9.71655024181594e-19,0.2437483323350197,2.510425033915519e-27,False
A,CD27,SCT,12,-0.2762614168652038,6.360434050834197e-35,-0.3177407141725943,3.1661104212321152e-46,False
A,CD274,SCT,12,0.39014912566574483,1.0028661835202812e-70,0.4186175810298744,3.320830390865528e-82,False
A,CD3E,SCT,12,-0.2966394417777925,3.045155022436736e-40,-0.33847626745757914,1.3536524421177415e-52,False
A,CD4,SCT,12,0.2564747661115256,3.580754394848982e-30,0.2907541081477414,1.1627429878950474e-38,False
A,CD40,SCT,12,0.23592068095876348,1.175792556243086e-25,0.2733786700527771,3.316606053712899e-34,False
A,CD68,SCT,12,0.2805198767156263,5.347231205509883e-36,0.3269490788997568,5.411078434252981e-49,False
A,CD8A,SCT,12,-0.24451330882605402,1.7109877832215292e-27,-0.29024752313104685,1.5845451996606513e-38,False
A,CEACAM8,SCT,12,0.3668573736791853,3.868639683684702e-62,0.39726779335891643,1.7174738620707064e-73,False
A,CR2,SCT,12,0.26476551445309854,4.09583087733769e-32,0.30488321263914825,1.601964172185853e-42,False
A,CXCR5,SCT,12,0.1862682962447144,1.9975809672634603e-16,0.23064281923942803,1.455118722020457e-24,False
A,EPCAM,SCT,12,0.2286968561549292,3.6216501411808725e-24,0.2622764407390469,1.5944434201447968e-31,False
A,FCGR3A,SCT,12,-0.10809312040410123,2.100376293294509e-06,-0.12459435212985769,4.4256985324839136e-08,False
A,HLA_DRA,SCT,12,0.3220795097582691,1.6169288678610073e-47,0.3630425614573702,8.469342366667608e-61,False
A,ITGAM,SCT,12,0.15410551947707582,1.1734299712554991e-11,0.19931227831566442,1.2577470503116814e-18,False
A,ITGAX,SCT,12,-0.2914658249956818,7.519122479248072e-39,-0.3284878361578405,1.825598887267136e-49,False
A,KRT5,SCT,12,0.3664261923074735,5.494937323156855e-62,0.40075256374884344,7.173544348510125e-75,False
A,MS4A1,SCT,12,0.26744137746877544,9.347750356950697e-33,0.31291918431372845,8.150303278632694e-45,False
A,PAX5,SCT,12,0.2647929219347881,4.0346630990478995e-32,0.3067584054760863,4.7409640043067066e-43,False
A,PCNA,SCT,12,0.2797409633591819,8.438069423854577e-36,0.31818028938600623,2.3475622007349466e-46,False
A,PDCD1,SCT,12,0.22937205312619777,2.6419070670458936e-24,0.27204923687997995,7.055653630436927e-34,False
A,PECAM1,SCT,12,-0.13811031521972353,1.2621948317339209e-09,-0.17957386783309975,2.342260683070515e-15,False
A,PTPRC_1,SCT,12,-0.2611457591697825,2.942088621623061e-31,-0.2952033664318847,7.465274103743638e-40,False
A,PTPRC_2,SCT,12,-0.3230710052769583,8.137302806046703e-48,-0.36438894595219806,2.8634575707769133e-61,False
A,SDC1,SCT,12,0.14161777090032168,4.72735596960345e-10,0.18059580438197204,1.6182922667934497e-15,False
A,VIM,SCT,12,-0.2854234200760186,2.9257765426673448e-37,-0.32208482111426484,1.6110032308210107e-47,False
A,mouse_IgG1k,SCT,12,-0.33264223604845283,9.413211925927285e-51,-0.37693346848921705,9.100032359198299e-66,True
A,mouse_IgG2a,SCT,12,-0.21463374890642134,2.054052933113426e-21,-0.22077514918168387,1.3593265169448382e-22,True
A,mouse_IgG2bk,SCT,12,-0.2468032749127856,5.387161656301073e-28,-0.2839903083646052,6.881280041056031e-37,True
A,rat_IgG2a,SCT,12,0.22215936518914303,7.287145881053281e-23,0.24807422914674304,2.8220210876128966e-28,True
A,ACTA2,VCT,5,-0.09799051966863245,1.724067746477593e-05,-0.07644949117011814,0.0008082590895534583,False
A,BCL2,VCT,5,-0.14424528508601456,2.2291812478472062e-10,-0.09638830270295458,2.3649533898329647e-05,False
A,CCR7,VCT,5,0.1863775305169275,1.917437530180466e-16,0.09729296575574167,1.9795905571370582e-05,False
A,CD14,VCT,5,-0.15812896176647923,3.336175232040276e-12,-0.10455822031441078,4.485340352481078e-06,False
A,CD163,VCT,5,-0.1336531462871577,4.244638389129107e-09,-0.06268243291186594,0.006044274696770058,False
