gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
AP003086.2,-6.862844175518341,-9.299020812814247,1.1383924473044997e-05,0.08199961399205241,True,0.0,6.862844175518341
CCDC148,-5.760586069637125,-8.670830936101344,1.93695708104391e-05,0.08199961399205241,True,0.0,5.760586069637125
COL7A1,5.51393063969253,8.09737807087238,3.23714988306875e-05,0.08199961399205241,True,5.51393063969253,0.0
STK19,5.473414611127118,8.039479940264027,3.4149383974816916e-05,0.08199961399205241,True,5.473414611127118,0.0
AC103409.1,-5.317448116162018,-8.012539310719045,3.501328529712177e-05,0.08199961399205241,True,0.0,5.317448116162018
ECH1,5.4574327121408075,7.470747253795136,5.8718951481077015e-05,0.08199961399205241,True,5.4574327121408075,0.0
EIF2D,5.003440267121108,7.357444731486228,6.566356322375721e-05,0.08199961399205241,True,5.003440267121108,0.0
RTCB,5.491004709325539,7.24743586208779,7.328375771031278e-05,0.08199961399205241,True,5.491004709325539,0.0
APTR,5.081772966136341,7.167538954837833,7.942979149255191e-05,0.08199961399205241,True,5.081772966136341,0.0
CBX1,4.759416440852296,7.102197805826401,8.488005786950456e-05,0.08199961399205241,True,4.759416440852296,0.0
SGF29,5.197595244821258,7.088764230071251,8.605098555666119e-05,0.08199961399205241,True,5.197595244821258,0.0
PLEKHG5,4.961929265588019,7.032701441856061,9.113372096276735e-05,0.08199961399205241,True,4.961929265588019,0.0
FBXO46,5.350767533881901,7.015075150224443,9.279948751845199e-05,0.08199961399205241,True,5.350767533881901,0.0
CARS,6.086054513820133,6.913582345453506,0.0001030689846826102,0.08199961399205241,True,6.086054513820133,0.0
TMEM43,5.283734027880017,6.891314964581673,0.00010548595570418262,0.08199961399205241,True,5.283734027880017,0.0
GGCT,4.6439241616829205,6.845542286333643,0.00011065288989772255,0.08199961399205241,True,4.6439241616829205,0.0
DCAF4,5.150377147859249,6.8432308445698276,0.0001109211104946574,0.08199961399205241,True,5.150377147859249,0.0
AC022784.1,5.351839420248259,6.828258178432536,0.00011267599324375467,0.08199961399205241,True,5.351839420248259,0.0
LINC02185,5.23447530363728,6.807982865154853,0.0001151013291418466,0.08199961399205241,True,5.23447530363728,0.0
QRICH2,4.988142262567097,6.8002938659109935,0.0001160360840702795,0.08199961399205241,True,4.988142262567097,0.0
C11orf96,4.544667128078377,6.789296051286421,0.00011738766247589961,0.08199961399205241,True,4.544667128078377,0.0
COMMD4,5.209992477050111,6.774129835085754,0.00011928005209105746,0.08199961399205241,True,5.209992477050111,0.0
PPP1R35,5.258897285616336,6.6732855424401265,0.00013275115278643383,0.08476761815633245,True,5.258897285616336,0.0
C8orf76,5.104457312869211,6.660913036494858,0.00013451618855805204,0.08476761815633245,True,5.104457312869211,0.0
HMGA2,-4.383478144598168,-6.584078572522512,0.00014607281056359448,0.08590441114183688,True,0.0,4.383478144598168
BIN3,5.77204663251019,6.529637294447304,0.00015492189187381843,0.08590441114183688,True,5.77204663251019,0.0
TSPYL4,4.6434303816517435,6.51375214291703,0.00015761388376678124,0.08590441114183688,True,4.6434303816517435,0.0
NRXN1,-4.347232430211269,-6.5026495080040245,0.00015952594577981348,0.08590441114183688,True,0.0,4.347232430211269
ARHGEF37,4.510735513014362,6.4732124016441155,0.0001647201747628451,0.08590441114183688,True,4.510735513014362,0.0
SLC2A6,4.965560394650701,6.435935648624929,0.00017156644865093132,0.08649236564655617,True,4.965560394650701,0.0
HSDL1,4.707866876197953,6.3950424226303,0.00017943892368712554,0.08754304134980924,True,4.707866876197953,0.0
LINC02141,-4.552298729119971,-6.303986752522869,0.0001984340363599822,0.09136482773355742,True,0.0,4.552298729119971
BLACE,-4.780078507155975,-6.276824447128303,0.00020452040855874654,0.09136482773355742,True,0.0,4.780078507155975
AC005921.2,-4.317567911039357,-6.269999731496151,0.00020608169761365667,0.09136482773355742,True,0.0,4.317567911039357
FAM198B-AS1,-4.127139418651309,-6.244485943385239,0.00021203551670517684,0.09136482773355742,True,0.0,4.127139418651309
CNN1,4.57333868282938,6.193449009349382,0.00022452051783214294,0.09136482773355742,True,4.57333868282938,0.0
PPP1R16A,4.616981728309171,6.1914604812254606,0.00022502303883654005,0.09136482773355742,True,4.616981728309171,0.0
SNIP1,4.280399443166483,6.173725514214497,0.00022955986867727993,0.09136482773355742,True,4.280399443166483,0.0
AC007100.1,-4.536075830896568,-6.134324519803983,0.0002400028035229203,0.09169141414648266,True,0.0,4.536075830896568
SLC7A5,5.3372335301340925,6.093083368403253,0.00025149498215082015,0.09169141414648266,True,5.3372335301340925,0.0
DDRGK1,4.903421257590685,6.0807989228869985,0.00025503387851916773,0.09169141414648266,True,4.903421257590685,0.0
EIF2B2,4.583938584827431,6.043485603654273,0.0002661224350894887,0.09169141414648266,True,4.583938584827431,0.0
AC090907.2,4.644913793654882,6.030137054511157,0.0002702168647307558,0.09169141414648266,True,4.644913793654882,0.0
OPN3,4.37414949749597,6.024520541938457,0.00027196024231030227,0.09169141414648266,True,4.37414949749597,0.0
MS4A5,-4.195441047856765,-6.021768639390512,0.0002728189392086564,0.09169141414648266,True,0.0,4.195441047856765
ITGAL,-3.9966855152185174,-5.990623085720055,0.0002827475853725415,0.09203027202855625,True,0.0,3.9966855152185174
TM4SF1-AS1,-4.394100836155128,-5.980688854203785,0.00028599727488377044,0.09203027202855625,True,0.0,4.394100836155128
ISCA2,-4.1891585003472676,-5.912880719441713,0.0003093033621190477,0.09636568679624301,True,0.0,4.1891585003472676
DNAJC27-AS1,4.434220209634182,5.900213163404734,0.0003138839489949201,0.09636568679624301,True,4.434220209634182,0.0
MTHFSD,4.465904758706149,5.873694563314063,0.00032371568193578434,0.09636568679624301,True,4.465904758706149,0.0
CD24,4.435646746932735,5.866144775848183,0.0003265761074547958,0.09636568679624301,True,4.435646746932735,0.0
SULT1A3,4.28795026026023,5.839090216836079,0.00033705609102370877,0.09636568679624301,True,4.28795026026023,0.0
KLF11,4.7808533976135745,5.837456984354536,0.0003377004364057709,0.09636568679624301,True,4.7808533976135745,0.0
TCTE3,-4.3341223781503,-5.786841231781264,0.0003583538833788053,0.10036563207816761,True,0.0,4.3341223781503
ZMYM3,4.3929403405123955,5.730007294178129,0.0003832075966652073,0.10422915657189247,True,4.3929403405123955,0.0
CHDH,-4.060436099482989,-5.724024356931391,0.0003859318148655103,0.10422915657189247,True,0.0,4.060436099482989
MYBL1,-3.774270684390418,-5.707111289651148,0.00039374818190504124,0.10447451759880427,True,0.0,3.774270684390418
XIST,-7.003931730220369,-5.644419065377416,0.0004242686872721702,0.11063171769490177,True,0.0,7.003931730220369
