gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
CLEC3B,4.17396021075797,11.08966102522775,8.53558124106971e-06,0.04487445315307972,True,4.17396021075797,0.0
GTSF1,4.653609322826049,10.849790947459335,9.916711012010393e-06,0.04487445315307972,True,4.653609322826049,0.0
B9D1,3.926959104710106,10.332165697624797,1.3849590089501899e-05,0.04487445315307972,True,3.926959104710106,0.0
ADRA2A,3.7073989653193684,9.358246217531319,2.7085157117988236e-05,0.04487445315307972,True,3.7073989653193684,0.0
ENKD1,4.091791871728183,9.291009230380183,2.8431738874029193e-05,0.04487445315307972,True,4.091791871728183,0.0
ZKSCAN3,4.196040673179866,9.116525168150138,3.229284693538287e-05,0.04487445315307972,True,4.196040673179866,0.0
SOX17,3.9785388317447343,8.94815089554453,3.6588183136070696e-05,0.04487445315307972,True,3.9785388317447343,0.0
ZNF41,3.540431557575584,8.897469119869482,3.800463158354763e-05,0.04487445315307972,True,3.540431557575584,0.0
RNF17,4.476603314528882,8.804924366244903,4.0753517778604966e-05,0.04487445315307972,True,4.476603314528882,0.0
TMEM161A,3.341367757356862,8.732735915120598,4.3053756899031836e-05,0.04487445315307972,True,3.341367757356862,0.0
ITM2A,4.448900683779229,8.693033714415076,4.438100198227144e-05,0.04487445315307972,True,4.448900683779229,0.0
EPN3,3.9596759039609704,8.577291096037289,4.85210744619975e-05,0.04487445315307972,True,3.9596759039609704,0.0
HLA-G,4.421575891132587,8.484097877092097,5.217213891740416e-05,0.04487445315307972,True,4.421575891132587,0.0
SPDL1,3.589364636850615,8.473293732576172,5.261508120472775e-05,0.04487445315307972,True,3.589364636850615,0.0
TVP23A,3.240790215689875,8.412558994517358,5.518527092267616e-05,0.04487445315307972,True,3.240790215689875,0.0
GNB5,3.089258001878758,8.288835171036853,6.087054685432688e-05,0.04487445315307972,True,3.089258001878758,0.0
AMIGO1,3.844803337404199,8.243807662408535,6.310102848481973e-05,0.04487445315307972,True,3.844803337404199,0.0
TONSL,3.082453187560905,8.182391725308436,6.62931644835338e-05,0.04487445315307972,True,3.082453187560905,0.0
N6AMT1,3.2795704536901553,8.080012145040778,7.202673615945251e-05,0.04487445315307972,True,3.2795704536901553,0.0
IFI27L2,3.478735036637664,8.070358426305503,7.259555763395643e-05,0.04487445315307972,True,3.478735036637664,0.0
AC132872.1,3.155972743516545,8.052306399171036,7.367284333872646e-05,0.04487445315307972,True,3.155972743516545,0.0
ATP1B2,3.835554347091191,8.01708129536035,7.582715331170773e-05,0.04487445315307972,True,3.835554347091191,0.0
TRPC3,3.0270720087668366,7.996612706743664,7.711148695208482e-05,0.04487445315307972,True,3.0270720087668366,0.0
FICD,4.446654715370582,7.984437347357156,7.788704751899129e-05,0.04487445315307972,True,4.446654715370582,0.0
VSNL1,3.14267536030645,7.977155829367411,7.835506542908419e-05,0.04487445315307972,True,3.14267536030645,0.0
GLT1D1,-3.4856459883494715,-7.952534535500421,7.996118320845656e-05,0.04487445315307972,True,0.0,3.4856459883494715
ZNF454,3.1240176568108655,7.938916826860517,8.086538967592464e-05,0.04487445315307972,True,3.1240176568108655,0.0
HCK,-4.878019533924832,-7.932239821743618,8.131293575437482e-05,0.04487445315307972,True,0.0,4.878019533924832
KIF7,3.6064095149578765,7.89482810479181,8.387268540807972e-05,0.04487445315307972,True,3.6064095149578765,0.0
OR51E1,3.601441209610675,7.88670439538645,8.444041865347748e-05,0.04487445315307972,True,3.601441209610675,0.0
LHB,2.9838838886158903,7.693350692814303,9.931592669277175e-05,0.04865290140188076,True,2.9838838886158903,0.0
MOSPD3,3.222168581514795,7.623192316863306,0.00010542485895620603,0.04865290140188076,True,3.222168581514795,0.0
CBX8,3.2874766279856846,7.594581736340684,0.0001080363864602846,0.04865290140188076,True,3.2874766279856846,0.0
GPER1,3.2746532621402693,7.5923350996289365,0.00010824451395730365,0.04865290140188076,True,3.2746532621402693,0.0
AC005899.7,2.992371894753912,7.520562783572833,0.00011513656030096353,0.04865290140188076,True,2.992371894753912,0.0
TG,3.035224268017528,7.487398997351397,0.00011848662409715577,0.04865290140188076,True,3.035224268017528,0.0
ZNF589,3.20842739065902,7.4654439441798575,0.00012076462491563456,0.04865290140188076,True,3.20842739065902,0.0
AC120053.1,3.494357008637279,7.458779233870599,0.00012146583861126553,0.04865290140188076,True,3.494357008637279,0.0
SLC4A3,4.125584743610175,7.45474562894056,0.00012189244640114012,0.04865290140188076,True,4.125584743610175,0.0
CHIC1,2.987354800064955,7.410208567428375,0.00012671638734838248,0.04865290140188076,True,2.987354800064955,0.0
CC2D2A,4.02751420816876,7.401438183213211,0.00012769138794745008,0.04865290140188076,True,4.02751420816876,0.0
KCTD21-AS1,2.9904131797046625,7.37645557774159,0.0001305151785504137,0.04865290140188076,True,2.9904131797046625,0.0
AL357054.2,2.9285365715369664,7.370295773102157,0.00013122215143203115,0.04865290140188076,True,2.9285365715369664,0.0
QSOX2,2.975774475502473,7.216049279172992,0.00015040685145506654,0.05377385834360485,True,2.975774475502473,0.0
NRXN1,-3.9272779652760033,-7.191471214326228,0.00015374543045302953,0.05377385834360485,True,0.5588417618571241,4.4861197271331275
HTRA4,3.769517783915431,7.1781752215885914,0.0001555861000665708,0.05377385834360485,True,8.465430459885217,4.695912675969787
RTL6,2.987758122231785,7.13376397489441,0.00016191583823734496,0.05377385834360485,True,2.987758122231785,0.0
MPP3,3.0301274659857538,7.102389064081456,0.00016656166196631867,0.05377385834360485,True,3.0301274659857538,0.0
PPP1R3D,3.11019491563354,7.07085971744502,0.00017138147795199433,0.05377385834360485,True,3.11019491563354,0.0
PC,3.848808065055518,7.064594348137563,0.00017235776399882353,0.05377385834360485,True,3.848808065055518,0.0
TRMT61A,3.875479511498071,7.025776283931968,0.00017854730443276416,0.05377385834360485,True,3.875479511498071,0.0
FAM169B,-3.607946123431875,-6.994325072414351,0.00018374521393436924,0.05377385834360485,True,0.24708677902355003,3.855032902455425
LYSMD4,3.2199022184339126,6.9928658922952405,0.0001839904561433695,0.05377385834360485,True,3.2199022184339126,0.0
IMPDH1,3.5546382605619136,6.989793132042324,0.0001845080910380142,0.05377385834360485,True,3.5546382605619136,0.0
KCTD6,3.0885395194988803,6.9838817685538785,0.00018550851213060694,0.05377385834360485,True,3.0885395194988803,0.0
AL391361.2,3.7224096666875552,6.9412214357837305,0.00019291112727268586,0.05462857664551145,True,3.7224096666875552,0.0
AC244093.5,2.720216628913023,6.916454607441908,0.00019736034802013958,0.05462857664551145,True,2.720216628913023,0.0
MYO3A,-3.2627084844000014,-6.9089201756713035,0.0001987365894398585,0.05462857664551145,True,0.31978279828484935,3.5824912826848507
ACTR5,3.1986958302642257,6.881009758628757,0.00020392922084665628,0.054714418092664245,True,3.1986958302642257,0.0
CCDC61,3.213839914590802,6.870558417129022,0.00020591263159755723,0.054714418092664245,True,3.213839914590802,0.0
TBKBP1,3.110919375327871,6.829422879395748,0.00021393181605750404,0.055025430494525046,True,3.110919375327871,0.0
IL17RE,2.668289442150956,6.8135908426945315,0.00021711094538728626,0.055025430494525046,True,2.668289442150956,0.0
TESC,3.669803005622562,6.80679190451407,0.000218492409082753,0.055025430494525046,True,3.669803005622562,0.0
AC097652.1,2.708725996089259,6.795112159237319,0.00022088863775008487,0.055025430494525046,True,2.708725996089259,0.0
HSD17B8,3.3346714789775493,6.685503335936092,0.00024486803230698454,0.05952884746432763,True,3.3346714789775493,0.0
DHH,3.198663654278701,6.677311026318136,0.00024677414649524986,0.05952884746432763,True,3.198663654278701,0.0
ZNF354C,3.406587224336944,6.662897219659003,0.0002501682732302547,0.05952884746432763,True,3.406587224336944,0.0
KLRG1,2.599356206666137,6.6304078538873545,0.0002580120740025742,0.06049244846798589,True,2.599356206666137,0.0
LRP1B,-3.687064264328643,-6.54227607079315,0.00028071153399202123,0.06486063748456224,True,0.0,3.687064264328643
AC137810.1,2.5427262750408546,6.5182127987675536,0.00028729160145459474,0.06543271431415149,True,2.5427262750408546,0.0
PDGFD,-4.563644058685582,-6.480540565134809,0.00029794228783857707,0.06690273091563992,True,1.7077154836483464,6.271359542333928
KCTD15,3.697012361768294,6.463953245827111,0.0003027712725515553,0.06702134376950165,True,3.697012361768294,0.0
AL034417.4,3.3489691608565724,6.4442378862562535,0.00030862508153514846,0.06702134376950165,True,3.3489691608565724,0.0
AC104532.2,2.4758194744405615,6.427104745690885,0.00031381506603231916,0.06702134376950165,True,2.4758194744405615,0.0
ASB5,2.6889149376919943,6.422307264262129,0.000315285754419659,0.06702134376950165,True,2.6889149376919943,0.0
RFPL3S,3.1188949980876894,6.382760312197531,0.0003277068387058789,0.06874513328273457,True,3.1188949980876894,0.0
UBE2T,3.6439794802300227,6.3668178465256275,0.0003328680184272687,0.06892097165955774,True,3.6439794802300227,0.0
CCDC151,2.9485808402336366,6.299400268130865,0.00035572098048956987,0.0727084563069899,True,2.9485808402336366,0.0
ZNF32,2.7946203074613325,6.272473497011406,0.00036533406276181797,0.07369949794709531,True,2.7946203074613325,0.0
GATD3A,4.446174909072245,6.260191391071659,0.00036981495551449695,0.07369949794709531,True,4.446174909072245,0.0
MYO18B,3.0050709688652613,6.246721987136901,0.00037479970740769014,0.07377076216297289,True,3.0050709688652613,0.0
C10orf143,3.1424180617047184,6.1700579796835,0.00040464028622847457,0.0786729278456167,True,3.1424180617047184,0.0
FXYD1,3.5403686910805896,6.136714957749599,0.0004184387873201675,0.08037553718367987,True,3.5403686910805896,0.0
PAFAH1B3,2.3194152783343926,6.07076332602086,0.00044730571239110574,0.08399495063430093,True,2.3194152783343926,0.0
GLB1L,2.6141337005945684,6.068520601858315,0.000448325673726816,0.08399495063430093,True,2.6141337005945684,0.0
RILP,3.5540853234919756,6.058126039112176,0.00045308698203285955,0.08399495063430093,True,3.5540853234919756,0.0
SWSAP1,2.6237921484483517,6.041545727994547,0.0004607988912559999,0.08444272095740697,True,2.6237921484483517,0.0
MSANTD3,3.2522872575778585,6.023421414523931,0.00046939685897412963,0.0850408423025517,True,3.2522872575778585,0.0
SNPH,2.256785486121348,6.011808890895119,0.00047499968039374583,0.08508898769120775,True,2.256785486121348,0.0
FAM111A-DT,2.716127291119749,5.955647630736702,0.0005031701670070142,0.08913379969547586,True,2.716127291119749,0.0
ZNF382,2.730621257743928,5.934482677773234,0.0005142657122479435,0.09009822253152706,True,2.730621257743928,0.0
OR51E2,2.377843825588989,5.913794851363463,0.0005253752520257392,0.09058285443971037,True,2.377843825588989,0.0
RAB29,2.8928149422922367,5.908255299489493,0.0005283952495071859,0.09058285443971037,True,2.8928149422922367,0.0
AC068875.1,-3.589269039447888,-5.87025325279978,0.0005496418842334816,0.09322277191845102,True,0.18813406127072588,3.777403100718614
PLPPR1,2.681549859132586,5.805671627983481,0.0005879669679454111,0.09867323547319673,True,2.681549859132586,0.0
CAND2,2.3668423853040426,5.764564250263413,0.0006139076698750553,0.10195343730018756,True,2.3668423853040426,0.0
TBX4,3.9315019056363676,5.7003737409587405,0.0006570011768882856,0.10782608280760186,True,4.477552368219393,0.5460504625830256
RPP40,2.8569168189144096,5.687533248905995,0.0006660195599821217,0.10782608280760186,True,2.8569168189144096,0.0
TIMELESS,3.967961002709886,5.678343642293987,0.0006725583204178932,0.10782608280760186,True,4.568870934708965,0.6009099319990789
LIPT2,2.7128473368380184,5.670065920516209,0.0006785094112187898,0.10782608280760186,True,2.7128473368380184,0.0
BICDL2,2.838764788155951,5.653884782527642,0.0006903123863659726,0.10782608280760186,True,2.838764788155951,0.0
FUT1,2.3004569630687723,5.6512815876619324,0.0006922324673581896,0.10782608280760186,True,2.3004569630687723,0.0
PWP2,3.001519351404831,5.642192074863261,0.000698983487139183,0.10782608280760186,True,3.001519351404831,0.0
WNT11,3.5991077586062707,5.624073495471186,0.0007126601547710453,0.10782608280760186,True,3.5991077586062707,0.0
AC083964.1,2.2946513497537926,5.621058007522293,0.0007149651253740494,0.10782608280760186,True,2.2946513497537926,0.0
NOC3L,3.9271693178709923,5.61853273908417,0.0007169017611243679,0.10782608280760186,True,3.9271693178709923,0.0
AOC3,3.5059188986772454,5.584801990774829,0.0007433370428192997,0.11075721938007566,True,3.5059188986772454,0.0
AC124861.1,2.792031107856061,5.5608864922576045,0.0007627362409379141,0.11259540638215892,True,2.792031107856061,0.0
ECI2,3.6917403021504915,5.509142805735437,0.000806663368385457,0.11792761971657686,True,4.237790764733517,0.5460504625830256
TRAPPC5,4.081864682961016,5.487675536917844,0.0008257066330833069,0.11792761971657686,True,4.081864682961016,0.0
LINC02241,-4.558970047783018,-5.487174090433545,0.0008261573858227826,0.11792761971657686,True,0.9209787291873032,5.479948776970321
CETP,4.668072838521134,5.484634239221122,0.0008284446721606103,0.11792761971657686,True,5.433125311058832,0.765052472537698
CABLES2,3.1745802855438754,5.453077140471531,0.0008574579812201369,0.12097745658931543,True,3.1745802855438754,0.0
GPRC5C,3.6294151963446524,5.437020468350191,0.0008726520419529681,0.12204115355136992,True,3.6294151963446524,0.0
GPBAR1,2.730073137714197,5.420189091276174,0.0008889007775913047,0.12323256606207104,True,2.730073137714197,0.0
NTRK2,3.996370705545008,5.394130471172124,0.0009147238455030041,0.12557692000352996,True,4.628005735545156,0.6316350300001483
BORCS6,2.7851660304500734,5.387364248482572,0.0009215643003457946,0.12557692000352996,True,2.7851660304500734,0.0
MIR2052HG,2.4083618209667,5.326781670124452,0.0009854047867924418,0.13238127682409598,True,6.490079601586103,4.081717780619403
CXCR6,2.9381699361348246,5.324315184254941,0.000988105873553749,0.13238127682409598,True,2.9381699361348246,0.0
TMEM198,2.6936811441667152,5.227977421999553,0.0011003115726395728,0.1457400438105701,True,2.6936811441667152,0.0
PAK1IP1,-3.803873567332178,-5.22261683207868,0.0011069575370735866,0.1457400438105701,True,0.6801143581665327,4.4839879254987105
ZNF574,2.1892496901813043,5.215985241025726,0.001115240879689491,0.1457400438105701,True,2.1892496901813043,0.0
CYB5R2,3.286429674216151,5.168565337072111,0.001176511973437451,0.150463754134081,True,3.286429674216151,0.0
AHRR,4.1599952917431064,5.165632968914579,0.0011804214768848765,0.150463754134081,True,4.8481898451233,0.688194553380193
TWIST2,3.7110371730236467,5.1626351844182805,0.0011844330696067376,0.150463754134081,True,3.7110371730236467,0.0
AL133297.2,-3.13207292451594,-5.159133299243828,0.001189138369246328,0.150463754134081,True,0.39565051297639203,3.527723437492332
AL451050.2,-3.169703292378173,-5.143617011832364,0.0012102372621186702,0.15192765881856662,True,0.653975030716075,3.823678323094248
CCDC148,-3.5166571129064543,-5.103708899634559,0.0012664326505080457,0.15736263531488495,True,1.5629284545361604,5.0795855674426145
LEP,7.092209629788119,5.098985787492469,0.0012732722797227723,0.15736263531488495,True,8.410346818491641,1.318137188703522
AC090709.1,3.1334077263221953,5.0791233000902505,0.0013024862547641404,0.15903631905335142,True,3.1334077263221953,0.0
ZFP92,2.8998729674303187,5.076255474741476,0.0013067652133217735,0.15903631905335142,True,2.8998729674303187,0.0
DPYD,-2.3716678167521357,-5.066322725933841,0.0013217060693937967,0.15963605957837348,True,4.8570405853196545,7.22870840207179
AC124016.1,-4.241103017334771,-5.045622061227356,0.0013534550239257628,0.16113324062267717,True,0.9095925497956504,5.1506955671304215
ZNF319,2.2186874168927484,5.045068429118164,0.001354315639681286,0.16113324062267717,True,2.2186874168927484,0.0
MAP4K1,2.648967162125258,5.01248218273526,0.0014060526441821235,0.1649421246515848,True,2.648967162125258,0.0
FAM124A,3.9044272989839603,5.011885236569114,0.0014070205703202367,0.1649421246515848,True,4.52866109519255,0.6242337962085899
YDJC,3.895120207972659,4.991488564892969,0.0014405396646827214,0.16763886039442794,True,4.486117969489034,0.5909977615163748
PSRC1,2.530134883363483,4.976529197073035,0.0014656842533289523,0.16932901486103977,True,2.530134883363483,0.0
CCDC180,2.1738524330402944,4.938778961353172,0.0015313202389330635,0.17563912639791246,True,2.1738524330402944,0.0
CTBP1-AS,-3.326575311750495,-4.875462684493681,0.0016488197568787426,0.18776523845655568,True,0.37324387188788566,3.6998191836383807
LRCH2,4.004268911914234,4.865903352184717,0.001667408996613159,0.1884527890276975,True,4.004268911914234,0.0
NDUFA13,4.891339949299717,4.86025670202024,0.0016784981522883424,0.1884527890276975,True,4.891339949299717,0.0
FAM104B,3.3582008254588605,4.787976869344909,0.0018278682356345894,0.20378813483022556,True,3.914643855698518,0.5564430302396575
AC012368.1,3.24316267472262,4.720746140558531,0.00198004668978016,0.2192214192719798,True,3.8198416522161174,0.5766789774934973
BAG2,3.8475063706889006,4.710785593493535,0.0020037570112578862,0.22006137243589138,True,4.4914700649596755,0.6439636942707748
EXO5,-3.2672919870585817,-4.706008506413284,0.0020152393135319663,0.22006137243589138,True,0.580217329724206,3.8475093167827876
GSTZ1,3.9978661239785884,4.6503237605861365,0.0021545649940778403,0.23367503197675515,True,4.725589009153663,0.7277228851750748
ZNF358,4.078487587846854,4.639064324950954,0.002184006299722263,0.23526765159778407,True,4.780561520654731,0.7020739328078774
KLHL14,2.6987707228376574,4.631580308494278,0.0022038203877755526,0.23580878149198414,True,2.6987707228376574,0.0
UTP15,3.059044386480279,4.582694319876578,0.002338214937293191,0.24852107163510226,True,3.6050948490633044,0.5460504625830256
IFIT2,3.336604830389485,4.550928319612025,0.0024303629573006673,0.25535566087526723,True,3.336604830389485,0.0
RP9,3.651682585335215,4.549515885037907,0.0024345518693495967,0.25535566087526723,True,4.357230692117859,0.7055481067826445
THRSP,2.1461732177269117,4.528504295761541,0.0024978127587849523,0.25954241600484645,True,2.1461732177269117,0.0
SLC29A3,4.720405929035586,4.525492691102697,0.0025070270378690558,0.25954241600484645,True,5.710285595396247,0.9898796663606609
ATP11B,2.0900132625520733,4.516814381201514,0.002533788599362708,0.26062059122348163,True,6.221696443546538,4.1316831809944645
SMOC2,-3.1545278090555673,-4.5059063109891415,0.00256787215225788,0.26243324181697036,True,4.996774094554819,8.151301903610387
PIGW,3.5818812378847933,4.4543478133101315,0.00273593308253464,0.27782790531751445,True,3.5818812378847933,0.0
GRIK4,3.142496670629802,4.445419225565068,0.002766245110324155,0.2791281379360633,True,3.7334944321461765,0.5909977615163748
FRGCA,2.152678295101855,4.43701640858406,0.0027951090223800336,0.2802668122251879,True,2.152678295101855,0.0
FJX1,3.144313538026472,4.417584047697301,0.002863133440456476,0.28529335275748496,True,3.144313538026472,0.0
SDSL,2.7556784204414764,4.412240489750291,0.002882155792745547,0.2854050298369084,True,2.7556784204414764,0.0
CTHRC1,4.169482192275289,4.3926048719574915,0.002953255462532838,0.29064044345161133,True,5.036195194167966,0.8667130018926766
COL11A1,-3.4829635210597933,-4.379622984858979,0.0030013172038830323,0.2921589380474056,True,0.7411108912835623,4.224074412343356
GLA,4.111789066663795,4.376492150920793,0.0030130361144502966,0.2921589380474056,True,4.817344894318435,0.7055558276546391
CCDC8,2.9398221059052836,4.373665153821947,0.0030236608403576446,0.2921589380474056,True,2.9398221059052836,0.0
PYY,2.512701723897416,4.351323994740623,0.0031090846476842723,0.29860323215680934,True,2.512701723897416,0.0
LINC02482,2.3331463627228164,4.3419165215660955,0.003145843284894625,0.3003244280902695,True,2.3331463627228164,0.0
AC010328.1,3.880832988068529,4.33708539711704,0.003164905157970836,0.3003457317471967,True,4.5808391387066285,0.7000061506380992
CRYZ,3.0526840058030613,4.329243330208428,0.0031961170276397595,0.3015129808974005,True,3.656480483108411,0.6037964773053492
SPATA20,3.4075814404261595,4.312336974798606,0.003264558227090436,0.3061579518500166,True,4.51797596925238,1.110394528826221
ENDOD1,3.766782802418918,4.296504077476898,0.0033301109817751354,0.3104792946341578,True,4.571831022801543,0.8050482203826252
SULT1C4,3.3017296250253523,4.280118888577763,0.0033994707083790407,0.31510326455632004,True,3.866073691268548,0.5643440662431953
BHLHE40-AS1,2.404816396938224,4.265482570971482,0.003462765489291858,0.3191148566230063,True,2.404816396938224,0.0
AL590226.1,3.4190752233482846,4.254460140942802,0.0035112830049206017,0.3217263502726963,True,3.4190752233482846,0.0
NBPF19,-1.8139554801328268,-4.198443082692101,0.003769621458882613,0.34342328525123145,True,4.894759049285143,6.7087145294179695
UBL7,3.4424457998125035,4.184254988733153,0.0038383033349636956,0.3476935799393534,True,4.143603354674383,0.7011575548618793
RILPL2,3.498681473953943,4.177693587634178,0.003870527116418561,0.34798767397855984,True,4.225979323765147,0.7272978498112035
ENDOG,3.2668038562639445,4.169927986880567,0.003909047191160716,0.34798767397855984,True,3.2668038562639445,0.0
OVGP1,3.79946743389337,4.167721757009452,0.003920067083387915,0.34798767397855984,True,5.1434091842150425,1.3439417503216722
GPT2,3.6711324891879267,4.161566801523051,0.003950990200308462,0.34798767397855984,True,5.046248503121732,1.3751160139338054
DEUP1,-3.0937992712821902,-4.158482688740958,0.003966585185032847,0.34798767397855984,True,0.4275248359598614,3.5213241072420516
AL513164.1,4.142920881368172,4.1573140803351665,0.003972511865025271,0.34798767397855984,True,4.981028760026844,0.8381078786586716
AC087286.2,-3.2826622289559233,-4.140218450277178,0.004060327849083754,0.35373664971553165,True,0.8808460542917875,4.163508283247711
DLGAP5,2.757364531104771,4.129634589000709,0.004115755134038192,0.3566167614237548,True,2.757364531104771,0.0
AC005899.6,-3.2690639694949226,-4.1027969601731336,0.004260039190279542,0.3671232692466311,True,0.4676888430909736,3.7367528125858964
CORO6,-1.668610163945334,-4.085025900813398,0.004358611525738174,0.3735986212626006,True,7.262554670078084,8.931164834023418
