gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
NIPAL3,3.912663224878929,10.826976219834386,4.0158983216673003e-07,0.004928892595406654,True,3.912663224878929,0.0
CPT1B,4.8852479495356205,10.336212149592255,6.355351164214627e-07,0.004928892595406654,True,4.8852479495356205,0.0
AC092378.1,-3.629058950668611,-9.74727591704808,1.1298844375430461e-06,0.005841879170243396,True,0.0,3.629058950668611
ABHD16A,4.933424295952592,9.223621105253823,1.9309494842069907e-06,0.007487739362383658,True,5.2727362295029625,0.33931193355037054
PIEZO2,-3.7136621175975284,-8.594335935732209,3.7995628132903973e-06,0.01076726922949552,True,0.1754964302579521,3.8891585478554807
TLR2,-3.6376708703788623,-8.44684857029431,4.477450436007343e-06,0.01076726922949552,True,0.0,3.6376708703788623
AC007879.1,-4.007465109294665,-8.37406759120969,4.859189259652417e-06,0.01076726922949552,True,0.0,4.007465109294665
ZDHHC4,3.238705141755378,8.208912674378015,5.862313464353364e-06,0.011366293018198128,True,3.238705141755378,0.0
AC107081.2,3.8177679087762804,7.847584262856897,8.92768896842576e-06,0.015386375954361329,True,3.8177679087762804,0.0
MRPL58,4.00412833071725,7.361306980955834,1.608669236912115e-05,0.024952068533743814,True,4.00412833071725,0.0
BCKDHA,3.971861418244173,6.9767198989165875,2.6134715339388125e-05,0.036852324511749926,True,4.368673522349794,0.39681210410562073
AL691520.1,3.7345149923177487,6.491939593889983,4.945553289904156e-05,0.06188543126361301,True,3.7345149923177487,0.0
KCNAB1,-4.536868874204442,-6.456648307621957,5.186710118154659e-05,0.06188543126361301,True,1.2818960861765216,5.818764960380964
MIAT,3.7752247841133775,6.375184936131509,5.792854246629751e-05,0.06418068729962433,True,4.150503860362514,0.37527907624913687
AC073896.2,3.5104048774358145,6.308768270414508,6.343213716132154e-05,0.06559305863395055,True,3.866493808972031,0.3560889315362163
AC004053.1,-4.128771769809521,-6.083473681506423,8.668177141527266e-05,0.08403255977639339,True,0.7923635268775219,4.921135296687043
GRIK2,-2.3098390525561907,-5.980187831557503,0.00010025386619766537,0.09147280697599926,True,6.953511371836145,9.263350424392335
PSMG3-AS1,3.6956719749437563,5.803085592896618,0.00012909421956194163,0.11124335775695982,True,4.026699633976146,0.33102765903238957
AC126118.1,3.097281537179544,5.614077020552075,0.00016989707086016576,0.12413465003217462,True,3.4595209261340756,0.3622393889545313
C9orf40,2.7902636902418907,5.565984407548756,0.00018234074164700156,0.12413465003217462,True,2.7902636902418907,0.0
TAF10,3.5455085817192873,5.542532666695935,0.00018875762633857533,0.12413465003217462,True,4.235878120337146,0.6903695386178589
AC007220.1,3.7137751191102875,5.541634988322095,0.00018900797916994325,0.12413465003217462,True,4.189616218391282,0.47584109928099455
AC003092.1,-2.8022047794750455,-5.539169844073152,0.00018969730170610108,0.12413465003217462,True,3.826219717144816,6.6284244966198616
TMPRSS13,2.8821149180690213,5.530749291865837,0.00019207218108259887,0.12413465003217462,True,2.8821149180690213,0.0
RALYL,-2.3173023716247565,-5.45096453482865,0.00021621065655830175,0.12902140880750504,True,7.44631767590158,9.763620047526336
NCR1,3.404911531347499,5.450781750514359,0.00021626952672265686,0.12902140880750504,True,3.404911531347499,0.0
LINC01500,2.6871085373708015,5.351117958191852,0.0002510554675587835,0.14408295982088976,True,2.6871085373708015,0.0
AC087623.2,-4.208685130020937,-5.3276201952474205,0.0002600943121001169,0.14408295982088976,True,0.9031814061690405,5.111866536189978
AKAP6,-3.8111189952147178,-5.293734586878771,0.00027374294624617185,0.14641471859394384,True,0.46895618228109154,4.280075177495809
SOD3,3.1382827727406584,5.256533322719024,0.00028960775417845856,0.14973686250206902,True,3.1382827727406584,0.0
TMEM254,3.996877662608782,5.1952096778872034,0.00031792858403203425,0.1550987279801037,True,4.879980968388743,0.883103305779961
IGSF8,3.5625480832164644,5.191001846621996,0.0003199767452364979,0.1550987279801037,True,4.105003926556679,0.5424558433402151
CALHM4,-2.1514097300457315,-5.158586468426403,0.00033623212958823766,0.15803928975888348,True,5.614893047789258,7.76630277783499
PCDH7,-3.526330863087773,-5.098968053498662,0.00036845972806364086,0.16809349535279802,True,0.7659199138313154,4.292250776919088
ENO3,3.87314180373459,5.0778603703686125,0.0003806416907147295,0.16868952184789054,True,4.76231291322656,0.8891711094919698
LINC01569,3.278747419300947,5.041655419781433,0.00040254150608654596,0.17343948058078928,True,3.278747419300947,0.0
STX1B,2.783081971838243,5.013923500250797,0.0004202175267186966,0.17616200153874872,True,2.783081971838243,0.0
LINC02241,-4.094039219699376,-4.975872097245671,0.00044582035358864104,0.1819768290661424,True,1.763983283174615,5.8580225028739905
KMO,3.7305037651325215,4.9542593086562094,0.0004610933645132754,0.18215574613709315,True,5.269878883340086,1.5393751182075641
PRKAR2B,-1.9554662412947108,-4.9423487011942635,0.0004697459767573803,0.18215574613709315,True,6.1551042614714,8.11057050276611
KCNIP4,-4.366111986741924,-4.904037144363956,0.0004987623695669818,0.187928412418177,True,0.9504977069171114,5.316609693659035
