protein,best_niche,D,z_vs_isotype,D_A,D_B,expected,match,d_vSCT,d_vFB1,d_vEVT,d_vHBC,d_vEB1,d_vVCT,d_vTcell
ITGAM,vEVT,0.22356624321590504,1.9165563613440932,0.20854890547825683,0.23858358095355325,vHBC,False,0.011,0.081,0.224,-0.185,0.006,-0.051,0.049
KRT5,vEVT,0.20651051279915705,1.7570606958068307,0.20223695510307393,0.21078407049524017,,,0.044,0.112,0.207,-0.185,-0.006,-0.057,0.045
EPCAM,vEVT,0.2031962677317617,1.726067726883099,0.195709043817702,0.2106834916458214,vSCT|vVCT,False,-0.031,0.044,0.203,-0.163,0.036,-0.013,0.036
CD8A,vHBC,0.2028810637762098,1.7231201155265452,0.18150222762128165,0.22425989993113793,vTcell,False,-0.002,-0.011,-0.264,0.203,0.016,-0.048,0.009
PAX5,vEVT,0.20163578843853253,1.7114749960325748,0.18641640250560187,0.21685517437146318,vTcell,False,0.017,0.105,0.202,-0.182,0.011,-0.056,0.058
PTPRC_2,vHBC,0.1981626700683779,1.6789963327093345,0.1965588305394238,0.199766509597332,vHBC|vTcell,True,-0.053,-0.077,-0.266,0.198,0.017,0.035,-0.002
CXCR5,vEVT,0.1881324865983337,1.5851996585754233,0.18081072744238136,0.19545424575428605,vTcell,False,-0.0,0.104,0.188,-0.168,0.018,-0.066,0.07
ITGAX,vHBC,0.16328210462861498,1.3528127648881574,0.1751347279773151,0.15142948127991485,vHBC,True,-0.011,-0.089,-0.159,0.163,-0.013,0.065,-0.079
PDCD1,vEVT,0.16110198655618266,1.3324255182316926,0.16950842175893982,0.1526955513534255,,,0.011,0.112,0.161,-0.162,0.016,-0.061,0.065
CD3E,vHBC,0.1543406003389302,1.269196810441131,0.16757023459218934,0.14111096608567109,vTcell,False,-0.013,-0.089,-0.168,0.154,-0.012,0.057,-0.056
PECAM1,vTcell,0.153437299894485,1.26074964916181,0.11335629192113067,0.19351830786783936,vVEC|vEB1|vMC,False,-0.046,0.099,0.047,-0.093,0.047,-0.126,0.153
BCL2,vHBC,0.14547796226033555,1.186318368754852,0.16397474828924774,0.12698117623142335,,,-0.008,-0.086,-0.159,0.145,-0.014,0.068,-0.069
CEACAM8,vEVT,0.14483033527847003,1.1802621229085235,0.15965370761323655,0.1300069629437035,,,0.004,0.111,0.145,-0.151,0.025,-0.077,0.081
CD274,vEVT,0.14360818280105364,1.1688332354900093,0.15113024511017126,0.13608612049193602,,,0.02,0.115,0.144,-0.144,0.019,-0.06,0.055
ACTA2,vTcell,0.14007208104439745,1.1357655867113003,0.1198572264432099,0.160286935645585,vMC|vFB1,False,-0.046,0.114,0.044,-0.093,0.054,-0.106,0.14
VIM,vHBC,0.13608607520986726,1.0984906862596888,0.15080661500201387,0.12136553541772066,vFB1|vMC,False,-0.01,-0.099,-0.139,0.136,-0.018,0.055,-0.052
CD27,vHBC,0.12927649004872704,1.0348112488641361,0.15120924624286425,0.10734373385458984,vTcell,False,0.002,-0.092,-0.128,0.129,-0.023,0.069,-0.077
CCR7,vHBC,0.1287956151294059,1.0303143751786803,0.1494629546375159,0.1081282756212959,vTcell,False,0.008,-0.086,-0.125,0.129,-0.026,0.075,-0.087
PTPRC_1,vHBC,0.12810596613351588,1.0238651629257374,0.1471076719403528,0.10910426032667897,vHBC|vTcell,True,-0.003,-0.096,-0.123,0.128,-0.02,0.065,-0.07
MS4A1,vVCT,0.12776055481259932,1.020635069158566,0.0849290736300391,0.17059203599515954,vTcell,False,0.074,-0.086,0.058,0.03,-0.07,0.128,-0.173
CD4,vHBC,0.12187542742880636,0.9656006446036427,0.14367535035125667,0.10007550450635605,vTcell,False,0.009,-0.093,-0.118,0.122,-0.025,0.075,-0.083
SDC1,vEVT,0.1217897614068647,0.9647995438093843,0.13031908146007765,0.11326044135365176,,,-0.0,0.117,0.122,-0.135,0.029,-0.07,0.078
FCGR3A,vFB1,0.11658808146046884,0.9161563379958375,0.10883381463674113,0.12434234828419655,vHBC,False,-0.006,0.117,0.116,-0.133,0.03,-0.08,0.089
CD14,vHBC,0.10995208527410016,0.8541002077460129,0.12823751377401238,0.09166665677418795,vHBC,True,-0.005,-0.101,-0.118,0.11,-0.016,0.034,-0.028
CD40,vHBC,0.10637750179858568,0.8206726994238925,0.12938855577559494,0.08336644782157643,,,0.001,-0.097,-0.093,0.106,-0.025,0.066,-0.073
CD19,vHBC,0.1039345572082993,0.7978276459563628,0.1260247367938887,0.08184437762270991,vTcell,False,-0.003,-0.101,-0.098,0.104,-0.022,0.052,-0.05
CR2,vHBC,0.1012075408117809,0.7723261116059705,0.12520487657304502,0.07721020505051679,,,0.011,-0.096,-0.086,0.101,-0.031,0.076,-0.085
CD163,vHBC,0.09795030970050078,0.7418663053585546,0.11439461187052213,0.08150600753047943,vHBC,True,-0.012,-0.101,-0.09,0.098,-0.015,0.028,-0.021
PCNA,vHBC,0.09115182790543208,0.6782907004414716,0.1157014099973539,0.06660224581351026,,,0.024,-0.098,-0.059,0.091,-0.039,0.081,-0.103
CD68,vHBC,0.09066148830591869,0.6737053183527123,0.11871520402137703,0.06260777259046035,vHBC,True,0.026,-0.089,-0.062,0.091,-0.036,0.089,-0.114
HLA_DRA,vHBC,0.08788808670064213,0.6477700154353224,0.11400982233287382,0.06176635106841044,vHBC|vTcell,True,0.024,-0.096,-0.064,0.088,-0.039,0.079,-0.093
