protein,best_niche,delta_best_mean,delta_A,delta_B,expected,match_expect,delta_expected_mean,d_vSCT,d_vFB1,d_vEVT,d_vHBC,d_vEB1,d_vVCT,d_vTcell
PTPRC_2,vHBC,0.36434244007356575,0.40724953095684807,0.3214353491902835,vHBC|vTcell,True,0.14936000681912665,-0.011,-0.157,-0.348,0.364,0.019,0.149,-0.066
CD8A,vHBC,0.3569411695426419,0.36856035021888683,0.34532198886639687,vTcell,False,-0.0668496238935031,0.028,-0.103,-0.357,0.357,0.005,0.054,-0.067
ITGAX,vHBC,0.321328152772292,0.37702814258911826,0.26562816295546565,vHBC,True,0.321328152772292,0.024,-0.177,-0.248,0.321,-0.02,0.171,-0.15
CD3E,vHBC,0.31264382909960176,0.3691357098186367,0.2561519483805669,vTcell,False,-0.12778253756356678,0.022,-0.176,-0.257,0.313,-0.018,0.163,-0.128
BCL2,vHBC,0.3018784391354795,0.3642926829268293,0.23946419534412966,,,,0.025,-0.176,-0.25,0.302,-0.022,0.172,-0.142
VIM,vHBC,0.29501133058079065,0.3521525953721076,0.23787006578947378,vFB1|vMC,False,-0.18638295006049213,0.025,-0.186,-0.228,0.295,-0.023,0.162,-0.123
PTPRC_1,vHBC,0.2850963569953261,0.3474921826141339,0.22270053137651824,vHBC|vTcell,True,0.07106168601497545,0.03,-0.185,-0.214,0.285,-0.028,0.17,-0.143
CD27,vHBC,0.28483917734357,0.3508492808005003,0.21882907388663975,vTcell,False,-0.1508334977773441,0.034,-0.182,-0.22,0.285,-0.032,0.172,-0.151
CCR7,vHBC,0.2824934555108457,0.3480050031269544,0.21698190789473693,vTcell,False,-0.16271346897564262,0.038,-0.178,-0.219,0.282,-0.037,0.177,-0.163
CD4,vHBC,0.27624221090072754,0.3427267041901189,0.2097577176113361,vTcell,False,-0.15875876238096556,0.04,-0.184,-0.211,0.276,-0.035,0.177,-0.159
CD14,vHBC,0.2681684415218394,0.3267942464040025,0.2095426366396762,vHBC,True,0.2681684415218394,0.029,-0.188,-0.207,0.268,-0.023,0.14,-0.1
CD40,vHBC,0.26190991851403844,0.3280550343964978,0.19576480263157903,,,,0.033,-0.187,-0.185,0.262,-0.034,0.169,-0.148
CD19,vHBC,0.2611983965101544,0.32506316447779865,0.19733362854251013,vTcell,False,-0.12214244278032804,0.031,-0.19,-0.188,0.261,-0.029,0.157,-0.122
CD163,vHBC,0.2575610841274152,0.31274046278924333,0.2023817054655871,vHBC,True,0.2575610841274152,0.024,-0.188,-0.179,0.258,-0.02,0.136,-0.091
CR2,vHBC,0.2552343955720682,0.32395247029393376,0.18651632085020253,,,,0.042,-0.188,-0.179,0.255,-0.041,0.178,-0.16
PCNA,vHBC,0.2432597835612719,0.3124652908067543,0.1740542763157895,,,,0.053,-0.191,-0.155,0.243,-0.052,0.181,-0.18
CD68,vHBC,0.241063834612916,0.315031894934334,0.16709577429149802,vHBC,True,0.241063834612916,0.053,-0.185,-0.16,0.241,-0.051,0.187,-0.193
HLA_DRA,vHBC,0.24007283077828254,0.3111394621638524,0.16900619939271266,vHBC|vTcell,True,0.034521810437070255,0.052,-0.19,-0.16,0.24,-0.051,0.179,-0.171
MS4A1,vVCT,0.21738987645214466,0.18240529221397295,0.2523744606903164,vTcell,False,-0.2613323055771496,0.092,-0.191,-0.049,0.171,-0.093,0.217,-0.261
ITGAM,vEVT,0.1071955361140422,0.07280463523746838,0.14158643699061602,vHBC,False,-0.05331873179371974,0.019,-0.033,0.107,-0.053,-0.027,0.029,-0.05
EPCAM,vEVT,0.0955560540992143,0.074252105600773,0.11686000259765561,vSCT|vVCT,False,0.030228429005223253,-0.015,-0.061,0.096,-0.023,0.011,0.075,-0.054
PAX5,vEVT,0.08203950894858203,0.04762489898947819,0.11645411890768587,vTcell,False,-0.04310343991195936,0.022,-0.013,0.082,-0.053,-0.026,0.021,-0.043
CXCR5,vEVT,0.07151370520757344,0.04379899530977949,0.0992284151053674,vTcell,False,-0.02809322080201676,0.007,-0.011,0.072,-0.037,-0.016,0.013,-0.028
PECAM1,vTcell,0.06546159675825058,-0.002937621311265848,0.13386081482776702,vVEC|vEB1|vMC,False,0.023914846519029975,-0.028,-0.005,-0.059,0.049,0.024,-0.036,0.065
ACTA2,vTcell,0.0498446341711834,0.002583130905752018,0.09710613743661478,vMC|vFB1,False,0.007815434033175805,-0.03,0.008,-0.065,0.046,0.029,-0.018,0.05
PDCD1,vEVT,0.04207969194717359,0.030284412306205488,0.053874971588141696,,,,0.016,-0.005,0.042,-0.033,-0.02,0.016,-0.036
CEACAM8,vEVT,0.02796440769292796,0.021860967868240544,0.03406784751761538,,,,0.011,-0.004,0.028,-0.02,-0.009,0.002,-0.017
CD274,vSCT,0.02464496186573134,0.016436832545038138,0.03285309118642454,,,,0.025,-0.003,0.024,-0.016,-0.018,0.016,-0.047
SDC1,vVCT,0.008808313237411325,0.0037930706263087366,0.013823555848513913,,,,0.007,0.002,0.005,-0.004,-0.005,0.009,-0.021
FCGR3A,vFB1,0.0028294125860252595,-0.0005857568916250999,0.006244582063675619,vHBC,False,-0.0008594727173232841,0.002,0.003,0.001,-0.001,-0.003,0.001,-0.009
